<video_id>j8VdfINY__w</video_id>	NP	<video_id>j8VdfINY__w</video_id>
important	JJ	important
part	NN	part
was	VBD	be
not	RB	not
factual	JJ	factual
they've	NN	they've
been	VBN	be
trying	VVG	try
to	TO	to
make	VV	make
the	DT	the
argument	NN	argument
throughout	IN	throughout
this	DT	this
press	NN	press
conference	NN	conference
that	IN/that	that
they	PP	they
had	VHD	have
to	TO	to
go	VV	go
through	IN	through
a	DT	a
month	NN	month
and	CC	and
a	DT	a
half	NN	half
of	IN	of
War	NP	War
risking	VVG	risk
risking	VVG	risk
risking	VVG	risk
risking	VVG	risk
the	DT	the
lives	NNS	life
of	IN	of
their	PP$	their
own	JJ	own
captives	NNS	captive
right	RB	right
but	CC	but
it	PP	it
was	VBD	be
all	RB	all
Justified	VVN	justify
because	IN	because
they	PP	they
couldn't	NN	couldn't
have	VHP	have
reached	VVN	reach
this	DT	this
deal	NN	deal
before	IN	before
yeah	RB	yeah
not	RB	not
true	JJ	true
this	DT	this
is	VBZ	be
not	RB	not
true	JJ	true
we	PP	we
know	VVP	know
all	DT	all
of	IN	of
us	PP	us
because	IN	because
we've	NN	we've
heard	VVD	hear
it	PP	it
repeated	VVD	repeat
again	RB	again
and	CC	and
again	RB	again
by	IN	by
Hamas	JJ	Hamas
leaders	NNS	leader
that	IN/that	that
they	PP	they
were	VBD	be
ready	JJ	ready
from	IN	from
day	NN	day
one	CD	one
from	IN	from
day	NN	day
one	PP	one
yeah	RB	yeah
to	TO	to
release	VV	release
the	DT	the
old	JJ	old
women	NNS	woman
and	CC	and
the	DT	the
children	NNS	child
and	CC	and
so	RB	so
on	IN	on
so	RB	so
forth	RB	forth
that	IN/that	that
they	PP	they
have	VHP	have
held	VVN	hold
because	IN	because
I	PP	I
think	VVP	think
they	PP	they
also	RB	also
regretted	VVD	regret
probably	RB	probably
holding	VVG	hold
them	PP	them
anyway	RB	anyway
and	CC	and
because	IN	because
it's	NNS	it's
tough	JJ	tough
to	TO	to
hold	VV	hold
children	NNS	child
and	CC	and
old	JJ	old
people	NNS	people
captives	NNS	captive
in	IN	in
Gaza	NP	Gaza
in	IN	in
a	DT	a
condition	NN	condition
of	IN	of
war	NN	war
for	IN	for
a	DT	a
month	NN	month
and	CC	and
a	DT	a
half	NN	half
so	RB	so
from	IN	from
the	DT	the
beginning	VVG	begin
Hamas	NN	Hamas
leaders	NNS	leader
were	VBD	be
insisting	VVG	insist
that	IN/that	that
they	PP	they
are	VBP	be
happy	JJ	happy
to	TO	to
release	VV	release
the	DT	the
captives	NNS	captive
if	IN	if
return	NN	return
for	IN	for
reciprocity	NN	reciprocity
meaning	VVG	mean
Israel	NP	Israel
releas	NNS	releas
the	DT	the
same	JJ	same
so	IN	so
their	PP$	their
entire	JJ	entire
discourse	NN	discourse
that	IN/that	that
they	PP	they
had	VHD	have
to	TO	to
do	VV	do
it	PP	it
they	PP	they
had	VHD	have
to	TO	to
do	VV	do
the	DT	the
war	NN	war
and	CC	and
risk	VV	risk
the	DT	the
lives	NNS	life
of	IN	of
the	DT	the
captives	NNS	captive
so	IN	so
they	PP	they
can	MD	can
reach	VV	reach
to	TO	to
this	DT	this
deal	NN	deal
this	DT	this
is	VBZ	be
just	RB	just
not	RB	not
true	JJ	true
they	PP	they
said	VVD	say
that	IN/that	that
the	DT	the
deal	NN	deal
they	PP	they
have	VHP	have
now	RB	now
is	VBZ	be
a	DT	a
much	RB	much
better	JJR	good
deal	NN	deal
than	IN	than
was	VBD	be
on	IN	on
the	DT	the
table	NN	table
10	CD	@card@
days	NNS	day
ago	RB	ago
apparently	RB	apparently
this	DT	this
is	VBZ	be
also	RB	also
not	RB	not
true	JJ	true
because	IN	because
I	PP	I
don't	VVD	don't
want	VV	want
to	TO	to
say	VV	say
from	IN	from
my	PP$	my
own	JJ	own
sources	NNS	source
let's	NNS	let's
say	VVP	say
from	IN	from
my	PP$	my
own	JJ	own
reading	NN	reading
I	PP	I
know	VVP	know
this	DT	this
is	VBZ	be
not	RB	not
to	TO	to
be	VB	be
true	JJ	true
they've	NN	they've
been	VBN	be
stubborn	JJ	stubborn
now	RB	now
for	IN	for
10	CD	@card@
days	NNS	day
insisting	VVG	insist
a	DT	a
number	NN	number
of	IN	of
things	NNS	thing
such	JJ	such
as	IN	as
the	DT	the
fly	NN	fly
fight	NN	fight
over	IN	over
Gaza	NP	Gaza
such	JJ	such
as	IN	as
the	DT	the
number	NN	number
of	IN	of
days	NNS	day
but	CC	but
they	PP	they
made	VVD	make
concessions	NNS	concession
on	IN	on
all	DT	all
of	IN	of
them	PP	them
because	IN	because
they	PP	they
needed	VVD	need
to	TO	to
show	VV	show
some	DT	some
results	NNS	result
and	CC	and
because	IN	because
they	PP	they
were	VBD	be
American	JJ	American
pressures	NNS	pressure
again	RB	again
there	EX	there
was	VBD	be
American	JJ	American
pressure	NN	pressure
on	IN	on
the	DT	the
Israelis	NPS	Israelis
to	TO	to
come	VV	come
up	RP	up
with	IN	with
a	DT	a
deal	NN	deal
but	CC	but
Netanyahu	NP	Netanyahu
you	PP	you
know	VVP	know
prefers	VVZ	prefer
to	TO	to
play	VV	play
the	DT	the
bombastic	JJ	bombastic
smug	JJ	smug
saying	VVG	say
oh	UH	oh
oh	UH	oh
I	PP	I
called	VVD	call
my	PP$	my
friend	NN	friend
Joe	NP	Joe
exactly	RB	exactly
and	CC	and
I	PP	I
told	VVD	tell
my	PP$	my
friend	NN	friend
Joe	NP	Joe
to	TO	to
get	VV	get
involved	VVN	involve
and	CC	and
to	TO	to
talk	VV	talk
to	TO	to
them	PP	them
yeah	RB	yeah
as	RB	as
if	IN	if
the	DT	the
the	DT	the
leader	NN	leader
of	IN	of
the	DT	the
Free	NP	Free
World	NP	World
works	VVZ	work
for	IN	for
a	DT	a
prime	JJ	prime
minister	NN	minister
and	CC	and
he	PP	he
also	RB	also
said	VVD	say
I	PP	I
call	VVP	call
my	PP$	my
friend	NN	friend
Joe	NP	Joe
and	CC	and
I	PP	I
said	VVD	say
look	VV	look
Joe	NP	Joe
this	DT	this
war	NN	war
will	MD	will
continue	VV	continue
well	RB	well
this	DT	this
this	NN	this
is	VBZ	be
again	RB	again
right	JJ	right
because	IN	because
natany	NN	natany
has	VHZ	have
been	VBN	be
insistent	JJ	insistent
from	IN	from
the	DT	the
very	JJ	very
beginning	NN	beginning
and	CC	and
he	PP	he
boxed	VVD	box
in	IN	in
the	DT	the
leader	NN	leader
of	IN	of
the	DT	the
Free	NP	Free
World	NP	World
behind	IN	behind
him	PP	him
in	IN	in
a	DT	a
genocidal	JJ	genocidal
war	NN	war
that	IN/that	that
we	PP	we
see	VVP	see
its	PP$	its
result	NN	result
now	RB	now
this	DT	this
genocidal	JJ	genocidal
war	NN	war
and	CC	and
pay	VV	pay
attention	NN	attention
to	TO	to
the	DT	the
words	NNS	word
again	RB	again
you	PP	you
know	VVP	know
I	PP	I
mean	VVP	mean
spin	VV	spin
so	RB	so
ethical	JJ	ethical
yeah	RB	yeah
moral	JJ	moral
values	NNS	value
Noble	JJ	noble
objectives	NNS	objective
yeah	RB	yeah
we	PP	we
we	PP	we
are	VBP	be
talking	VVG	talk
about	IN	about
the	DT	the
genocidal	JJ	genocidal
war	NN	war
that	WDT	that
led	VVD	lead
to	TO	to
the	DT	the
death	NN	death
of	IN	of
more	JJR	more
than	IN	than
12,000	CD	@card@
civilians	NNS	civilian
more	JJR	more
than	IN	than
5,000	CD	@card@
children	NNS	child
to	TO	to
the	DT	the
destruction	NN	destruction
of	IN	of
half	DT	half
more	JJR	more
than	IN	than
half	NN	half
of	IN	of
the	DT	the
residential	JJ	residential
buildings	NNS	building
in	IN	in
Gaza	NP	Gaza
yeah	RB	yeah
a	DT	a
war	NN	war
on	IN	on
hospitals	NNS	hospital
a	DT	a
war	NN	war
on	IN	on
schools	NNS	school
a	DT	a
war	NN	war
on	IN	on
children	NNS	child
again	RB	again
ethical	JJ	ethical
moral	JJ	moral
values	NNS	value
Noble	JJ	noble
objective	NN	objective
and	CC	and
they	PP	they
were	VBD	be
talking	VVG	talk
about	IN	about
a	DT	a
baby	NN	baby
I	PP	I
I'm	NP	I'm
not	RB	not
sure	JJ	sure
what	WP	what
which	WDT	which
baby	NN	baby
but	CC	but
there	EX	there
were	VBD	be
a	DT	a
baby	NN	baby
apparently	RB	apparently
held	VVN	hold
by	IN	by
Hamas	NNS	Hamas
imagine	VVP	imagine
the	DT	the
audacity	NN	audacity
after	IN	after
all	PDT	all
the	DT	the
images	NNS	image
of	IN	of
all	PDT	all
the	DT	the
babies	NNS	baby
that	WDT	that
we've	VVP	we've
seen	VVN	see
over	IN	over
the	DT	the
past	JJ	past
weeks	NNS	week
yeah	RB	yeah
especially	RB	especially
the	DT	the
last	JJ	last
few	JJ	few
days	NNS	day
in	IN	in
asifa	NN	asifa
in	IN	in
the	DT	the
Indonesian	JJ	Indonesian
hospitals	NNS	hospital
in	IN	in
alut	NN	alut
hospital	NN	hospital
and	CC	and
other	JJ	other
hospit	NN	hospit
Al	NP	Al
Hospital	NP	Hospital
the	DT	the
babies	NNS	baby
of	IN	of
the	DT	the
Palestinians	NPS	Palestinians
yeah	RB	yeah
that's	JJ	that's
ethical	JJ	ethical
moral	JJ	moral
Noble	JJ	noble
objective	NN	objective
Maran	NP	Maran
thank	VVP	thank
you	PP	you
as	IN	as
always	RB	always
that	WDT	that
is	VBZ	be
our	PP$	our
senior	JJ	senior
political	JJ	political
analyst	NN	analyst
mwan	NN	mwan
bashara	NN	bashara
</doc>	NN	</doc>
