yet	RB	yet
with	IN	with
Hamas	NP	Hamas
is	VBZ	be
resuming	VVG	resume
in	IN	in
Cairo	NP	Cairo
this	DT	this
country	NN	country
which	WDT	which
is	VBZ	be
very	RB	very
good	JJ	good
very	RB	very
strong	JJ	strong
will	NN	will
not	RB	not
will	MD	will
not	RB	not
survive	VV	survive
this	DT	this
prime	JJ	prime
minister	NN	minister
maybe	RB	maybe
6	CD	@card@
months	NNS	month
so	IN	so
it	PP	it
is	VBZ	be
imperative	JJ	imperative
that	IN/that	that
we	PP	we
will	MD	will
be	VB	be
election	NN	election
very	RB	very
very	RB	very
soon	RB	soon
the	DT	the
Israeli	JJ	Israeli
government	NN	government
'	POS	'
s	NN	S
also	RB	also
under	IN	under
pressure	NN	pressure
from	IN	from
the	DT	the
United	NP	United
States	NPS	States
US	NP	US
President	NP	President
Joe	NP	Joe
Biden	NP	Biden
is	VBZ	be
demanding	VVG	demand
an	DT	an
immediate	JJ	immediate
ceasefire	NN	ceasefire
and	CC	and
he	PP	he
'	POS	'
s	NN	S
reported	VVD	report
to	TO	to
have	VH	have
sent	VVN	send
letters	NNS	letter
to	TO	to
mediators	NNS	mediator
in	IN	in
katar	NP	katar
and	CC	and
Egypt	NP	Egypt
urging	VVG	urge
them	PP	them
to	TO	to
pressure	VV	pressure
Hamas	NNS	Hamas
to	TO	to
accept	VV	accept
a	DT	a
deal	NN	deal
after	IN	after
months	NNS	month
of	IN	of
negotiations	NNS	negotiation
let	VVD	let
'	''	'
s	NNS	s
not	RB	not
discount	VV	discount
the	DT	the
impact	NN	impact
of	IN	of
Israeli	JJ	Israeli
military	JJ	military
pressure	NN	pressure
that	WDT	that
is	VBZ	be
clearly	RB	clearly
what	WP	what
is	VBZ	be
helping	VVG	help
to	TO	to
bring	VV	bring
Hamas	NNS	Hamas
to	TO	to
the	DT	the
table	VV	table
uh	UH	uh
on	IN	on
the	DT	the
one	CD	one
hand	NN	hand
Hamas	NN	Hamas
has	VHZ	have
no	DT	no
way	NN	way
out	IN	out
I	PP	I
'	POS	'
m	NN	m
sure	RB	sure
the	DT	the
Egyptians	NNS	Egyptian
and	CC	and
the	DT	the
kares	NNS	kares
are	VBP	be
are	VBP	be
talking	VVG	talk
sense	NN	sense
to	TO	to
them	PP	them
on	IN	on
the	DT	the
other	JJ	other
hand	VV	hand
uh	UH	uh
Netanyahu	NP	Netanyahu
really	RB	really
has	VHZ	have
no	DT	no
way	NN	way
out	RP	out
at	IN	at
this	DT	this
point	NN	point
Israel	NP	Israel
'	POS	'
s	JJ	s
war	NN	war
on	IN	on
the	DT	the
besieged	JJ	besieged
population	NN	population
of	IN	of
Gaza	NP	Gaza
has	VHZ	have
killed	VVN	kill
more	JJR	more
than	IN	than
33	CD	@card@
,	,	,
000	CD	@card@
people	NNS	people
and	CC	and
pushed	VVN	push
Palestinians	NNS	Palestinian
to	TO	to
the	DT	the
brink	NN	brink
of	IN	of
famine	NN	famine
particularly	RB	particularly
in	IN	in
the	DT	the
northern	JJ	northern
part	NN	part
of	IN	of
the	DT	the
strip	NN	strip
Hamas	NN	Hamas
says	VVZ	say
it	PP	it
won	VVD	win
'	''	'
t	NN	t
deviate	NN	deviate
from	IN	from
its	PP$	its
demand	NN	demand
for	IN	for
a	DT	a
permanent	JJ	permanent
ceasefire	NN	ceasefire
when	WRB	when
we	PP	we
are	VBP	be
negotiating	VVG	negotiate
a	DT	a
ceasefire	NN	ceasefire
it	PP	it
means	VVZ	mean
that	IN/that	that
the	DT	the
troops	NNS	troop
the	DT	the
Israeli	JJ	Israeli
troops	NNS	troop
which	WDT	which
invaded	VVD	invade
Gaza	NP	Gaza
after	IN	after
October	NP	October
7th	JJ	7th
has	VHZ	have
to	TO	to
leave	VV	leave
Gaza	NP	Gaza
SL	NP	SL
when	WRB	when
we	PP	we
talk	VVP	talk
about	IN	about
this	DT	this
ceasefire	NN	ceasefire
agreement	NN	agreement
it	PP	it
has	VHZ	have
to	TO	to
it	PP	it
has	VHZ	have
to	TO	to
mean	VV	mean
uh	UH	uh
that	IN/that	that
the	DT	the
people	NNS	people
after	IN	after
the	DT	the
ceas	JJ	ceas
fair	JJ	fair
agreement	NN	agreement
have	VHP	have
to	TO	to
move	VV	move
freely	RB	freely
inside	IN	inside
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
during	IN	during
the	DT	the
last	JJ	last
round	NN	round
of	IN	of
talks	NNS	talk
in	IN	in
Qatar	NP	Qatar
Israel	NP	Israel
said	VVD	say
it	PP	it
wanted	VVD	want
all	DT	all
Israeli	JJ	Israeli
captives	NNS	captive
released	VVN	release
in	IN	in
the	DT	the
first	JJ	first
stage	NN	stage
of	IN	of
a	DT	a
deal	NN	deal
Hamas	NN	Hamas
indicated	VVD	indicate
it	PP	it
would	MD	would
only	RB	only
release	VV	release
women	NNS	woman
and	CC	and
children	NNS	child
the	DT	the
two	CD	two
sides	NNS	side
also	RB	also
disagree	VVP	disagree
about	IN	about
the	DT	the
release	NN	release
of	IN	of
Palestinian	JJ	Palestinian
prisoners	NNS	prisoner
serving	VVG	serve
life	NN	life
sentences	NNS	sentence
in	IN	in
Israeli	JJ	Israeli
jails	NNS	jail
the	DT	the
talks	NNS	talk
in	IN	in
Cairo	NP	Cairo
could	MD	could
result	VV	result
in	IN	in
some	DT	some
respite	NN	respite
for	IN	for
Palestinians	NPS	Palestinians
in	IN	in
the	DT	the
strip	NN	strip
but	CC	but
finding	VVG	find
some	DT	some
form	NN	form
of	IN	of
agreement	NN	agreement
between	IN	between
Israel	NP	Israel
and	CC	and
Hamas	NP	Hamas
is	VBZ	be
taking	VVG	take
time	NN	time
time	NN	time
the	DT	the
people	NNS	people
of	IN	of
Gaza	NP	Gaza
don	NN	don
'	POS	'
t	NN	t
have	VHP	have
Victoria	NP	Victoria
gon	VVG	gon
B	NP	B
Al	NP	Al
jazer	NN	jazer
for	IN	for
Inside	NP	Inside
Story	NP	Story
on	IN	on
this	DT	this
program	NN	program
we	PP	we
'	POS	'
re	NN	re
aiming	VVG	aim
to	TO	to
explain	VV	explain
the	DT	the
obstacles	NNS	obstacle
to	TO	to
a	DT	a
Ceasar	NP	Ceasar
agreement	NN	agreement
with	IN	with
our	PP$	our
panel	NN	panel
in	IN	in
ten	CD	ten
Aviv	NP	Aviv
we	PP	we
'	POS	'
ve	NN	ve
got	VVD	get
Dan	NP	Dan
Perry	NP	Perry
he	PP	he
'	POS	'
s	NNS	s
the	DT	the
author	NN	author
of	IN	of
The	DT	the
ask	VV	ask
questions	NNS	question
later	RBR	later
blog	NN	blog
and	CC	and
newsletter	NN	newsletter
on	IN	on
the	DT	the
substack	NN	substack
platform	NN	platform
in	IN	in
occupied	JJ	occupied
East	NP	East
Jerusalem	NP	Jerusalem
munia	NN	munia
nusa	NN	nusa
is	VBZ	be
a	DT	a
professor	NN	professor
of	IN	of
international	JJ	international
law	NN	law
at	IN	at
Al	NP	Al
koods	NNS	koods
University	NP	University
and	CC	and
in	IN	in
Ciro	NP	Ciro
haa	NP	haa
halawa	NP	halawa
is	VBZ	be
a	DT	a
political	JJ	political
consultant	NN	consultant
and	CC	and
non	JJ	non
-	NN	-
resident	NN	resident
fellow	NN	fellow
at	IN	at
the	DT	the
Middle	NP	Middle
East	NP	East
Institute	NP	Institute
thank	VVP	thank
you	PP	you
all	PDT	all
three	CD	three
for	IN	for
joining	VVG	join
us	PP	us
all	RB	all
three	CD	three
of	IN	of
you	PP	you
let	VVP	let
me	PP	me
start	VVP	start
with	IN	with
a	DT	a
very	RB	very
quick	JJ	quick
question	NN	question
to	TO	to
each	DT	each
of	IN	of
you	PP	you
which	WDT	which
is	VBZ	be
how	WRB	how
optimistic	JJ	optimistic
you	PP	you
are	VBP	be
about	RB	about
the	DT	the
chances	NNS	chance
of	IN	of
a	DT	a
deal	NN	deal
haa	NN	haa
what	WP	what
do	VVP	do
you	PP	you
think	VVP	think
are	VBP	be
the	DT	the
chances	NNS	chance
that	IN/that	that
they	PP	they
could	MD	could
get	VV	get
a	DT	a
deal	NN	deal
this	DT	this
time	NN	time
in	IN	in
the	DT	the
city	NN	city
where	WRB	where
you	PP	you
are	VBP	be
Caro	NP	Caro
uh	UH	uh
very	RB	very
briefly	RB	briefly
I	NP	I
'	POS	'
m	NN	m
uh	UH	uh
I	NP	I
'	POS	'
m	NN	m
not	RB	not
optimistic	JJ	optimistic
I	PP	I
don	VVP	don
'	''	'
t	NN	t
think	VVP	think
much	RB	much
of	IN	of
the	DT	the
parameters	NNS	parameter
around	IN	around
a	DT	a
hostage	NN	hostage
deal	NN	deal
have	VHP	have
really	RB	really
changed	VVN	change
nor	CC	nor
have	VH	have
the	DT	the
uh	UH	uh
the	DT	the
sort	NN	sort
of	IN	of
entrenched	JJ	entrenched
positions	NNS	position
on	IN	on
on	IN	on
both	DT	both
sides	NNS	side
in	IN	in
that	WDT	that
regard	VVP	regard
Dan	NP	Dan
your	PP$	your
thoughts	NNS	thought
on	IN	on
this	DT	this
do	VVP	do
you	PP	you
think	VVP	think
there	EX	there
is	VBZ	be
a	DT	a
chance	NN	chance
of	IN	of
a	DT	a
deal	NN	deal
here	RB	here
I	PP	I
think	VVP	think
Hamas	NN	Hamas
wants	VVZ	want
a	DT	a
deal	NN	deal
where	WRB	where
Israel	NP	Israel
pulls	VVZ	pull
out	RP	out
of	IN	of
Gaza	NP	Gaza
essentially	RB	essentially
capitulates	VVZ	capitulate
in	IN	in
exchange	NN	exchange
for	IN	for
all	PDT	all
the	DT	the
hostages	NNS	hostage
and	CC	and
the	DT	the
chances	NNS	chance
of	IN	of
that	WDT	that
are	VBP	be
extremely	RB	extremely
small	JJ	small
whether	IN	whether
they	PP	they
can	MD	can
do	VV	do
a	DT	a
partial	JJ	partial
hostage	NN	hostage
release	NN	release
or	CC	or
temporary	JJ	temporary
ceasefire	NN	ceasefire
is	VBZ	be
entirely	RB	entirely
up	RB	up
to	TO	to
I	PP	I
you	PP	you
mun	NNS	mun
your	PP$	your
thoughts	NNS	thought
at	IN	at
the	DT	the
start	NN	start
of	IN	of
the	DT	the
discussion	NN	discussion
about	IN	about
how	WRB	how
optimistic	JJ	optimistic
you	PP	you
are	VBP	be
there	RB	there
could	MD	could
be	VB	be
a	DT	a
deal	NN	deal
unfortunately	RB	unfortunately
I	NP	I
'	POS	'
m	NN	m
not	RB	not
very	RB	very
optimistic	JJ	optimistic
because	IN	because
I	PP	I
think	VVP	think
the	DT	the
cap	NN	cap
the	DT	the
Gap	NP	Gap
is	VBZ	be
quite	RB	quite
big	JJ	big
between	IN	between
both	DT	both
uh	UH	uh
uh	UH	uh
parties	VVZ	party
uh	UH	uh
the	DT	the
Israelis	NPS	Israelis
have	VHP	have
set	VVN	set
really	RB	really
huge	JJ	huge
uh	UH	uh
goals	NNS	goal
uh	UH	uh
for	IN	for
this	DT	this
uh	UH	uh
genocide	NN	genocide
and	CC	and
uh	UH	uh
and	CC	and
I	PP	I
think	VVP	think
that	IN/that	that
if	IN	if
you	PP	you
know	VVP	know
they	PP	they
don	VV	don
'	''	'
t	NN	t
want	VVP	want
to	TO	to
stop	VV	stop
it	PP	it
right	RB	right
now	RB	now
okay	RB	okay
well	RB	well
we	PP	we
start	VVP	start
from	IN	from
a	DT	a
pretty	JJ	pretty
pessimistic	JJ	pessimistic
Place	NN	place
having	VHG	have
heard	VVN	hear
all	DT	all
of	IN	of
your	PP$	your
initial	JJ	initial
views	NNS	view
on	IN	on
this	DT	this
Hava	NP	Hava
let	NN	let
'	POS	'
s	NN	S
let	NN	let
'	POS	'
s	JJ	s
first	JJ	first
look	NN	look
at	IN	at
uh	UH	uh
the	DT	the
mechanics	NNS	mechanic
of	IN	of
this	DT	this
who	WP	who
is	VBZ	be
attending	VVG	attend
we	PP	we
have	VHP	have
the	DT	the
CIA	NP	CIA
director	NN	director
we	PP	we
have	VHP	have
the	DT	the
Prime	NP	Prime
Minister	NP	Minister
and	CC	and
foreign	JJ	foreign
minister	NN	minister
of	IN	of
Qatar	NP	Qatar
we	PP	we
have	VHP	have
the	DT	the
intelligence	NN	intelligence
chief	NN	chief
of	IN	of
Egypt	NP	Egypt
and	CC	and
we	PP	we
believe	VVP	believe
we	PP	we
have	VHP	have
the	DT	the
mosad	NN	mosad
chief	NN	chief
and	CC	and
the	DT	the
shinb	JJ	shinb
uh	UH	uh
Chief	NP	Chief
and	CC	and
then	RB	then
also	RB	also
um	JJ	um
you	PP	you
'	''	'
re	IN	re
going	VVG	go
to	TO	to
have	VH	have
a	DT	a
senior	JJ	senior
representative	NN	representative
of	IN	of
Hamas	NNS	Hamas
who	WP	who
won	VVD	win
'	''	'
t	NN	t
I	PP	I
don	VVP	don
'	''	'
t	NN	t
think	NN	think
be	VB	be
in	IN	in
the	DT	the
same	JJ	same
room	NN	room
as	IN	as
the	DT	the
others	NNS	other
but	CC	but
all	DT	all
of	IN	of
these	DT	these
people	NNS	people
have	VHP	have
been	VBN	be
negotiating	VVG	negotiate
for	IN	for
a	DT	a
long	JJ	long
time	NN	time
they	PP	they
all	RB	all
know	VVP	know
each	DT	each
other	JJ	other
pretty	RB	pretty
well	RB	well
now	RB	now
indeed	RB	indeed
we	PP	we
'	POS	'
ve	NN	ve
had	VHD	have
rounds	NNS	round
and	CC	and
rounds	NNS	round
of	IN	of
these	DT	these
talks	NNS	talk
and	CC	and
I	PP	I
think	VVP	think
part	NN	part
of	IN	of
what	WP	what
the	DT	the
challenge	NN	challenge
is	VBZ	be
uh	UH	uh
particularly	RB	particularly
for	IN	for
those	DT	those
sort	NN	sort
of	IN	of
non	JJ	non
-	NN	-
combatant	NN	combatant
sides	NNS	side
not	RB	not
the	DT	the
Israelis	NPS	Israelis
nor	CC	nor
Hamas	NP	Hamas
is	VBZ	be
that	IN/that	that
the	DT	the
the	DT	the
terms	NNS	term
the	DT	the
parameters	NNS	parameter
of	IN	of
the	DT	the
deals	NNS	deal
simply	RB	simply
don	VVP	don
'	POS	'
t	NN	t
change	VV	change
uh	UH	uh
hamas	NN	hamas
'	POS	'
s	NN	S
asks	VVZ	ask
remain	VV	remain
the	DT	the
same	JJ	same
Israel	NP	Israel
'	POS	'
s	NN	S
asks	VVZ	ask
remain	VV	remain
the	DT	the
same	JJ	same
and	CC	and
that	WDT	that
daylight	NN	daylight
that	DT	that
Gap	NP	Gap
that	IN/that	that
Monir	NP	Monir
very	RB	very
rightly	RB	rightly
pointed	VVN	point
out	RP	out
between	IN	between
the	DT	the
two	CD	two
sides	NNS	side
hasn	NN	hasn
'	POS	'
t	NN	t
diminished	VVN	diminish
in	IN	in
fact	NN	fact
if	IN	if
anything	NN	anything
it	PP	it
'	POS	'
s	NNS	s
entrenching	VVG	entrench
on	IN	on
on	IN	on
both	DT	both
sides	NNS	side
and	CC	and
we	PP	we
'	POS	'
ve	NN	ve
reached	VVD	reach
the	DT	the
point	NN	point
where	WRB	where
there	EX	there
is	VBZ	be
very	RB	very
little	JJ	little
uh	UH	uh
understanding	NN	understanding
of	IN	of
who	WP	who
and	CC	and
how	WRB	how
these	DT	these
two	CD	two
parties	NNS	party
can	MD	can
meet	VV	meet
in	IN	in
the	DT	the
middle	NN	middle
to	TO	to
engage	VV	engage
in	IN	in
in	IN	in
a	DT	a
in	IN	in
a	DT	a
ceasefire	NN	ceasefire
Arrangement	NN	arrangement
and	CC	and
a	DT	a
host	NN	host
hostage	NN	hostage
for	IN	for
prisoner	NN	prisoner
exchange	NN	exchange
deal	NN	deal
that	WDT	that
would	MD	would
allow	VV	allow
for	IN	for
significant	JJ	significant
rest	NN	rest
bite	NN	bite
in	IN	in
this	DT	this
conflict	NN	conflict
or	CC	or
at	IN	at
least	JJS	least
and	CC	and
even	RB	even
possibly	RB	possibly
leave	VV	leave
us	PP	us
to	TO	to
a	DT	a
more	RBR	more
permanent	JJ	permanent
uh	UH	uh
state	NN	state
of	IN	of
ceasefire	NN	ceasefire
where	WRB	where
we	PP	we
can	MD	can
rebuild	VV	rebuild
some	DT	some
of	IN	of
the	DT	the
aid	NN	aid
infrastructure	NN	infrastructure
in	IN	in
Gazza	NP	Gazza
uh	UH	uh
reinstitute	VV	reinstitute
and	CC	and
reconstitute	VV	reconstitute
un	NN	un
activities	NNS	activity
there	RB	there
as	RB	as
well	VV	well
uh	UH	uh
because	IN	because
they	PP	they
are	VBP	be
the	DT	the
only	RB	only
major	JJ	major
Aid	NP	Aid
delivery	NN	delivery
mechanism	NN	mechanism
and	CC	and
really	RB	really
begin	VV	begin
to	TO	to
try	VV	try
and	CC	and
help	VV	help
uh	UH	uh
the	DT	the
millions	NNS	million
of	IN	of
people	NNS	people
that	WDT	that
are	VBP	be
stuck	VVN	stick
there	RB	there
in	IN	in
in	IN	in
in	IN	in
Gaza	NP	Gaza
and	CC	and
do	VV	do
important	JJ	important
recovery	NN	recovery
as	RB	as
well	RB	well
as	IN	as
return	NN	return
hostages	NNS	hostage
and	CC	and
have	VHP	have
prisoners	NNS	prisoner
released	VVN	release
to	TO	to
their	PP$	their
families	NNS	family
Dan	NP	Dan
just	RB	just
staying	VVG	stay
with	IN	with
the	DT	the
mechanics	NNS	mechanic
of	IN	of
this	DT	this
just	RB	just
for	IN	for
a	DT	a
moment	NN	moment
so	IN	so
we	PP	we
can	MD	can
explain	VV	explain
it	PP	it
to	TO	to
our	PP$	our
viewers	NNS	viewer
we	PP	we
have	VHP	have
a	DT	a
senior	JJ	senior
Hamas	NN	Hamas
official	JJ	official
Hal	NP	Hal
ala	NN	ala
who	WP	who
is	VBZ	be
in	IN	in
Cairo	NP	Cairo
for	IN	for
these	DT	these
talks	NNS	talk
but	CC	but
my	PP$	my
understanding	VVG	understand
you	PP	you
'	POS	'
ll	NN	ll
Pro	NP	Pro
probably	RB	probably
know	VVP	know
more	JJR	more
about	IN	about
this	DT	this
these	NNS	these
are	VBP	be
indirect	JJ	indirect
talks	NNS	talk
Israel	NP	Israel
and	CC	and
Hamas	NP	Hamas
don	NN	don
'	POS	'
t	NN	t
sit	NN	sit
in	IN	in
the	DT	the
same	JJ	same
room	NN	room
the	DT	the
mediators	NNS	mediator
the	DT	the
Egyptian	JJ	Egyptian
mediators	NNS	mediator
and	CC	and
Kat	NP	Kat
mediators	NNS	mediator
go	VVP	go
between	IN	between
the	DT	the
Israelis	NPS	Israelis
and	CC	and
Hamas	NP	Hamas
is	VBZ	be
that	RB	that
explain	VV	explain
to	TO	to
us	PP	us
how	WRB	how
how	WRB	how
you	PP	you
think	VVP	think
it	PP	it
works	VVZ	work
yeah	RB	yeah
I	PP	I
mean	VVP	mean
is	VBZ	be
yes	UH	yes
Israel	NP	Israel
and	CC	and
Hamas	NP	Hamas
will	MD	will
not	RB	not
sit	VV	sit
in	IN	in
the	DT	the
same	JJ	same
room	NN	room
and	CC	and
it	PP	it
'	POS	'
s	VVG	s
all	PDT	all
a	DT	a
little	JJ	little
bit	NN	bit
silly	JJ	silly
and	CC	and
farsal	JJ	farsal
and	CC	and
I	PP	I
think	VVP	think
this	DT	this
is	VBZ	be
one	CD	one
case	NN	case
where	WRB	where
both	DT	both
sides	NNS	side
are	VBP	be
equally	RB	equally
to	TO	to
blame	VV	blame
uh	UH	uh
but	CC	but
but	RB	but
that	RB	that
'	''	'
s	NNS	s
okay	VVP	okay
I	PP	I
mean	VVP	mean
I	PP	I
don	VV	don
'	''	'
t	NN	t
think	VVP	think
that	IN/that	that
this	DT	this
is	VBZ	be
a	DT	a
dynamic	NN	dynamic
where	WRB	where
the	DT	the
Israelis	NPS	Israelis
and	CC	and
hamnik	NP	hamnik
by	IN	by
sitting	VVG	sit
in	IN	in
the	DT	the
same	JJ	same
room	NN	room
we	PP	we
'	POS	'
re	NN	re
going	VVG	go
to	TO	to
develop	VV	develop
some	DT	some
sort	NN	sort
of	IN	of
camaraderie	NN	camaraderie
and	CC	and
that	WDT	that
will	MD	will
help	VV	help
the	DT	the
negotiations	NNS	negotiation
so	IN	so
the	DT	the
Egyptians	NNS	Egyptian
uh	UH	uh
and	CC	and
Americans	NPS	Americans
uh	UH	uh
uh	UH	uh
cies	NNS	cies
for	IN	for
their	PP$	their
Pirates	NNS	pirate
as	IN	as
well	RB	well
and	CC	and
throughout	IN	throughout
these	DT	these
talks	NNS	talk
have	VHP	have
done	VVN	do
great	JJ	great
work	NN	work
and	CC	and
Incredibly	RB	incredibly
important	JJ	important
work	NN	work
now	RB	now
I	PP	I
I	PP	I
agree	VVP	agree
with	IN	with
the	DT	the
other	JJ	other
panelists	NNS	panelist
uh	UH	uh
the	DT	the
asks	VVZ	ask
on	IN	on
both	DT	both
sides	NNS	side
simply	RB	simply
haven	NN	haven
'	POS	'
t	NN	t
changed	VVD	change
uh	UH	uh
and	CC	and
you	PP	you
you	PP	you
you	PP	you
need	VVP	need
to	TO	to
look	VV	look
at	IN	at
what	WP	what
the	DT	the
parameters	NNS	parameter
are	VBP	be
the	DT	the
variables	NNS	variable
are	VBP	be
and	CC	and
figure	VV	figure
out	RP	out
where	WRB	where
there	EX	there
might	MD	might
be	VB	be
some	DT	some
potential	NN	potential
for	IN	for
movement	NN	movement
um	VVG	um
I	PP	I
I	PP	I
I	PP	I
can	MD	can
only	RB	only
repeat	VV	repeat
what	WP	what
I	PP	I
said	VVD	say
before	IN	before
a	DT	a
partial	JJ	partial
uh	UH	uh
hostage	NN	hostage
release	NN	release
for	IN	for
a	DT	a
temporary	JJ	temporary
ceasefire	NN	ceasefire
seems	VVZ	seem
to	TO	to
be	VB	be
uh	UH	uh
all	DT	all
that	IN/that	that
we	PP	we
can	MD	can
hope	VV	hope
for	IN	for
I	PP	I
know	VVP	know
that	IN/that	that
the	DT	the
Israelis	NPS	Israelis
would	MD	would
agree	VV	agree
to	TO	to
this	DT	this
I	NP	I
'	POS	'
m	NN	m
pretty	RB	pretty
sure	JJ	sure
um	NNS	um
and	CC	and
and	CC	and
perhaps	RB	perhaps
more	JJR	more
pressures	NNS	pressure
needed	VVN	need
by	IN	by
katar	NP	katar
and	CC	and
Egypt	NP	Egypt
on	RB	on
Hamas	VVD	Hamas
uh	UH	uh
to	TO	to
do	VV	do
the	DT	the
same	JJ	same
I	NP	I
I	NP	I
I	NP	I
don	NN	don
'	POS	'
t	NN	t
see	VVP	see
another	DT	another
way	NN	way
out	RB	out
now	RB	now
there	EX	there
are	VBP	be
other	JJ	other
variables	NNS	variable
including	VVG	include
uh	UH	uh
does	VVZ	do
Israel	NP	Israel
insist	VV	insist
on	IN	on
Security	NP	Security
checks	NNS	check
of	IN	of
the	DT	the
people	NNS	people
that	IN/that	that
they	PP	they
let	VVD	let
out	RP	out
of	IN	of
Rafa	NP	Rafa
to	TO	to
go	VV	go
back	RB	back
North	JJ	North
to	TO	to
hanun	NP	hanun
Gaza	NP	Gaza
City	NP	City
uh	UH	uh
they	PP	they
insist	VVP	insist
on	IN	on
it	PP	it
I	PP	I
don	VVP	don
'	''	'
t	NN	t
think	VVP	think
they	PP	they
'	''	'
re	IN	re
going	VVG	go
to	TO	to
give	VV	give
up	RP	up
on	IN	on
them	PP	them
so	IN	so
I	PP	I
I	PP	I
I	NP	I
'	POS	'
m	NN	m
not	RB	not
terribly	RB	terribly
optimistic	JJ	optimistic
for	IN	for
these	DT	these
reasons	NNS	reason
on	IN	on
the	DT	the
other	JJ	other
hand	NN	hand
there	EX	there
is	VBZ	be
a	DT	a
lot	NN	lot
of	IN	of
pressure	NN	pressure
on	IN	on
the	DT	the
Israelis	NPS	Israelis
to	TO	to
uh	UH	uh
the	DT	the
Israeli	JJ	Israeli
government	NN	government
uh	UH	uh
from	IN	from
within	IN	within
Israel	NP	Israel
to	TO	to
find	VV	find
some	DT	some
way	NN	way
to	TO	to
do	VV	do
a	DT	a
deal	NN	deal
that	WDT	that
is	VBZ	be
true	JJ	true
that	WDT	that
is	VBZ	be
true	JJ	true
uh	UH	uh
and	CC	and
indeed	RB	indeed
there	EX	there
has	VHZ	have
been	VBN	be
talk	NN	talk
of	IN	of
Netanyahu	NP	Netanyahu
not	RB	not
giving	VVG	give
enough	RB	enough
of	IN	of
a	DT	a
mandate	VV	mandate
uh	UH	uh
to	TO	to
the	DT	the
