luchano	NP	luchano
mean	VVP	mean
considering	VVG	consider
that	IN/that	that
more	JJR	more
than	IN	than
60	CD	@card@
or	CC	or
70	CD	@card@
people	NNS	people
already	RB	already
died	VVD	die
already	RB	already
journalist	NN	journalist
died	VVD	die
but	CC	but
their	PP$	their
families	NNS	family
are	VBP	be
dying	VVG	die
because	IN	because
they	PP	they
are	VBP	be
living	VVG	live
the	DT	the
same	JJ	same
place	NN	place
that	IN/that	that
they	PP	they
are	VBP	be
have	VHP	have
been	VBN	be
bombed	VVN	bomb
which	WDT	which
is	VBZ	be
showing	VVG	show
that	IN/that	that
there	EX	there
is	VBZ	be
no	DT	no
profession	NN	profession
or	CC	or
no	UH	no
uh	UH	uh
Place	VV	place
safe	JJ	safe
in	IN	in
gasa	NN	gasa
right	NN	right
now	RB	now
being	VBG	be
journalist	NN	journalist
being	VBG	be
doctor	NN	doctor
you	PP	you
go	VVP	go
to	TO	to
work	VV	work
and	CC	and
you	PP	you
don	VVP	don
'	''	'
t	NN	t
know	VVP	know
if	IN	if
you	PP	you
come	VVP	come
back	RB	back
if	IN	if
you	PP	you
be	VB	be
going	VVG	go
to	TO	to
be	VB	be
killed	VVN	kill
or	CC	or
if	IN	if
your	PP$	your
family	NN	family
that	IN/that	that
you	PP	you
left	VVD	leave
behind	RB	behind
because	IN	because
you	PP	you
went	VVD	go
to	TO	to
to	TO	to
work	VV	work
is	VBZ	be
going	VVG	go
to	TO	to
be	VB	be
killed	VVN	kill
this	DT	this
is	VBZ	be
the	DT	the
case	NN	case
that	IN/that	that
we	PP	we
are	VBP	be
witnessing	VVG	witness
uh	UH	uh
nowadays	RB	nowadays
uh	UH	uh
the	DT	the
couple	NN	couple
of	IN	of
or	CC	or
last	JJ	last
month	NN	month
journalist	NN	journalist
of	IN	of
Al	NP	Al
jair	NP	jair
lost	VVD	lose
all	PDT	all
his	PP$	his
family	NN	family
we	PP	we
all	RB	all
know	VVP	know
journalist	NN	journalist
not	RB	not
only	RB	only
from	IN	from
Palestinian	JJ	Palestinian
but	CC	but
from	IN	from
many	JJ	many
countries	NNS	country
that	IN/that	that
they	PP	they
have	VHP	have
relatives	NNS	relative
that	WDT	that
they	PP	they
are	VBP	be
living	VVG	live
in	IN	in
gasa	NN	gasa
that	IN/that	that
they	PP	they
lost	VVD	lose
their	PP$	their
lives	VVZ	live
ER	UH	er
and	CC	and
they	PP	they
know	VVP	know
they	PP	they
knew	VVD	know
about	RB	about
that	IN/that	that
when	WRB	when
they	PP	they
were	VBD	be
working	VVG	work
when	WRB	when
they	PP	they
were	VBD	be
reporting	VVG	report
about	IN	about
the	DT	the
gasa	NN	gasa
War	NN	war
Yeah	RB	yeah
you	PP	you
mentioned	VVD	mention
there	RB	there
um	JJ	um
the	DT	the
Al	NP	Al
'	POS	'
s	JJ	s
gar	NN	gar
of	IN	of
bureau	NN	bureau
chief	NN	chief
who	WP	who
lost	VVD	lose
so	IN	so
many	JJ	many
members	NNS	member
of	IN	of
his	PP$	his
family	NN	family
yet	CC	yet
he	PP	he
continues	VVZ	continue
to	TO	to
do	VV	do
the	DT	the
job	NN	job
and	CC	and
he	PP	he
U	NP	U
suffered	VVD	suffer
injuries	NNS	injury
uh	UH	uh
as	RB	as
well	RB	well
in	IN	in
this	DT	this
um	JJ	um
attack	NN	attack
and	CC	and
uh	UH	uh
he	PP	he
is	VBZ	be
hopefully	RB	hopefully
recovering	VVG	recover
from	IN	from
those	DT	those
injuries	NNS	injury
in	IN	in
hospital	NN	hospital
because	IN	because
he	PP	he
was	VBD	be
he	PP	he
was	VBD	be
able	JJ	able
to	TO	to
get	VV	get
to	TO	to
um	NNS	um
a	DT	a
hospital	NN	hospital
uh	UH	uh
and	CC	and
yet	RB	yet
the	DT	the
fact	NN	fact
that	IN/that	that
he	PP	he
he	PP	he
continues	VVZ	continue
to	TO	to
do	VV	do
this	DT	this
um	NNS	um
it	PP	it
is	VBZ	be
it	PP	it
is	VBZ	be
incredible	JJ	incredible
that	IN/that	that
that	WDT	that
they	PP	they
find	VVP	find
the	DT	the
determination	NN	determination
to	TO	to
carry	VV	carry
on	IN	on
after	IN	after
all	DT	all
of	IN	of
this	DT	this
yeah	RB	yeah
exactly	RB	exactly
I	PP	I
mean	VVP	mean
I	PP	I
mean	VV	mean
this	DT	this
is	VBZ	be
a	DT	a
very	RB	very
um	VVG	um
uh	UH	uh
I	PP	I
mean	VVP	mean
the	DT	the
spirit	NN	spirit
of	IN	of
these	DT	these
people	NNS	people
that	IN/that	that
they	PP	they
are	VBP	be
still	RB	still
there	RB	there
working	VVG	work
on	IN	on
doing	VVG	do
their	PP$	their
their	PP$	their
job	NN	job
trying	VVG	try
to	TO	to
report	VV	report
considering	VVG	consider
all	PDT	all
the	DT	the
already	RB	already
uh	UH	uh
problematic	JJ	problematic
situations	NNS	situation
that	IN/that	that
they	PP	they
are	VBP	be
witnessing	VVG	witness
uh	UH	uh
I	PP	I
mean	VVP	mean
how	WRB	how
to	TO	to
deal	VV	deal
with	IN	with
the	DT	the
with	IN	with
with	IN	with
the	DT	the
emotions	NNS	emotion
because	IN	because
they	PP	they
are	VBP	be
reporting	VVG	report
about	IN	about
their	PP$	their
own	JJ	own
people	NNS	people
they	PP	they
'	POS	'
re	NN	re
reporting	VVG	report
even	RB	even
their	PP$	their
about	IN	about
their	PP$	their
own	JJ	own
families	NNS	family
I	PP	I
mean	VVP	mean
if	IN	if
you	PP	you
reporting	VVG	report
about	IN	about
a	DT	a
a	DT	a
bomb	VV	bomb
uh	UH	uh
that	WDT	that
just	RB	just
exploded	VVD	explode
one	CD	one
neighborhood	NN	neighborhood
you	PP	you
are	VBP	be
noticing	VVG	notice
that	IN/that	that
it	PP	it
'	POS	'
s	JJ	s
close	NN	close
to	TO	to
your	PP$	your
place	NN	place
or	CC	or
close	VV	close
to	TO	to
your	PP$	your
family	NN	family
close	NN	close
to	TO	to
your	PP$	your
relatives	NNS	relative
friends	NNS	friend
Etc	NN	etc
the	DT	the
situation	NN	situation
is	VBZ	be
much	RB	much
more	RBR	more
complicated	JJ	complicated
we	PP	we
are	VBP	be
not	RB	not
talking	VVG	talk
about	IN	about
journalists	NNS	journalist
that	IN/that	that
they	PP	they
are	VBP	be
traveling	VVG	travel
to	TO	to
another	DT	another
country	NN	country
to	TO	to
report	VV	report
we	PP	we
are	VBP	be
talking	VVG	talk
about	IN	about
journalists	NNS	journalist
that	IN/that	that
they	PP	they
live	VVP	live
they	PP	they
belong	VV	belong
uh	UH	uh
to	TO	to
that	DT	that
to	TO	to
that	WDT	that
uh	UH	uh
to	TO	to
that	DT	that
same	JJ	same
to	TO	to
the	DT	the
same	JJ	same
place	NN	place
and	CC	and
that	IN/that	that
they	PP	they
have	VHP	have
their	PP$	their
family	NN	family
there	RB	there
so	RB	so
I	PP	I
think	VV	think
uh	UH	uh
it	PP	it
'	POS	'
s	NN	S
not	RB	not
something	NN	something
that	WDT	that
is	VBZ	be
happening	VVG	happen
out	RP	out
of	IN	of
the	DT	the
blue	NN	blue
as	IN	as
many	JJ	many
reports	NNS	report
are	VBP	be
saying	VVG	say
that	IN/that	that
they	PP	they
have	VHP	have
been	VBN	be
specifically	RB	specifically
targeted	VVN	target
but	CC	but
as	RB	as
I	PP	I
said	VVD	say
before	IN	before
there	EX	there
is	VBZ	be
no	DT	no
profession	NN	profession
that	WDT	that
is	VBZ	be
safe	JJ	safe
now	RB	now
being	JJ	being
journalist	NN	journalist
being	VBG	be
security	NN	security
agent	NN	agent
being	VBG	be
a	DT	a
um	NNS	um
I	PP	I
mean	VVP	mean
someone	NN	someone
who	WP	who
produce	VVP	produce
food	NN	food
or	CC	or
bread	NN	bread
or	CC	or
whatever	WDT	whatever
I	PP	I
mean	VVP	mean
doctors	NNS	doctor
nurses	NNS	nurse
are	VBP	be
all	RB	all
being	VBG	be
uh	UH	uh
targets	VVZ	target
uh	UH	uh
so	RB	so
basically	RB	basically
everybody	NN	everybody
is	VBZ	be
is	VBZ	be
not	RB	not
safe	JJ	safe
they	PP	they
in	IN	in
gasa	NN	gasa
right	RB	right
now	RB	now
luchano	NN	luchano
good	JJ	good
to	TO	to
get	VV	get
your	PP$	your
thoughts	NNS	thought
on	IN	on
this	DT	this
appreciated	VVN	appreciate
thank	VVP	thank
you	PP	you
very	RB	very
much	RB	much
now	RB	now
