okay	VV	okay
Israel	NP	Israel
to	TO	to
withdraw	VV	withdraw
from	IN	from
northern	JJ	northern
Gaza	NP	Gaza
yes	NN	yes
this	DT	this
is	VBZ	be
a	DT	a
change	NN	change
from	IN	from
what	WP	what
they	PP	they
were	VBD	be
asking	VVG	ask
a	DT	a
couple	NN	couple
weeks	NNS	week
ago	RB	ago
which	WDT	which
was	VBD	be
Israel	NP	Israel
withdraw	VV	withdraw
from	IN	from
all	DT	all
of	IN	of
Gaza	NP	Gaza
yes	NN	yes
and	CC	and
Hamas	NN	Hamas
wants	VVZ	want
Palestinian	NP	Palestinian
Israel	NP	Israel
to	TO	to
allow	VV	allow
Palestinians	NPS	Palestinians
to	TO	to
go	VV	go
back	RB	back
to	TO	to
the	DT	the
north	NN	north
but	CC	but
you	PP	you
said	VVD	say
700	CD	@card@
,	,	,
000	CD	@card@
meaning	NN	meaning
not	RB	not
all	DT	all
Palestinians	NPS	Palestinians
no	RB	no
we	PP	we
talk	VVP	talk
we	PP	we
talk	VV	talk
about	IN	about
Northern	NP	Northern
Gaza	NP	Gaza
used	VVD	use
to	TO	to
have	VH	have
1	CD	@card@
.	SENT	.
4	CD	@card@
million	CD	million
yes	NN	yes
700	CD	@card@
,	,	,
000	CD	@card@
they	PP	they
went	VVD	go
to	TO	to
the	DT	the
South	NP	South
because	IN	because
of	IN	of
Israeli	JJ	Israeli
pressure	NN	pressure
now	RB	now
Hamas	NP	Hamas
says	VVZ	say
those	DT	those
people	NNS	people
should	MD	should
come	VV	come
back	RB	back
to	TO	to
the	DT	the
northern	JJ	northern
Gaza	NP	Gaza
so	RB	so
basically	RB	basically
everyone	NN	everyone
in	IN	in
the	DT	the
northern	JJ	northern
Gaza	NP	Gaza
should	MD	should
go	VV	go
back	RB	back
that	RB	that
'	''	'
s	NNS	s
that	WDT	that
'	POS	'
s	NNS	s
the	DT	the
point	NN	point
and	CC	and
in	IN	in
exchange	NN	exchange
for	IN	for
that	DT	that
exchange	NN	exchange
for	IN	for
that	DT	that
6	CD	@card@
weeks	NNS	week
uh	UH	uh
of	IN	of
ceasefire	NN	ceasefire
and	CC	and
then	RB	then
addition	NN	addition
and	CC	and
the	DT	the
third	JJ	third
issue	NN	issue
which	WDT	which
there	RB	there
was	VBD	be
I	PP	I
would	MD	would
say	VV	say
in	IN	in
in	IN	in
there	EX	there
was	VBD	be
a	DT	a
huge	JJ	huge
difference	NN	difference
about	IN	about
or	CC	or
the	DT	the
huge	JJ	huge
discussion	NN	discussion
about	IN	about
it	PP	it
is	VBZ	be
uh	UH	uh
the	DT	the
equivalency	NN	equivalency
of	IN	of
each	DT	each
captive	NN	captive
of	IN	of
the	DT	the
Palestinians	NPS	Palestinians
so	RB	so
used	VVD	use
to	TO	to
say	VV	say
that	RB	that
'	''	'
s	NNS	s
that	WDT	that
'	POS	'
s	NNS	s
another	DT	another
issue	NN	issue
used	VVN	use
to	TO	to
talk	VV	talk
about	IN	about
14	CD	@card@
or	CC	or
110	CD	@card@
yeah	RB	yeah
this	DT	this
is	VBZ	be
the	DT	the
ratio	NN	ratio
of	IN	of
how	WRB	how
many	JJ	many
Palestinian	JJ	Palestinian
prisoners	NNS	prisoner
you	PP	you
relased	VVD	relased
from	IN	from
Israeli	JJ	Israeli
jails	NNS	jail
for	IN	for
one	CD	one
Israeli	JJ	Israeli
ctive	NN	ctive
released	VVN	release
from	IN	from
Gaza	NP	Gaza
seem	VVP	seem
this	DT	this
issue	NN	issue
was	VBD	be
solved	VVN	solve
last	JJ	last
week	NN	week
because	IN	because
they	PP	they
talked	VVD	talk
about	RB	about
I	PP	I
think	VVP	think
40	CD	@card@
45	CD	@card@
Israelis	NPS	Israelis
or	CC	or
40	NP	@card@
Israelis	NPS	Israelis
uh	UH	uh
with	IN	with
400	CD	@card@
something	NN	something
Palestinians	NPS	Palestinians
including	VVG	include
uh	UH	uh
I	PP	I
would	MD	would
say	VV	say
an	DT	an
important	JJ	important
figures	NNS	figure
within	IN	within
the	DT	the
Palestinian	JJ	Palestinian
prisoners	NNS	prisoner
now	RB	now
what	WP	what
'	POS	'
s	NNS	s
happening	VVG	happen
in	IN	in
the	DT	the
last	JJ	last
24	CD	@card@
hours	NNS	hour
I	PP	I
can	MD	can
understand	VV	understand
it	PP	it
in	IN	in
two	CD	two
context	NN	context
one	CD	one
one	CD	one
the	DT	the
flower	NN	flower
Mass	NN	Mass
massacres	NNS	massacre
which	WDT	which
basically	RB	basically
killed	VVD	kill
100	CD	@card@
Palestinian	NN	Palestinian
and	CC	and
the	DT	the
reaction	NN	reaction
of	IN	of
that	DT	that
which	WDT	which
basically	RB	basically
had	VHD	have
more	JJR	more
pressure	NN	pressure
on	IN	on
the	DT	the
Americans	NPS	Americans
Europeans	NPS	Europeans
to	TO	to
do	VV	do
something	NN	something
very	RB	very
quick	JJ	quick
we	PP	we
have	VHP	have
just	RB	just
a	DT	a
few	JJ	few
seconds	NNS	second
left	VVD	leave
yeah	RB	yeah
and	CC	and
the	DT	the
second	JJ	second
point	NN	point
is	VBZ	be
actually	RB	actually
this	DT	this
kind	NN	kind
of	IN	of
humanitarian	JJ	humanitarian
crisis	NN	crisis
would	MD	would
be	VB	be
basically	RB	basically
is	VBZ	be
crising	VVG	crising
rapidly	RB	rapidly
and	CC	and
there	EX	there
'	''	'
s	NN	S
there	EX	there
should	MD	should
be	VB	be
a	DT	a
solution	NN	solution
quickly	RB	quickly
okay	JJ	okay
that	IN/that	that
'	POS	'
s	NN	S
all	RB	all
really	RB	really
interesting	JJ	interesting
we	PP	we
'	''	'
re	IN	re
going	VVG	go
to	TO	to
leave	VV	leave
it	PP	it
at	IN	at
that	IN/that	that
for	IN	for
now	RB	now
we	PP	we
'	POS	'
re	NN	re
going	VVG	go
to	TO	to
gather	VV	gather
more	JJR	more
information	NN	information
bring	VV	bring
back	RB	back
and	CC	and
give	VV	give
our	PP$	our
viewers	NNS	viewer
a	DT	a
Full	NP	Full
Slate	NP	Slate
of	IN	of
news	NN	news
especially	RB	especially
on	IN	on
this	DT	this
breaking	JJ	breaking
news	NN	news
that	IN/that	that
according	VVG	accord
to	TO	to
us	PP	us
officials	NNS	official
Israelis	NNS	Israeli
have	VHP	have
essentially	RB	essentially
signed	VVN	sign
up	RP	up
on	IN	on
a	DT	a
deal	NN	deal
that	WDT	that
would	MD	would
involve	VV	involve
a	DT	a
six	CD	six
week	NN	week
ceasefire	NN	ceasefire
this	DT	this
would	MD	would
be	VB	be
to	TO	to
be	VB	be
uh	UH	uh
implemented	VVN	implement
sometime	RB	sometime
before	IN	before
Ramadan	NP	Ramadan
which	WDT	which
should	MD	should
start	VV	start
around	IN	around
March	NP	March
10th	JJ	10th
so	RB	so
in	IN	in
the	DT	the
coming	VVG	come
days	NNS	day
and	CC	and
that	IN/that	that
'	POS	'
s	NN	S
where	WRB	where
we	PP	we
are	VBP	be
in	IN	in
this	DT	this
story	NN	story
for	IN	for
now	RB	now
we	PP	we
'	POS	'
ll	NNS	ll
bring	VVP	bring
you	PP	you
much	RB	much
more	RBR	more
at	IN	at
the	DT	the
very	RB	very
top	JJ	top
of	IN	of
the	DT	the
hour	NN	hour
on	IN	on
aljazera	NN	aljazera
there	EX	there
is	VBZ	be
of	IN	of
course	NN	course
always	RB	always
uh	UH	uh
more	JJR	more
information	NN	information
on	IN	on
our	PP$	our
website	NN	website
aljazeera	NN	aljazeera
.	SENT	.
com	NN	com
weather	NN	weather
is	VBZ	be
next	RB	next
then	RB	then
you	PP	you
'	POS	'
ve	NN	ve
got	VVD	get
inside	IN	inside
story	NN	story
which	WDT	which
looks	VVZ	look
at	IN	at
the	DT	the
issue	NN	issue
of	IN	of
growing	VVG	grow
calls	NNS	call
for	IN	for
a	DT	a
ceasefire	NN	ceasefire
in	IN	in
Gaza	NP	Gaza
exactly	RB	exactly
what	WP	what
we	PP	we
were	VBD	be
just	RB	just
discussing	VVG	discuss
we	PP	we
'	POS	'
ll	NNS	ll
bring	VVP	bring
you	PP	you
more	JJR	more
on	IN	on
that	DT	that
at	IN	at
the	DT	the
top	NN	top
of	IN	of
the	DT	the
hour	NN	hour
stay	NN	stay
with	IN	with
aljaz	NP	aljaz
