<video_id>2BiEqO5sat0</video_id>	NN	<video_id>2BiEqO5sat0</video_id>
you	PP	you
see	VVP	see
them	PP	them
behind	IN	behind
us	PP	us
just	RB	just
a	DT	a
couple	NN	couple
of	IN	of
moments	NNS	moment
ago	RB	ago
you	PP	you
had	VHD	have
the	DT	the
singing	NN	singing
of	IN	of
the	DT	the
national	JJ	national
anthem	NN	anthem
before	IN	before
that	WDT	that
you	PP	you
had	VHD	have
a	DT	a
moment	NN	moment
of	IN	of
silence	NN	silence
for	IN	for
captives	NNS	captive
who	WP	who
uh	UH	uh
who	WP	who
were	VBD	be
killed	VVN	kill
in	IN	in
Gaza	NP	Gaza
during	IN	during
the	DT	the
war	NN	war
and	CC	and
everybody	NN	everybody
who's	NNS	who's
out	IN	out
here	RB	here
tonight	NN	tonight
is	VBZ	be
fully	RB	fully
aware	JJ	aware
that	IN/that	that
this	DT	this
is	VBZ	be
a	DT	a
very	RB	very
critical	JJ	critical
moment	NN	moment
when	WRB	when
it	PP	it
comes	VVZ	come
to	TO	to
negotiations	NNS	negotiation
about	IN	about
possibly	RB	possibly
entering	VVG	enter
into	IN	into
a	DT	a
ceasefire	NN	ceasefire
everybody	NN	everybody
that	DT	that
we've	NN	we've
been	VBN	be
speaking	VVG	speak
with	IN	with
has	VHZ	have
said	VVN	say
that	IN/that	that
the	DT	the
time	NN	time
is	VBZ	be
now	RB	now
they	PP	they
are	VBP	be
concerned	VVN	concern
that	IN/that	that
if	IN	if
a	DT	a
ceasefire	NN	ceasefire
is	VBZ	be
not	RB	not
entered	VVN	enter
into	IN	into
and	CC	and
that	DT	that
if	IN	if
Israel	NP	Israel
were	VBD	be
to	TO	to
then	RB	then
go	VV	go
into	IN	into
ra	NNS	ra
as	IN	as
Israel	NP	Israel
keeps	VVZ	keep
promising	VVG	promise
to	TO	to
do	VV	do
that	IN/that	that
that	WDT	that
would	MD	would
mean	VV	mean
that	IN/that	that
the	DT	the
captives	NNS	captive
would	MD	would
be	VB	be
very	RB	very
much	JJ	much
in	IN	in
a	DT	a
Harm's	NP	Harm's
Way	NN	way
that	IN/that	that
they	PP	they
could	MD	could
be	VB	be
killed	VVN	kill
they	PP	they
could	MD	could
be	VB	be
caught	VVN	catch
in	IN	in
crossfire	NN	crossfire
in	IN	in
the	DT	the
fighting	VVG	fight
they're	NN	they're
very	RB	very
worried	VVD	worry
about	RB	about
that	IN/that	that
they	PP	they
are	VBP	be
calling	VVG	call
on	IN	on
the	DT	the
government	NN	government
to	TO	to
do	VV	do
everything	NN	everything
that	IN/that	that
it	PP	it
can	MD	can
to	TO	to
go	VV	go
ahead	RB	ahead
and	CC	and
enter	VV	enter
into	IN	into
a	DT	a
ceasefire	NN	ceasefire
and	CC	and
to	TO	to
affect	VV	affect
a	DT	a
deal	NN	deal
to	TO	to
release	VV	release
those	DT	those
captives	NNS	captive
now	RB	now
you	PP	you
have	VHP	have
different	JJ	different
groups	NNS	group
here	RB	here
as	IN	as
you	PP	you
mentioned	VVD	mention
you	PP	you
have	VHP	have
anti-g	NN	anti-g
demonstrators	NNS	demonstrator
people	NNS	people
who	WP	who
are	VBP	be
calling	VVG	call
on	IN	on
prime	JJ	prime
minister	NN	minister
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
to	TO	to
resign	VV	resign
because	IN	because
they	PP	they
don't	VVD	don't
they	PP	they
say	VVP	say
he's	NNS	he's
not	RB	not
doing	VVG	do
enough	RB	enough
to	TO	to
ensure	VV	ensure
an	DT	an
end	NN	end
to	TO	to
the	DT	the
war	NN	war
and	CC	and
then	RB	then
you	PP	you
have	VHP	have
relatives	NNS	relative
of	IN	of
those	DT	those
captives	NNS	captive
Who	WP	who
come	VVP	come
out	RP	out
week	NN	week
after	IN	after
week	NN	week
and	CC	and
they	PP	they
are	VBP	be
calling	VVG	call
on	IN	on
the	DT	the
government	NN	government
to	TO	to
do	VV	do
more	RBR	more
to	TO	to
ensure	VV	ensure
that	IN/that	that
their	PP$	their
relatives	NNS	relative
and	CC	and
loved	VVN	love
ones	NNS	one
can	MD	can
actually	RB	actually
return	VV	return
home	NN	home
it's	NNS	it's
a	DT	a
very	RB	very
vocal	JJ	vocal
crowd	NN	crowd
we've	NN	we've
heard	VVD	hear
numerous	JJ	numerous
speakers	NNS	speaker
already	RB	already
say	VVP	say
that	IN/that	that
they	PP	they
don't	VVD	don't
believe	VV	believe
that	IN/that	that
the	DT	the
government	NN	government
is	VBZ	be
doing	VVG	do
enough	RB	enough
they	PP	they
want	VVP	want
to	TO	to
see	VV	see
as	IN	as
many	JJ	many
people	NNS	people
as	IN	as
possible	JJ	possible
out	IN	out
here	RB	here
tonight	RB	tonight
to	TO	to
try	VV	try
to	TO	to
put	VV	put
as	IN	as
much	JJ	much
pressure	NN	pressure
on	IN	on
the	DT	the
government	NN	government
as	IN	as
possible	JJ	possible
so	RB	so
that	IN/that	that
the	DT	the
government	NN	government
will	MD	will
listen	VV	listen
to	TO	to
their	PP$	their
demands	NNS	demand
to	TO	to
that	WDT	that
end	NN	end
this	DT	this
is	VBZ	be
not	RB	not
the	DT	the
only	JJ	only
protest	NN	protest
site	NN	site
in	IN	in
the	DT	the
country	NN	country
on	IN	on
this	DT	this
Saturday	NP	Saturday
evening	NN	evening
at	IN	at
this	DT	this
moment	NN	moment
we're	NN	we're
told	VVD	tell
there	EX	there
are	VBP	be
also	RB	also
protests	NNS	protest
that	WDT	that
are	VBP	be
happening	VVG	happen
in	IN	in
hia	NN	hia
and	CC	and
also	RB	also
in	IN	in
cesaria	NN	cesaria
which	WDT	which
is	VBZ	be
where	WRB	where
the	DT	the
Prime	NP	Prime
Minister	NP	Minister
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
has	VHZ	have
a	DT	a
residence	NN	residence
it's	NNS	it's
expected	VVD	expect
that	IN/that	that
there	EX	there
will	MD	will
also	RB	also
be	VB	be
protests	NNS	protest
in	IN	in
other	JJ	other
cities	NNS	city
throughout	IN	throughout
the	DT	the
country	NN	country
so	IN	so
it's	NNS	it's
a	DT	a
very	RB	very
fraught	JJ	fraught
moment	NN	moment
people	NNS	people
very	RB	very
much	RB	much
aware	JJ	aware
this	DT	this
is	VBZ	be
a	DT	a
very	RB	very
critical	JJ	critical
time	NN	time
and	CC	and
this	DT	this
could	MD	could
very	RB	very
much	RB	much
really	RB	really
just	RB	just
um	JJ	um
what	WP	what
happens	VVZ	happen
tonight	RB	tonight
in	IN	in
the	DT	the
hours	NNS	hour
ahead	RB	ahead
could	MD	could
very	RB	very
much	RB	much
impact	VV	impact
what	WP	what
happens	VVZ	happen
to	TO	to
the	DT	the
captives	NNS	captive
going	VVG	go
forward	RB	forward
s	JJ	s
I'm	NP	I'm
Muhammad	NP	Muhammad
thank	VVP	thank
you	PP	you
very	RB	very
much	RB	much
for	IN	for
your	PP$	your
reporting	NN	reporting
there	RB	there
live	JJ	live
from	IN	from
Tel	NP	Tel
Aviv	NP	Aviv
we'll	NN	we'll
keep	VVP	keep
checking	VVG	check
in	IN	in
with	IN	with
you	PP	you
throughout	IN	throughout
the	DT	the
evening	NN	evening
let's	NNS	let's
go	VVP	go
to	TO	to
Tar	VV	tar
gabum	NN	gabum
who's	NNS	who's
in	IN	in
Rafa	NP	Rafa
in	IN	in
southern	JJ	southern
Gaza	NP	Gaza
T	NN	T
nobody	NN	nobody
has	VHZ	have
more	JJR	more
at	IN	at
stake	NN	stake
in	IN	in
these	DT	these
negot	NN	negot
negotiations	NNS	negotiation
for	IN	for
a	DT	a
ceasefire	NN	ceasefire
then	RB	then
the	DT	the
Palestinians	NPS	Palestinians
of	IN	of
course	NN	course
who	WP	who
live	VVP	live
in	IN	in
Gaza	NP	Gaza
who	WP	who
live	VVP	live
under	IN	under
the	DT	the
bombs	NNS	bomb
and	CC	and
under	IN	under
the	DT	the
Israeli	JJ	Israeli
attacks	NNS	attack
how	WRB	how
closely	RB	closely
are	VBP	be
they	PP	they
following	VVG	follow
this	DT	this
well	RB	well
seral	JJ	seral
as	IN	as
you	PP	you
can	MD	can
clearly	RB	clearly
hear	VV	hear
right	RB	right
now	RB	now
at	IN	at
the	DT	the
back	NN	back
of	IN	of
ground	NN	ground
that	IN/that	that
Palestinian	JJ	Palestinian
children	NNS	child
men	NNS	man
and	CC	and
everyone	NN	everyone
is	VBZ	be
chanting	VVG	chant
that	IN/that	that
we	PP	we
want	VVP	want
to	TO	to
return	VV	return
we	PP	we
want	VVP	want
to	TO	to
have	VH	have
hodna	NN	hodna
which	WDT	which
means	VVZ	mean
a	DT	a
ceasefire	NN	ceasefire
agreement	NN	agreement
they	PP	they
have	VHP	have
been	VBN	be
chanting	VVG	chant
this	DT	this
for	IN	for
a	DT	a
couple	NN	couple
of	IN	of
hours	NNS	hour
ago	RB	ago
and	CC	and
right	RB	right
now	RB	now
they	PP	they
have	VHP	have
been	VBN	be
re	IN	re
shanting	NN	shanting
as	IN	as
they	PP	they
are	VBP	be
completely	RB	completely
optimistic	JJ	optimistic
about	IN	about
this	DT	this
round	NN	round
of	IN	of
negotiations	NNS	negotiation
to	TO	to
be	VB	be
made	VVN	make
that	WDT	that
is	VBZ	be
ongoing	JJ	ongoing
in	IN	in
Cara	NP	Cara
between	IN	between
Hamas	NP	Hamas
and	CC	and
Israel	NP	Israel
they	PP	they
have	VHP	have
been	VBN	be
following	VVG	follow
closely	RB	closely
what	WP	what
was	VBD	be
going	VVG	go
on	IN	on
there	RB	there
as	IN	as
they	PP	they
have	VHP	have
been	VBN	be
really	RB	really
feeling	VVG	feel
the	DT	the
optimistic	JJ	optimistic
atmosphere	NN	atmosphere
of	IN	of
this	DT	this
round	NN	round
of	IN	of
talks	NNS	talk
in	IN	in
order	NN	order
to	TO	to
get	VV	get
to	TO	to
a	DT	a
ceasefire	NN	ceasefire
agreement	NN	agreement
but	CC	but
that	DT	that
kind	NN	kind
of	IN	of
happiness	NN	happiness
that	IN/that	that
Palestinians	NNS	Palestinian
are	VBP	be
really	RB	really
having	VHG	have
right	NN	right
now	RB	now
is	VBZ	be
completely	RB	completely
mixed	VVN	mix
with	IN	with
a	DT	a
deep	JJ	deep
and	CC	and
completely	RB	completely
hidden	JJ	hidden
sense	NN	sense
of	IN	of
frustration	NN	frustration
regarding	VVG	regard
any	DT	any
possibility	NN	possibility
for	IN	for
the	DT	the
collapse	NN	collapse
of	IN	of
the	DT	the
negotiations	NNS	negotiation
they	PP	they
have	VHP	have
been	VBN	be
calling	VVG	call
for	IN	for
the	DT	the
return	NN	return
because	IN	because
they	PP	they
have	VHP	have
been	VBN	be
multiply	RB	multiply
displaced	VVN	displace
from	IN	from
the	DT	the
houses	NNS	house
they	PP	they
have	VHP	have
been	VBN	be
going	VVG	go
through	IN	through
really	RB	really
difficult	JJ	difficult
humanitarian	JJ	humanitarian
security	NN	security
conditions	NNS	condition
and	CC	and
they	PP	they
are	VBP	be
waiting	VVG	wait
eagerly	RB	eagerly
to	TO	to
the	DT	the
day	NN	day
they	PP	they
might	MD	might
really	RB	really
return	VV	return
back	RB	back
to	TO	to
the	DT	the
houses	NNS	house
in	IN	in
the	DT	the
nor	CC	nor
so	RB	so
any	DT	any
collapse	NN	collapse
of	IN	of
these	DT	these
ongoing	JJ	ongoing
negotiations	NNS	negotiation
will	MD	will
be	VB	be
extremely	RB	extremely
a	DT	a
shock	NN	shock
for	IN	for
the	DT	the
vast	JJ	vast
majority	NN	majority
of	IN	of
gaza's	NN	gaza's
population	NN	population
who	WP	who
are	VBP	be
really	RB	really
hoping	VVG	hope
to	TO	to
hear	VV	hear
soon	RB	soon
the	DT	the
announcement	NN	announcement
of	IN	of
a	DT	a
ceas	NNS	ceas
fire	NN	fire
agreement	NN	agreement
between	IN	between
Hamas	NP	Hamas
and	CC	and
Israel	NP	Israel
all	DT	all
right	JJ	right
tar	NN	tar
kabaz	NNS	kabaz
thank	VVP	thank
you	PP	you
for	IN	for
your	PP$	your
reporting	NN	reporting
there	RB	there
from	IN	from
Southern	NP	Southern
Gaza	NP	Gaza
in	IN	in
Rafa	NP	Rafa
where	WRB	where
so	RB	so
many	JJ	many
Palestinians	NPS	Palestinians
have	VHP	have
been	VBN	be
displaced	VVN	displace
uh	UH	uh
since	IN	since
the	DT	the
beginning	NN	beginning
of	IN	of
this	DT	this
conflict	NN	conflict
thank	VVP	thank
you	PP	you
make	VVP	make
sure	RB	sure
to	TO	to
subscribe	VV	subscribe
to	TO	to
our	PP$	our
channel	NN	channel
to	TO	to
get	VV	get
the	DT	the
latest	JJS	late
news	NN	news
from	IN	from
Al	NP	Al
jazer	NN	jazer
</doc>	NN	</doc>
