<video_id>eUtE7X481VM</video_id>	JJ	<video_id>eUtE7X481VM</video_id>
leader	NN	leader
of	IN	of
the	DT	the
opposition	NN	opposition
party	NN	party
the	DT	the
Justice	NP	Justice
Minister	NP	Minister
and	CC	and
several	JJ	several
several	JJ	several
others	NNS	other
and	CC	and
we	PP	we
have	VHP	have
seen	VVN	see
that	IN/that	that
the	DT	the
parliament	NN	parliament
speaker	NN	speaker
has	VHZ	have
delivered	VVN	deliver
the	DT	the
speech	NN	speech
promis	NN	promis
in	IN	in
that	WDT	that
Justice	NP	Justice
is	VBZ	be
going	VVG	go
to	TO	to
be	VB	be
delivered	VVN	deliver
that's	JJ	that's
right	JJ	right
R	NN	R
he	PP	he
said	VVD	say
that	IN/that	that
ao's	NN	ao's
death	NN	death
will	MD	will
not	RB	not
be	VB	be
in	IN	in
vain	JJ	vain
so	RB	so
tell	VV	tell
us	PP	us
what	WP	what
the	DT	the
Turkish	JJ	Turkish
government	NN	government
is	VBZ	be
doing	VVG	do
about	IN	about
her	PP$	her
killing	VVG	kill
well	NN	well
turkey	NN	turkey
has	VHZ	have
said	VVN	say
that	IN/that	that
there	EX	there
uh	UH	uh
they	PP	they
have	VHP	have
launched	VVN	launch
their	PP$	their
independent	JJ	independent
investigation	NN	investigation
and	CC	and
the	DT	the
reason	NN	reason
for	IN	for
that	WDT	that
is	VBZ	be
the	DT	the
lack	NN	lack
of	IN	of
trust	NN	trust
toward	IN	toward
the	DT	the
Israeli	JJ	Israeli
investigation	NN	investigation
uh	UH	uh
they	PP	they
said	VVD	say
that	IN/that	that
Israeli	JJ	Israeli
investigation	NN	investigation
is	VBZ	be
not	RB	not
reliable	JJ	reliable
there	EX	there
are	VBP	be
lots	NNS	lot
of	IN	of
ambiguities	NNS	ambiguity
around	IN	around
it	PP	it
is	VBZ	be
not	RB	not
transparent	JJ	transparent
and	CC	and
of	IN	of
of	IN	of
course	NN	course
it	PP	it
doesn't	VVD	doesn't
make	VV	make
sense	NN	sense
for	IN	for
them	PP	them
that	WDT	that
is	VBZ	be
they	PP	they
because	IN	because
Turkish	JJ	Turkish
officials	NNS	official
are	VBP	be
considering	VVG	consider
Israel	NP	Israel
as	IN	as
the	DT	the
killer	NN	killer
of	IN	of
aaur	NN	aaur
So	RB	so
based	VVN	base
on	IN	on
that	IN/that	that
they	PP	they
have	VHP	have
launched	VVN	launch
their	PP$	their
own	JJ	own
investigation	NN	investigation
and	CC	and
we	PP	we
have	VHP	have
heard	VVN	hear
from	IN	from
ao's	NN	ao's
father	NN	father
mmed	JJ	mmed
SWAT	NN	swat
AI	VVZ	ai
again	RB	again
again	RB	again
has	VHZ	have
been	VBN	be
calling	VVG	call
on	IN	on
the	DT	the
US	NP	US
United	NP	United
States	NPS	States
government	NN	government
also	RB	also
to	TO	to
do	VV	do
the	DT	the
same	JJ	same
but	CC	but
turkey	NN	turkey
is	VBZ	be
is	VBZ	be
taking	VVG	take
a	DT	a
further	JJR	further
step	NN	step
so	IN	so
it	PP	it
has	VHZ	have
done	VVN	do
it's	NNS	it's
own	JJ	own
autopsy	NN	autopsy
on	IN	on
autopsy	NN	autopsy
on	IN	on
on	IN	on
a	DT	a
Shan's	NP	Shan's
body	NN	body
and	CC	and
the	DT	the
Turkish	JJ	Turkish
officials	NNS	official
are	VBP	be
saying	VVG	say
that	IN/that	that
the	DT	the
findings	NNS	finding
of	IN	of
this	DT	this
investigation	NN	investigation
and	CC	and
also	RB	also
the	DT	the
autopsies	NNS	autopsy
are	VBP	be
going	VVG	go
to	TO	to
be	VB	be
provided	VVN	provide
to	TO	to
the	DT	the
international	JJ	international
court	NN	court
of	IN	of
justice	NN	justice
to	TO	to
be	VB	be
used	VVN	use
in	IN	in
the	DT	the
ongoing	JJ	ongoing
War	NP	War
crime	NN	crime
trial	NN	trial
against	IN	against
Israel	NP	Israel
but	CC	but
according	VVG	accord
to	TO	to
the	DT	the
parliament	NN	parliament
speaker	NN	speaker
that's	NNS	that's
not	RB	not
going	VVG	go
to	TO	to
be	VB	be
only	JJ	only
that	IN/that	that
his	PP$	his
promising	VVG	promise
that	IN/that	that
turkey	NN	turkey
is	VBZ	be
going	VVG	go
to	TO	to
take	VV	take
several	JJ	several
steps	NNS	step
internationally	RB	internationally
Rell	NP	Rell
thank	VVP	thank
you	PP	you
very	RB	very
much	RB	much
for	IN	for
that	IN/that	that
for	IN	for
now	RB	now
that	WDT	that
is	VBZ	be
our	PP$	our
correspondent	NN	correspondent
Rell	NP	Rell
sad	JJ	sad
he	PP	he
has	VHZ	have
been	VBN	be
covering	VVG	cover
the	DT	the
funeral	NN	funeral
for	IN	for
us	PP	us
he	PP	he
was	VBD	be
there	RB	there
for	IN	for
us	PP	us
even	RB	even
Yesterday	NN	yesterday
When	WRB	when
ao's	NN	ao's
body	NN	body
arrived	VVN	arrive
in	IN	in
Tura	NP	Tura
live	JJ	live
inm	NN	inm
thank	VV	thank
you	PP	you
so	RB	so
much	RB	much
for	IN	for
your	PP$	your
reporting	VVG	report
we're	NN	we're
now	RB	now
joined	VVD	join
by	IN	by
v	NN	v
basan	NN	basan
he's	NNS	he's
a	DT	a
political	JJ	political
analyst	NN	analyst
and	CC	and
assistant	JJ	assistant
professor	NN	professor
of	IN	of
history	NN	history
at	IN	at
ibben	NP	ibben
halun	NP	halun
University	NP	University
and	CC	and
he's	NNS	he's
joining	VVG	join
us	PP	us
live	VVP	live
from	IN	from
Istanbul	NP	Istanbul
thank	VVP	thank
you	PP	you
very	RB	very
much	RB	much
for	IN	for
your	PP$	your
time	NN	time
so	IN	so
we	PP	we
were	VBD	be
just	RB	just
hearing	VVG	hear
from	IN	from
our	PP$	our
correspondent	NN	correspondent
about	IN	about
the	DT	the
investig	NN	investig
ation	NN	ation
that	IN/that	that
Turkish	JJ	Turkish
authorities	NNS	authority
are	VBP	be
undertaking	VVG	undertake
inter	VV	inter
ao's	NNS	ao's
killing	VVG	kill
but	CC	but
our	PP$	our
correspondent	NN	correspondent
was	VBD	be
also	RB	also
talking	VVG	talk
about	IN	about
turkey	NN	turkey
hinting	VVG	hint
at	IN	at
possible	JJ	possible
other	JJ	other
steps	NNS	step
that	WDT	that
um	NNS	um
the	DT	the
country	NN	country
might	MD	might
take	VV	take
on	IN	on
the	DT	the
international	JJ	international
stage	NN	stage
we	PP	we
have	VHP	have
to	TO	to
of	IN	of
course	NN	course
see	VVP	see
what	WP	what
comes	VVZ	come
out	RP	out
of	IN	of
the	DT	the
investigation	NN	investigation
but	CC	but
based	VVN	base
on	IN	on
that	IN/that	that
what	WP	what
Avenues	NNS	avenue
does	VVZ	do
turkey	NN	turkey
have	VHP	have
in	IN	in
getting	VVG	get
Justice	NP	Justice
for	IN	for
one	CD	one
of	IN	of
its	PP$	its
citizens	NNS	citizen
killed	VVN	kill
by	IN	by
an	DT	an
Israeli	JJ	Israeli
soldier	NN	soldier
well	RB	well
as	RB	as
as	IN	as
uh	UH	uh
we're	NN	we're
witnessing	VVG	witness
currently	RB	currently
and	CC	and
the	DT	the
last	JJ	last
few	JJ	few
days	NNS	day
that	IN/that	that
aan	NN	aan
res	NNS	re
killing	VVG	kill
actually	RB	actually
became	VVD	become
a	DT	a
quite	RB	quite
uh	UH	uh
sadness	NN	sadness
Nationwide	JJ	nationwide
and	CC	and
president	NN	president
erogan	NN	erogan
even	RB	even
today	NN	today
in	IN	in
an	DT	an
International	NP	International
Conference	NP	Conference
press	NN	press
conference	NN	conference
uh	UH	uh
emphasized	VVN	emphasize
uh	UH	uh
this	DT	this
killing	NN	killing
and	CC	and
emphasized	VVD	emphasize
also	RB	also
that	IN/that	that
they	PP	they
will	MD	will
do	VV	do
their	PP$	their
best	JJS	good
uh	UH	uh
to	TO	to
at	IN	at
at	IN	at
legal	JJ	legal
front	VV	front
uh	UH	uh
to	TO	to
find	VV	find
uh	UH	uh
out	IN	out
who	WP	who
did	VVD	do
it	PP	it
and	CC	and
how	WRB	how
that	DT	that
uh	UH	uh
happened	VVD	happen
I'm	NP	I'm
sure	JJ	sure
turkey	NN	turkey
first	RB	first
launching	VVG	launch
an	DT	an
investigation	NN	investigation
locally	RB	locally
within	IN	within
turkey's	NN	turkey's
turkey's	NNS	turkey's
border	VV	border
uh	UH	uh
borders	NNS	border
and	CC	and
uh	UH	uh
we	PP	we
know	VVP	know
that	IN/that	that
do	NP	do
has	VHZ	have
been	VBN	be
conducted	VVN	conduct
as	IN	as
a	DT	a
as	IN	as
a	DT	a
you	PP	you
know	VVP	know
necessary	JJ	necessary
step	NN	step
but	CC	but
I'm	NN	I'm
sure	JJ	sure
as	IN	as
we	PP	we
see	VVP	see
from	IN	from
um	NNS	um
also	RB	also
senior	JJ	senior
officials	NNS	official
and	CC	and
and	CC	and
and	CC	and
namely	RB	namely
the	DT	the
foreign	JJ	foreign
minister	NN	minister
pan	NN	pan
also	RB	also
today	NN	today
sent	VVD	send
out	RP	out
a	DT	a
me	FW	me
message	NN	message
on	IN	on
the	DT	the
social	JJ	social
media	NNS	medium
saying	VVG	say
that	IN/that	that
they're	NN	they're
going	VVG	go
to	TO	to
be	VB	be
following	VVG	follow
this	DT	this
following	NN	following
whatever	WDT	whatever
it	PP	it
takes	VVZ	take
at	IN	at
the	DT	the
international	JJ	international
front	NN	front
as	IN	as
well	RB	well
the	DT	the
way	NN	way
turkey	NN	turkey
is	VBZ	be
seeing	VVG	see
this	DT	this
and	CC	and
and	CC	and
the	DT	the
discussions	NNS	discussion
also	RB	also
among	IN	among
the	DT	the
political	JJ	political
analysis	NN	analysis
as	RB	as
well	RB	well
as	IN	as
the	DT	the
academics	NNS	academic
is	VBZ	be
this	DT	this
is	VBZ	be
a	DT	a
a	DT	a
clear	JJ	clear
indication	NN	indication
uh	UH	uh
That	IN/that	that
No	DT	no
One	CD	one
Is	NP	I
Safe	NP	Safe
And	CC	and
even	RB	even
if	IN	if
you	PP	you
are	VBP	be
a	DT	a
US	NP	US
citizen	NN	citizen
or	CC	or
a	DT	a
Turkish	JJ	Turkish
citizen	NN	citizen
um	NNS	um
and	CC	and
and	CC	and
and	CC	and
they	PP	they
just	RB	just
kill	VVP	kill
you	PP	you
simple	JJ	simple
um	NNS	um
as	IN	as
that	WDT	that
that	DT	that
fact	NN	fact
and	CC	and
this	DT	this
has	VHZ	have
to	TO	to
change	NN	change
and	CC	and
someone	NN	someone
has	VHZ	have
to	TO	to
do	VV	do
something	NN	something
about	IN	about
it	PP	it
because	IN	because
the	DT	the
death	NN	death
tole	NN	tole
daily	RB	daily
increasing	VVG	increase
in	IN	in
gazda	NN	gazda
now	RB	now
even	RB	even
International	JJ	international
it's	NNS	it's
called	VVN	call
as	IN	as
genocide	NN	genocide
so	IN	so
I'm	NP	I'm
sure	JJ	sure
turkey	NN	turkey
will	MD	will
be	VB	be
following	VVG	follow
this	DT	this
issue	NN	issue
legally	RB	legally
at	IN	at
International	JJ	international
uh	UH	uh
front	NN	front
as	IN	as
well	RB	well
and	CC	and
how	WRB	how
might	MD	might
ao's	NNS	ao's
killing	VVG	kill
impact	NN	impact
tur's	NNS	tur's
relationship	NN	relationship
with	IN	with
Israel	NP	Israel
is	VBZ	be
it	PP	it
the	DT	the
last	JJ	last
nail	NN	nail
in	IN	in
the	DT	the
coffin	NN	coffin
for	IN	for
normalization	NN	normalization
driven	VVN	drive
by	IN	by
economic	JJ	economic
considerations	NNS	consideration
well	RB	well
since	IN	since
the	DT	the
beginning	NN	beginning
I	PP	I
mean	VVP	mean
let's	NNS	let's
say	VVP	say
at	IN	at
least	JJS	least
at	IN	at
the	DT	the
beginning	VVG	begin
turkey	NN	turkey
uh	UH	uh
really	RB	really
I	PP	I
I	PP	I
I	PP	I
know	VVP	know
personally	RB	personally
uh	UH	uh
that	IN/that	that
followed	VVN	follow
uh	UH	uh
the	DT	the
necessary	JJ	necessary
steps	NNS	step
to	TO	to
be	VB	be
the	DT	the
mediator	NN	mediator
between	IN	between
the	DT	the
two	CD	two
parties	NNS	party
but	CC	but
unfortunately	RB	unfortunately
um	JJ	um
especially	RB	especially
Israel	NP	Israel
rejected	VVD	reject
that	IN/that	that
and	CC	and
you	PP	you
know	VVP	know
what	WP	what
happened	VVD	happen
and	CC	and
total	JJ	total
Destruction	NN	destruction
it	PP	it
seems	VVZ	seem
turkey	NN	turkey
politically	RB	politically
and	CC	and
and	CC	and
internationally	RB	internationally
doesn't	JJ	doesn't
want	VVP	want
to	TO	to
put	VV	put
the	DT	the
nail	NN	nail
in	IN	in
the	DT	the
last	JJ	last
nail	NN	nail
in	IN	in
actually	RB	actually
turkey	NN	turkey
trying	VVG	try
to	TO	to
keep	VV	keep
the	DT	the
doors	NNS	door
open	VVP	open
and	CC	and
because	IN	because
just	RB	just
just	RB	just
to	TO	to
stop	VV	stop
this	DT	this
uh	UH	uh
Massacre	NN	massacre
and	CC	and
killing	VVG	kill
of	IN	of
international	JJ	international
I	PP	I
mean	VVP	mean
innocent	JJ	innocent
people	NNS	people
in	IN	in
Gaza	NP	Gaza
so	IN	so
I'm	NP	I'm
sure	JJ	sure
they	PP	they
will	MD	will
still	RB	still
keep	VV	keep
the	DT	the
option	NN	option
available	JJ	available
there	RB	there
but	CC	but
turkey	NN	turkey
more	JJR	more
than	IN	than
once	RB	once
at	IN	at
the	DT	the
highest	JJS	high
level	NN	level
emphasize	VVP	emphasize
that	IN/that	that
uh	UH	uh
there	EX	there
should	MD	should
be	VB	be
some	DT	some
International	NP	International
and	CC	and
uh	UH	uh
legal	JJ	legal
consequence	NN	consequence
for	IN	for
what	WP	what
is	VBZ	be
going	VVG	go
on	IN	on
in	IN	in
Gaza	NP	Gaza
or	CC	or
in	IN	in
general	NN	general
in	IN	in
the	DT	the
West	NP	West
Bank	NP	Bank
as	IN	as
well	RB	well
and	CC	and
what	WP	what
Israel	NP	Israel
is	VBZ	be
doing	VVG	do
this	DT	this
is	VBZ	be
unacceptable	JJ	unacceptable
so	RB	so
now	RB	now
we	PP	we
can	MD	can
see	VV	see
that	IN/that	that
the	DT	the
senior	JJ	senior
official	NN	official
Numan	NP	Numan
Mr	NP	Mr
Numan	NP	Numan
mus	NNS	mu
also	RB	also
was	VBD	be
at	IN	at
the	DT	the
funeral	NN	funeral
and	CC	and
he	PP	he
was	VBD	be
uh	UH	uh
saying	VVG	say
the	DT	the
same	JJ	same
thing	NN	thing
so	IN	so
it	PP	it
is	VBZ	be
quite	RB	quite
sad	JJ	sad
seeing	VVG	see
in	IN	in
the	DT	the
one	CD	one
hand	NN	hand
over	IN	over
4	CD	@card@
41,000	CD	@card@
people	NNS	people
daily	RB	daily
being	VBG	be
murdered	VVN	murder
and	CC	and
in	IN	in
the	DT	the
last	JJ	last
7	CD	@card@
years	NNS	year
they	PP	they
subjected	VVD	subject
to	TO	to
the	DT	the
brutal	JJ	brutal
occupation	NN	occupation
and	CC	and
now	RB	now
we	PP	we
have	VHP	have
this	DT	this
case	NN	case
um	NN	um
but	CC	but
I	PP	I
mean	VVP	mean
it's	NNS	it's
definitely	RB	definitely
making	VVG	make
the	DT	the
relations	NNS	relation
between	IN	between
the	DT	the
two	CD	two
countries	NNS	country
quite	RB	quite
uh	UH	uh
difficult	JJ	difficult
and	CC	and
stange	JJ	stange
ban	NN	ban
joining	VVG	join
Froman	NP	Froman
thank	VV	thank
you	PP	you
for	IN	for
your	PP$	your
time	NN	time
thank	VV	thank
you	PP	you
make	VV	make
sure	JJ	sure
to	TO	to
subscribe	VV	subscribe
to	TO	to
our	PP$	our
channel	NN	channel
to	TO	to
get	VV	get
the	DT	the
latest	JJS	late
news	NN	news
from	IN	from
Al	NP	Al
jazer	NN	jazer
</doc>	NN	</doc>
