<video_id>rSGy7ftOooI</video_id>	JJ	<video_id>rSGy7ftOooI</video_id>
allow	VV	allow
humanitarian	JJ	humanitarian
Aid	NN	aid
hunger	NN	hunger
here	RB	here
is	VBZ	be
very	RB	very
cruel	JJ	cruel
to	TO	to
citizens	NNS	citizen
who	WP	who
struggle	VVP	struggle
to	TO	to
find	VV	find
the	DT	the
bare	JJ	bare
minimum	NN	minimum
to	TO	to
keep	VV	keep
them	PP	them
alive	JJ	alive
the	DT	the
citizens	NNS	citizen
here	RB	here
suffer	VVP	suffer
a	DT	a
lot	NN	lot
for	IN	for
days	NNS	day
they	PP	they
cannot	MD	can
get	VV	get
a	DT	a
single	JJ	single
meal	NN	meal
due	JJ	due
to	TO	to
the	DT	the
ridiculous	JJ	ridiculous
prices	NNS	price
and	CC	and
scarcity	NN	scarcity
of	IN	of
materials	NNS	material
that	WDT	that
should	MD	should
be	VB	be
available	JJ	available
[Music]	NN	[Music]
here	RB	here
make	VV	make
sure	JJ	sure
to	TO	to
subscribe	VV	subscribe
to	TO	to
our	PP$	our
channel	NN	channel
to	TO	to
get	VV	get
the	DT	the
latest	JJS	late
news	NN	news
from	IN	from
Al	NP	Al
</doc>	NP	</doc>
