Britain	NP	Britain
isra	NN	isra
media	NNS	medium
that	IN/that	that
he	PP	he
had	VHD	have
told	VVN	tell
the	DT	the
Israeli	NP	Israeli
Embassy	NP	Embassy
in	IN	in
uh	UH	uh
the	DT	the
United	NP	United
States	NPS	States
not	RB	not
to	TO	to
support	VV	support
gance	NN	gance
on	IN	on
this	DT	this
Mission	NP	Mission
so	RB	so
there	EX	there
are	VBP	be
plenty	NN	plenty
in	IN	in
the	DT	the
right	JJ	right
wing	NN	wing
of	IN	of
uh	UH	uh
Net	NN	net
'	POS	'
s	JJ	s
Coalition	NP	Coalition
you	PP	you
think	VVP	think
this	DT	this
this	DT	this
is	VBZ	be
a	DT	a
kind	NN	kind
of	IN	of
Trojan	NP	Trojan
horse	NN	horse
for	IN	for
the	DT	the
United	NP	United
States	NPS	States
to	TO	to
try	VV	try
and	CC	and
push	VV	push
the	DT	the
two	CD	two
-	NN	-
state	NN	state
solution	NN	solution
which	WDT	which
they	PP	they
are	VBP	be
no	DT	no
fan	NN	fan
of	IN	of
uh	UH	uh
as	RB	as
well	RB	well
so	IN	so
don	NN	don
'	POS	'
t	NN	t
expect	VVP	expect
many	JJ	many
gants	NNS	gants
to	TO	to
go	VV	go
back	RB	back
to	TO	to
Israel	NP	Israel
and	CC	and
get	VV	get
a	DT	a
warm	JJ	warm
reception	NN	reception
and	CC	and
an	DT	an
open	JJ	open
ear	NN	ear
from	IN	from
Netanyahu	NP	Netanyahu
and	CC	and
his	PP$	his
Coalition	NP	Coalition
allies	NNS	ally
no	RB	no
indeed	RB	indeed
Roy	NP	Roy
Chalin	NP	Chalin
many	JJ	many
thanks	NNS	thanks
for	IN	for
joining	VVG	join
us	PP	us
with	IN	with
that	DT	that
from	IN	from
London	NP	London
some	DT	some
