<video_id>wh6GYTQd7QU</video_id>	JJ	<video_id>wh6GYTQd7QU</video_id>
warning	VVG	warn
about	IN	about
the	DT	the
catastrophe	NN	catastrophe
that	WDT	that
would	MD	would
be	VB	be
an	DT	an
offensive	NN	offensive
in	IN	in
Rafa	NP	Rafa
for	IN	for
months	NNS	month
now	RB	now
but	CC	but
since	IN	since
the	DT	the
the	DT	the
closure	NN	closure
of	IN	of
the	DT	the
effective	JJ	effective
closure	NN	closure
or	CC	or
the	DT	the
total	JJ	total
closure	NN	closure
of	IN	of
the	DT	the
Rafa	NP	Rafa
Crossing	VVG	cross
on	IN	on
the	DT	the
7th	JJ	7th
of	IN	of
May	NP	May
we	PP	we
are	VBP	be
seeing	VVG	see
a	DT	a
further	JJR	further
strangulation	NN	strangulation
um	NNS	um
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
we're	NN	we're
seeing	VVG	see
a	DT	a
further	RBR	further
Collective	JJ	collective
punishment	NN	punishment
to	TO	to
the	DT	the
people	NNS	people
of	IN	of
Gaza	NP	Gaza
it	PP	it
is	VBZ	be
becoming	VVG	become
critical	JJ	critical
in	IN	in
terms	NNS	term
of	IN	of
uh	UH	uh
fuel	NN	fuel
supplies	VVZ	supply
um	JJ	um
we've	NN	we've
had	VHD	have
to	TO	to
reorganize	VV	reorganize
our	PP$	our
our	PP$	our
hospitals	NNS	hospital
since	IN	since
uh	UH	uh
since	IN	since
the	DT	the
offensive	NN	offensive
started	VVD	start
in	IN	in
Rafa	NP	Rafa
including	VVG	include
closing	NN	closing
moving	VVG	move
patients	NNS	patient
from	IN	from
hospitals	NNS	hospital
in	IN	in
the	DT	the
Indonesian	JJ	Indonesian
Rafa	NP	Rafa
field	NN	field
Hospital	NN	hospital
the	DT	the
emirati	JJ	emirati
hospital	NN	hospital
and	CC	and
and	CC	and
trying	VVG	try
to	TO	to
relocate	NN	relocate
to	TO	to
to	TO	to
the	DT	the
nazza	NN	nazza
hospital	NN	hospital
in	IN	in
um	NNS	um
in	IN	in
Rafa	NP	Rafa
but	CC	but
it's	NNS	it's
becoming	VVG	become
increasingly	RB	increasingly
complicated	VVN	complicate
there	RB	there
as	IN	as
we're	NN	we're
finding	VVG	find
supply	NN	supply
of	IN	of
water	VV	water
uh	UH	uh
critical	JJ	critical
we	PP	we
ourselves	PP	ourselves
have	VHP	have
had	VHD	have
to	TO	to
are	VBP	be
unable	JJ	unable
to	TO	to
um	RB	um
distribute	VV	distribute
as	IN	as
much	JJ	much
water	NN	water
as	IN	as
we	PP	we
have	VHP	have
been	VBN	be
able	JJ	able
to	TO	to
last	JJ	last
week	NN	week
we	PP	we
were	VBD	be
um	JJ	um
we	PP	we
were	VBD	be
Distributing	VVG	distribute
around	IN	around
400,000	CD	@card@
liters	NNS	liter
of	IN	of
water	NN	water
and	CC	and
this	DT	this
week	NN	week
uh	UH	uh
we're	NN	we're
down	RB	down
to	TO	to
50,000	CD	@card@
lers	NNS	lers
of	IN	of
water	NN	water
so	IN	so
1/8	CD	@card@
of	IN	of
what	WDT	what
we've	NN	we've
been	VBN	be
able	JJ	able
to	TO	to
do	VV	do
because	IN	because
of	IN	of
the	DT	the
fuel	NN	fuel
shortages	NNS	shortage
and	CC	and
today	NN	today
the	DT	the
reports	NNS	report
are	VBP	be
talking	VVG	talk
about	IN	about
Aid	NN	aid
trunks	NNS	trunk
coming	VVG	come
through	IN	through
kamam	NP	kamam
Abu	NP	Abu
Salim	NP	Salim
from	IN	from
what	WP	what
we've	NN	we've
seen	VVN	see
so	RB	so
far	RB	far
does	VVZ	do
it	PP	it
look	VV	look
like	IN	like
all	PDT	all
the	DT	the
aid	NN	aid
that	WDT	that
is	VBZ	be
needed	VVN	need
will	MD	will
is	VBZ	be
coming	VVG	come
through	IN	through
Karam	NP	Karam
Abu	NP	Abu
Salam	NP	Salam
what	WP	what
I	PP	I
would	MD	would
say	VV	say
in	IN	in
terms	NNS	term
of	IN	of
Aid	NP	Aid
coming	VVG	come
into	IN	into
Gaza	NP	Gaza
that's	NNS	that's
the	DT	the
first	JJ	first
step	NN	step
in	IN	in
the	DT	the
equation	NN	equation
that's	NN	that's
the	DT	the
first	JJ	first
part	NN	part
of	IN	of
the	DT	the
equation	NN	equation
it's	NNS	it's
also	RB	also
a	DT	a
question	NN	question
of	IN	of
being	VBG	be
able	JJ	able
to	TO	to
move	VV	move
Aid	NP	Aid
around	RP	around
in	IN	in
Gaza	NP	Gaza
and	CC	and
it's	NNS	it's
also	RB	also
being	VBG	be
able	JJ	able
to	TO	to
if	IN	if
you	PP	you
are	VBP	be
running	VVG	run
hospitals	NNS	hospital
like	IN	like
we	PP	we
or	CC	or
like	IN	like
we're	NN	we're
trying	VVG	try
to	TO	to
it's	NNS	it's
a	DT	a
question	NN	question
of	IN	of
being	VBG	be
able	JJ	able
to	TO	to
have	VH	have
electricity	NN	electricity
fuel	NN	fuel
water	NN	water
supply	NN	supply
it's	NNS	it's
being	VBG	be
able	JJ	able
to	TO	to
uh	UH	uh
be	VB	be
able	JJ	able
to	TO	to
have	VH	have
staff	NN	staff
that	WDT	that
are	VBP	be
healthy	JJ	healthy
are	VBP	be
safe	JJ	safe
are	NN	are
are	VBP	be
mentally	RB	mentally
fit	JJ	fit
and	CC	and
physically	RB	physically
fit	VV	fit
to	TO	to
being	VBG	be
able	JJ	able
to	TO	to
to	TO	to
treat	VV	treat
um	JJ	um
patients	NNS	patient
and	CC	and
that's	NNS	that's
becoming	VVG	become
ever	RB	ever
increasing	VVG	increase
um	NNS	um
ever	RB	ever
complex	JJ	complex
problem	NN	problem
when	WRB	when
we	PP	we
come	VVP	come
looking	VVG	look
into	IN	into
this	DT	this
this	DT	this
horrific	JJ	horrific
conflict	NN	conflict
which	WDT	which
has	VHZ	have
been	VBN	be
going	VVG	go
on	IN	on
for	IN	for
months	NNS	month
in	IN	in
Gaza	NP	Gaza
now	RB	now
listening	VVG	listen
then	RB	then
to	TO	to
what	WP	what
you're	NN	you're
saying	NN	saying
would	MD	would
it	PP	it
be	VB	be
enough	RB	enough
simply	RB	simply
for	IN	for
Israel	NP	Israel
to	TO	to
end	VV	end
the	DT	the
offensive	NN	offensive
in	IN	in
Rafa	NP	Rafa
if	IN	if
the	DT	the
conflict	NN	conflict
continues	VVZ	continue
elsewhere	RB	elsewhere
in	IN	in
Gaza	NP	Gaza
would	MD	would
that	RB	that
create	VV	create
the	DT	the
conditions	NNS	condition
you're	NN	you're
talking	VVG	talk
about	RB	about
that	IN/that	that
and	CC	and
allow	VV	allow
you	PP	you
to	TO	to
meet	VV	meet
the	DT	the
needs	NNS	need
of	IN	of
the	DT	the
population	NN	population
or	CC	or
do	VVP	do
you	PP	you
feel	VVP	feel
that	IN/that	that
there	EX	there
needs	VVZ	need
to	TO	to
be	VB	be
a	DT	a
complete	JJ	complete
cessation	NN	cessation
of	IN	of
all	DT	all
offensive	JJ	offensive
actions	NNS	action
in	IN	in
Gaza	NP	Gaza
well	RB	well
as	IN	as
a	DT	a
as	IN	as
an	DT	an
absolute	JJ	absolute
minimum	NN	minimum
we	PP	we
need	VVP	need
an	DT	an
immediate	JJ	immediate
and	CC	and
sustained	JJ	sustained
ceasefire	NN	ceasefire
we've	NN	we've
been	VBN	be
needing	VVG	need
that	IN/that	that
for	IN	for
months	NNS	month
but	CC	but
I	PP	I
would	MD	would
go	VV	go
back	RB	back
to	TO	to
I	PP	I
would	MD	would
go	VV	go
further	RBR	further
than	IN	than
that	DT	that
and	CC	and
look	VVP	look
back	RB	back
at	IN	at
at	IN	at
what	WP	what
the	DT	the
the	DT	the
icj	NN	icj
said	VVD	say
back	RB	back
on	IN	on
the	DT	the
26th	JJ	26th
of	IN	of
of	IN	of
January	NP	January
and	CC	and
in	IN	in
particular	JJ	particular
as	RB	as
well	RB	well
as	IN	as
the	DT	the
protection	NN	protection
of	IN	of
um	JJ	um
civilians	NNS	civilian
to	TO	to
make	VV	make
sure	JJ	sure
that	IN/that	that
the	DT	the
population	NN	population
of	IN	of
Gaza	NP	Gaza
are	VBP	be
not	RB	not
indiscriminately	RB	indiscriminately
attacked	VVN	attack
we've	NN	we've
also	RB	also
they	PP	they
also	RB	also
ruled	VVD	rule
at	IN	at
that	DT	that
time	NN	time
in	IN	in
terms	NNS	term
of	IN	of
the	DT	the
immediate	JJ	immediate
scale	NN	scale
up	RB	up
of	IN	of
humanitarian	JJ	humanitarian
assistance	NN	assistance
and	CC	and
that's	NNS	that's
yes	RB	yes
moving	VVG	move
uh	UH	uh
supplies	NNS	supply
into	IN	into
an	DT	an
all	RB	all
round	JJ	round
Gaza	NP	Gaza
so	IN	so
I	PP	I
would	MD	would
argue	VV	argue
that	IN/that	that
all	DT	all
Crossings	NNS	crossing
into	IN	into
Gaza	NP	Gaza
need	VVP	need
to	TO	to
be	VB	be
open	JJ	open
but	CC	but
then	RB	then
moving	VVG	move
supplies	NNS	supply
around	IN	around
Gaza	NP	Gaza
and	CC	and
being	VBG	be
able	JJ	able
to	TO	to
have	VH	have
a	DT	a
situation	NN	situation
where	WRB	where
you	PP	you
can	MD	can
have	VH	have
humanitarian	JJ	humanitarian
Aid	NN	aid
workers	NNS	worker
safely	RB	safely
treat	VVP	treat
um	JJ	um
people	NNS	people
all	RB	all
around	IN	around
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
and	CC	and
we	PP	we
now	RB	now
well	RB	well
over	IN	over
200	CD	@card@
humanitarian	JJ	humanitarian
workers	NNS	worker
who've	NNS	who've
been	VBN	be
tragically	RB	tragically
killed	VVN	kill
since	IN	since
the	DT	the
start	NN	start
of	IN	of
this	DT	this
horrific	JJ	horrific
conflict	NN	conflict
in	IN	in
comments	NNS	comment
posted	VVN	post
on	IN	on
the	DT	the
21st	JJ	21st
of	IN	of
May	NP	May
a	DT	a
former	JJ	former
Israeli	NP	Israeli
Prime	NP	Prime
Minister	NP	Minister
naali	NP	naali
bannet	NN	bannet
said	VVD	say
Israel	NP	Israel
has	VHZ	have
allowed	VVN	allow
400,000	CD	@card@
tons	NNS	ton
of	IN	of
food	NN	food
and	CC	and
Aid	NN	aid
into	IN	into
Gaza	NP	Gaza
an	DT	an
increase	NN	increase
he	PP	he
says	VVZ	say
an	DT	an
increase	NN	increase
of	IN	of
30%	CD	@card@
since	IN	since
before	IN	before
the	DT	the
war	NN	war
now	RB	now
I've	NP	I've
been	VBN	be
listening	VVG	listen
to	TO	to
what	WP	what
you	PP	you
said	VVD	say
today	NN	today
I've	NN	I've
been	VBN	be
reading	VVG	read
the	DT	the
statements	NNS	statement
by	IN	by
your	PP$	your
organization	NN	organization
3	CD	@card@
days	NNS	day
later	RBR	later
on	IN	on
May	NP	May
the	DT	the
24th	JJ	24th
that	WDT	that
says	VVZ	say
quote	VV	quote
essential	JJ	essential
humanitarian	JJ	humanitarian
and	CC	and
Medical	NP	Medical
Aid	NP	Aid
has	VHZ	have
barely	RB	barely
entered	VVN	enter
since	IN	since
the	DT	the
beginning	NN	beginning
of	IN	of
may	MD	may
do	VV	do
you	PP	you
see	VV	see
any	DT	any
evidence	NN	evidence
of	IN	of
an	DT	an
increase	NN	increase
of	IN	of
30%	CD	@card@
of	IN	of
humanitarian	JJ	humanitarian
Aid	NN	aid
and	CC	and
food	NN	food
entering	VVG	enter
Gaza	NP	Gaza
since	IN	since
October	NP	October
the	DT	the
7th	JJ	7th
no	NN	no
and	CC	and
let's	NN	let's
let's	NNS	let's
take	VVP	take
a	DT	a
step	NN	step
back	RB	back
here	RB	here
and	CC	and
what	WP	what
what	WP	what
we're	NNS	we're
what	WP	what
we're	VVP	we're
seeing	VVG	see
here	RB	here
is	VBZ	be
um	JJ	um
uh	UH	uh
a	DT	a
battle	NN	battle
of	IN	of
communication	NN	communication
um	NNS	um
as	IN	as
well	NN	well
let's	NNS	let's
be	VB	be
really	RB	really
clear	JJ	clear
since	IN	since
before	IN	before
um	JJ	um
October	NP	October
7th	JJ	7th
the	DT	the
number	NN	number
of	IN	of
trucks	NNS	truck
the	DT	the
amount	NN	amount
of	IN	of
Supply	NP	Supply
coming	VVG	come
into	IN	into
Gaza	NP	Gaza
has	VHZ	have
reduced	VVN	reduce
since	IN	since
May	NP	May
the	DT	the
7th	JJ	7th
when	WRB	when
the	DT	the
Raffa	NP	Raffa
Crossing	NN	crossing
um	VVG	um
uh	UH	uh
has	VHZ	have
been	VBN	be
uh	UH	uh
has	VHZ	have
been	VBN	be
closed	VVN	close
we've	NN	we've
seen	VVN	see
an	DT	an
even	RB	even
further	JJR	further
reduction	NN	reduction
of	IN	of
Supply	NP	Supply
coming	VVG	come
into	IN	into
Gaza	NP	Gaza
but	CC	but
I	PP	I
would	MD	would
reiterate	VV	reiterate
um	NNS	um
even	RB	even
though	IN	though
that	DT	that
is	VBZ	be
we're	NN	we're
seeing	VVG	see
a	DT	a
strangulation	NN	strangulation
upon	IN	upon
strangulation	NN	strangulation
I	PP	I
would	MD	would
reiterate	VV	reiterate
that	IN/that	that
it	PP	it
is	VBZ	be
more	JJR	more
than	IN	than
just	RB	just
simply	RB	simply
bringing	VVG	bring
trucks	NNS	truck
into	IN	into
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
humanitarian	JJ	humanitarian
assistance	NN	assistance
is	VBZ	be
a	DT	a
really	RB	really
complex	JJ	complex
ecosystem	NN	ecosystem
of	IN	of
activities	NNS	activity
that	IN/that	that
we	PP	we
need	VVP	need
to	TO	to
um	NNS	um
we	PP	we
need	VVP	need
to	TO	to
to	TO	to
legitimize	VV	legitimize
throughout	IN	throughout
that	DT	that
whole	JJ	whole
chain	NN	chain
it	PP	it
is	VBZ	be
not	RB	not
just	RB	just
about	IN	about
crossing	VVG	cross
the	DT	the
border	NN	border
it	PP	it
is	VBZ	be
about	RB	about
moving	VVG	move
supplies	NNS	supply
around	IN	around
the	DT	the
Border	NP	Border
it	PP	it
is	VBZ	be
about	RB	about
having	VHG	have
humanitarian	JJ	humanitarian
workers	NNS	worker
who	WP	who
are	VBP	be
safe	RB	safe
able	JJ	able
to	TO	to
treat	VV	treat
people	NNS	people
able	JJ	able
to	TO	to
distribute	VV	distribute
food	NN	food
safely	RB	safely
and	CC	and
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
themselves	PP	themselves
have	VHP	have
somewhere	RB	somewhere
to	TO	to
live	VV	live
and	CC	and
we've	VV	we've
just	RB	just
seen	VVN	see
over	IN	over
the	DT	the
last	JJ	last
uh	UH	uh
the	DT	the
last	JJ	last
few	JJ	few
days	NNS	day
since	IN	since
the	DT	the
the	DT	the
the	DT	the
raer	NP	raer
offensive	NN	offensive
900,000	CD	@card@
people	NNS	people
according	VVG	accord
to	TO	to
the	DT	the
UN	NP	UN
again	RB	again
displacing	VVG	displace
after	IN	after
having	VHG	have
made	VVN	make
the	DT	the
horrific	JJ	horrific
choice	NN	choice
to	TO	to
have	VH	have
to	TO	to
displace	VV	displace
towards	IN	towards
uh	UH	uh
rafar	NN	rafar
the	DT	the
alma	NN	alma
wayy	NN	wayy
area	NN	area
having	VHG	have
to	TO	to
displace	VV	displace
yet	RB	yet
again	RB	again
so	RB	so
this	DT	this
is	VBZ	be
much	RB	much
more	JJR	more
than	IN	than
a	DT	a
false	JJ	false
narrative	NN	narrative
about	IN	about
increasing	VVG	increase
supplies	NNS	supply
coming	VVG	come
into	IN	into
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
thank	VVP	thank
you	PP	you
very	RB	very
much	RB	much
for	IN	for
giving	VVG	give
us	PP	us
your	PP$	your
perspective	NN	perspective
on	IN	on
that	WDT	that
make	VVP	make
sure	JJ	sure
to	TO	to
subscribe	VV	subscribe
to	TO	to
our	PP$	our
channel	NN	channel
to	TO	to
get	VV	get
the	DT	the
latest	JJS	late
news	NN	news
from	IN	from
aler	NN	aler
</doc>	NN	</doc>
