<video_id>NTW04rwCFMI</video_id>	NP	<video_id>NTW04rwCFMI</video_id>
all	RB	all
of	IN	of
this	DT	this
Muhammad	NP	Muhammad
so	IN	so
Rob	NP	Rob
let	VVD	let
me	PP	me
first	RB	first
bring	VVP	bring
you	PP	you
up	RP	up
to	TO	to
date	VV	date
on	IN	on
what	WP	what
we've	NN	we've
just	RB	just
heard	VVN	hear
from	IN	from
the	DT	the
Israeli	JJ	Israeli
Army	NN	army
concerning	VVG	concern
that	DT	that
latest	JJS	late
air	NN	air
strike	NN	strike
that	WDT	that
just	RB	just
happened	VVD	happen
in	IN	in
the	DT	the
last	JJ	last
15	CD	@card@
minutes	NNS	minute
or	CC	or
so	RB	so
there	EX	there
was	VBD	be
a	DT	a
statement	NN	statement
from	IN	from
the	DT	the
Israeli	JJ	Israeli
Army	NN	army
in	IN	in
which	WDT	which
they	PP	they
said	VVD	say
a	DT	a
short	JJ	short
while	IN	while
ago	RB	ago
an	DT	an
IDF	NP	IDF
aircraft	NN	aircraft
struck	VVD	strike
a	DT	a
terrorist	JJ	terrorist
Squad	NN	squad
carrying	VVG	carry
anti-tank	NN	anti-tank
guided	VVD	guide
missiles	NNS	missile
in	IN	in
the	DT	the
city	NN	city
of	IN	of
Khan	NP	Khan
Eunice	NP	Eunice
in	IN	in
the	DT	the
southern	JJ	southern
Gaza	NP	Gaza
Strip	NP	Strip
details	NNS	detail
to	TO	to
follow	VV	follow
so	RB	so
not	RB	not
a	DT	a
lot	NN	lot
right	RB	right
now	RB	now
but	CC	but
we	PP	we
are	VBP	be
expecting	VVG	expect
to	TO	to
hear	VV	hear
more	JJR	more
in	IN	in
the	DT	the
hours	NNS	hour
to	TO	to
come	VV	come
and	CC	and
one	CD	one
of	IN	of
the	DT	the
reasons	NNS	reason
we're	NN	we're
expecting	VVG	expect
to	TO	to
hear	VV	hear
more	JJR	more
is	VBZ	be
because	IN	because
you've	NN	you've
had	VHD	have
a	DT	a
situational	JJ	situational
assessment	NN	assessment
that	IN/that	that
prime	JJ	prime
minister	NN	minister
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
had	VHD	have
been	VBN	be
in	IN	in
attendance	NN	attendance
at	IN	at
for	IN	for
the	DT	the
last	JJ	last
seven	CD	seven
or	CC	or
eight	CD	eight
hours	NNS	hour
now	RB	now
you	PP	you
have	VHP	have
a	DT	a
meeting	NN	meeting
going	VVG	go
on	IN	on
that	WDT	that
includes	VVZ	include
the	DT	the
Prime	NP	Prime
Minister	NP	Minister
as	RB	as
well	RB	well
as	IN	as
his	PP$	his
security	NN	security
and	CC	and
defense	NN	defense
cabinet	NN	cabinet
and	CC	and
we	PP	we
are	VBP	be
expecting	VVG	expect
also	RB	also
that	IN/that	that
there	EX	there
will	MD	will
be	VB	be
a	DT	a
press	NN	press
conference	NN	conference
given	VVN	give
jointly	RB	jointly
by	IN	by
the	DT	the
Israeli	NP	Israeli
Prime	NP	Prime
Minister	NP	Minister
as	RB	as
well	RB	well
as	IN	as
the	DT	the
Israeli	JJ	Israeli
defense	NN	defense
minister	NN	minister
joov	NN	joov
gallant	NN	gallant
and	CC	and
that	IN/that	that
that	WDT	that
should	MD	should
happen	VV	happen
around	RP	around
8	CD	@card@
PM	NP	PM
local	JJ	local
time	NN	time
we	PP	we
expect	VVP	expect
that	IN/that	that
in	IN	in
that	DT	that
presser	NN	presser
we	PP	we
will	MD	will
be	VB	be
hearing	VVG	hear
the	DT	the
the	DT	the
Prime	NP	Prime
Minister	NP	Minister
congratulating	VVG	congratulate
the	DT	the
Army	NN	army
on	IN	on
carrying	VVG	carry
out	RP	out
this	DT	this
Mission	NP	Mission
but	CC	but
also	RB	also
we	PP	we
expect	VVP	expect
that	IN/that	that
he	PP	he
will	MD	will
most	RBS	most
likely	RB	likely
be	VB	be
addressing	VVG	address
Hamas	NNS	Hamas
directly	RB	directly
because	IN	because
right	NN	right
now	RB	now
there's	RB	there's
a	DT	a
lot	NN	lot
of	IN	of
concern	NN	concern
about	RB	about
if	IN	if
this	DT	this
will	MD	will
lead	VV	lead
to	TO	to
wider	JJR	wide
escal	JJ	escal
relation	NN	relation
obviously	RB	obviously
as	IN	as
you	PP	you
heard	VVD	hear
Willem	NP	Willem
speak	VVP	speak
about	RB	about
just	RB	just
a	DT	a
few	JJ	few
moments	NNS	moment
ago	RB	ago
right	RB	right
now	RB	now
there's	RB	there's
concern	VV	concern
that	IN/that	that
there	EX	there
will	MD	will
be	VB	be
rocket	NN	rocket
launches	NNS	launch
towards	IN	towards
Southern	NP	Southern
Israel	NP	Israel
there	RB	there
are	VBP	be
preparations	NNS	preparation
being	VBG	be
made	VVN	make
one	CD	one
of	IN	of
the	DT	the
questions	NNS	question
being	VBG	be
asked	VVN	ask
is	VBZ	be
how	WRB	how
much	JJ	much
of	IN	of
an	DT	an
escalation	NN	escalation
might	MD	might
there	RB	there
be	VB	be
and	CC	and
the	DT	the
Israeli	JJ	Israeli
government	NN	government
is	VBZ	be
contending	VVG	contend
with	IN	with
the	DT	the
question	NN	question
of	IN	of
is	VBZ	be
this	DT	this
going	VVG	go
to	TO	to
be	VB	be
an	DT	an
escalation	NN	escalation
that's	NNS	that's
only	RB	only
going	VVG	go
to	TO	to
be	VB	be
seen	VVN	see
by	IN	by
Islamic	NP	Islamic
Jihad	NP	Jihad
which	WDT	which
would	MD	would
mean	VV	mean
that	IN/that	that
perhaps	RB	perhaps
the	DT	the
government	NN	government
here	RB	here
would	MD	would
only	RB	only
contend	VV	contend
with	IN	with
perhaps	RB	perhaps
hundreds	NNS	hundred
of	IN	of
missiles	NNS	missile
being	VBG	be
launched	VVN	launch
from	IN	from
Gaza	NP	Gaza
or	CC	or
will	MD	will
it	PP	it
include	VV	include
Hamas	NNS	Hamas
and	CC	and
if	IN	if
that	WDT	that
were	VBD	be
to	TO	to
be	VB	be
the	DT	the
case	NN	case
that's	NN	that's
a	DT	a
much	RB	much
wider	JJR	wide
escalation	NN	escalation
that	WDT	that
could	MD	could
mean	VV	mean
that	IN/that	that
there	EX	there
would	MD	would
be	VB	be
thousands	NNS	thousand
of	IN	of
rockets	NNS	rocket
being	VBG	be
launched	VVN	launch
from	IN	from
Gaza	NP	Gaza
toward	IN	toward
Israel	NP	Israel
in	IN	in
the	DT	the
hours	NNS	hour
or	CC	or
days	NNS	day
to	TO	to
come	VV	come
so	RB	so
it's	JJ	it's
a	DT	a
very	RB	very
tenuous	JJ	tenuous
situation	NN	situation
here	RB	here
right	RB	right
now	RB	now
we're	NN	we're
waiting	VVG	wait
to	TO	to
hear	VV	hear
directly	RB	directly
from	IN	from
the	DT	the
Prime	NP	Prime
Minister	NP	Minister
from	IN	from
the	DT	the
defense	NN	defense
minister	NN	minister
and	CC	and
then	RB	then
we'll	RB	we'll
get	VV	get
more	JJR	more
details	NNS	detail
about	IN	about
what	WP	what
precisely	RB	precisely
Israel	NP	Israel
is	VBZ	be
expecting	VVG	expect
and	CC	and
what	WP	what
my	PP$	my
transpire	VV	transpire
in	IN	in
the	DT	the
days	NNS	day
to	TO	to
come	VV	come
that's	NP	that's
Muhammad	NP	Muhammad
in	IN	in
West	NP	West
Jerusalem	NP	Jerusalem
thank	VVP	thank
you	PP	you
very	RB	very
much	RB	much
indeed	RB	indeed
we're	NN	we're
going	VVG	go
to	TO	to
bring	VV	bring
in	IN	in
Osan	NP	Osan
Hamden	NP	Hamden
he's	NNS	he's
senior	JJ	senior
spokesman	NN	spokesman
for	IN	for
Hamas	NP	Hamas
is	VBZ	be
joining	VVG	join
us	PP	us
on	IN	on
the	DT	the
from	IN	from
Beirut	NP	Beirut
on	IN	on
the	DT	the
phone	NN	phone
good	JJ	good
to	TO	to
have	VH	have
you	PP	you
with	IN	with
us	PP	us
on	IN	on
Al	NP	Al
Jazeera	NP	Jazeera
if	IN	if
there	EX	there
is	VBZ	be
a	DT	a
response	NN	response
to	TO	to
this	DT	this
from	IN	from
Gaza	NP	Gaza
or	CC	or
indeed	RB	indeed
anywhere	RB	anywhere
else	RB	else
what	WP	what
role	NN	role
would	MD	would
Hamas	RB	Hamas
play	VV	play
in	IN	in
that	DT	that
well	NN	well
it's	NNS	it's
clear	JJ	clear
that	WDT	that
eternity	NN	eternity
I	PP	I
was	VBD	be
taking	VVG	take
the	DT	the
situation	NN	situation
to	TO	to
a	DT	a
great	JJ	great
escalation	NN	escalation
he	PP	he
started	VVD	start
the	DT	the
attack	NN	attack
on	IN	on
gazelle	NNS	gazelle
assassinating	VVG	assassinate
senior	JJ	senior
members	NNS	member
in	IN	in
uh	UH	uh
Jihad	NP	Jihad
everyone	NN	everyone
knows	VVZ	know
that	IN/that	that
Netanyahu	NP	Netanyahu
is	VBZ	be
facing	VVG	face
a	DT	a
serious	JJ	serious
internal	JJ	internal
troubles	NNS	trouble
with	IN	with
the	DT	the
opposition	NN	opposition
and	CC	and
he's	NNS	he's
using	VVG	use
the	DT	the
model	NN	model
of	IN	of
Hitler	NP	Hitler
and	CC	and
the	DT	the
Nazism	NN	Nazism
he	PP	he
wants	VVZ	want
to	TO	to
create	VV	create
problems	NNS	problem
with	IN	with
the	DT	the
Palestinians	NPS	Palestinians
in	IN	in
order	NN	order
to	TO	to
overcome	VV	overcome
his	PP$	his
internal	JJ	internal
problems	NNS	problem
so	RB	so
initially	RB	initially
we	PP	we
believe	VVP	believe
that	IN/that	that
the	DT	the
one	CD	one
who	WP	who
will	MD	will
be	VB	be
responsible	JJ	responsible
for	IN	for
what	WP	what
may	MD	may
happen	VV	happen
is	VBZ	be
government	NN	government
our	PP$	our
response	NN	response
as	IN	as
Palestinians	NPS	Palestinians
is	VBZ	be
as	RB	as
usual	JJ	usual
we	PP	we
have	VHP	have
to	TO	to
defend	VV	defend
our	PP$	our
people	NNS	people
we	PP	we
have	VHP	have
to	TO	to
defend	VV	defend
ourselves	PP	ourselves
we	PP	we
have	VHP	have
to	TO	to
protect	VV	protect
the	DT	the
civilians	NNS	civilian
when	WRB	when
under	IN	under
the	DT	the
Israeli	JJ	Israeli
strikes	NNS	strike
last	JJ	last
night	NN	night
and	CC	and
today	NN	today
everyone	NN	everyone
knows	VVZ	know
that	IN/that	that
there	EX	there
were	VBD	be
women	NNS	woman
children	NNS	child
among	IN	among
the	DT	the
people	NNS	people
who	WP	who
were	VBD	be
killed	VVN	kill
by	IN	by
the	DT	the
the	DT	the
Israeli	JJ	Israeli
strikes	NNS	strike
yesterday	NN	yesterday
so	IN	so
the	DT	the
position	NN	position
of	IN	of
Hamas	NNS	Hamas
that	IN/that	that
we	PP	we
are	VBP	be
part	NN	part
of	IN	of
our	PP$	our
people	NNS	people
and	CC	and
you	PP	you
are	VBP	be
in	IN	in
charge	NN	charge
and	CC	and
responsible	JJ	responsible
to	TO	to
protect	VV	protect
our	PP$	our
people	NNS	people
and	CC	and
our	PP$	our
community	NN	community
and	CC	and
the	DT	the
Israelis	NPS	Israelis
have	VHP	have
to	TO	to
understand	VV	understand
they	PP	they
they	PP	they
have	VHP	have
to	TO	to
look	VV	look
for	IN	for
the	DT	the
consequences	NNS	consequence
for	IN	for
what	WP	what
may	MD	may
they	PP	they
do	VV	do
against	IN	against
the	DT	the
Palestinians	NPS	Palestinians
especially	RB	especially
against	IN	against
the	DT	the
undercuts	NNS	undercut
for	IN	for
those	DT	those
of	IN	of
us	PP	us
outside	IN	outside
who	WP	who
are	VBP	be
perhaps	RB	perhaps
not	RB	not
clear	JJ	clear
about	IN	about
the	DT	the
power	NN	power
Dynamic	NN	dynamic
that	WDT	that
exists	VVZ	exist
within	IN	within
Gaza	NP	Gaza
between	IN	between
Hamas	NP	Hamas
and	CC	and
Islamic	NP	Islamic
Jihad	NP	Jihad
is	VBZ	be
it	PP	it
likely	JJ	likely
that	IN/that	that
if	IN	if
there	EX	there
is	VBZ	be
to	TO	to
be	VB	be
a	DT	a
response	NN	response
given	VVN	give
that	IN/that	that
there	EX	there
were	VBD	be
three	CD	three
Islamic	JJ	Islamic
Jihad	NP	Jihad
leaders	NNS	leader
killed	VVN	kill
in	IN	in
these	DT	these
airstrikes	NNS	airstrikes
is	VBZ	be
Hamas	JJ	Hamas
likely	RB	likely
to	TO	to
leave	VV	leave
the	DT	the
response	NN	response
to	TO	to
Islamic	NP	Islamic
Jihad	NP	Jihad
or	CC	or
will	MD	will
Hamas	RB	Hamas
have	VH	have
a	DT	a
role	NN	role
to	TO	to
play	VV	play
in	IN	in
that	DT	that
response	NN	response
or	CC	or
do	VV	do
what	WP	what
the	DT	the
main	JJ	main
idea	NN	idea
that	IN/that	that
the	DT	the
Palestinians	NPS	Palestinians
were	VBD	be
not	RB	not
watching	VVG	watch
their	PP$	their
people	NNS	people
being	VBG	be
killed	VVN	kill
their	PP$	their
women	NNS	woman
and	CC	and
children	NNS	child
being	VBG	be
killed	VVN	kill
the	DT	the
Palestinians	NPS	Palestinians
will	MD	will
not	RB	not
accept	VV	accept
I	PP	I
mean	VV	mean
the	DT	the
presidents	NNS	president
in	IN	in
Gaza	NP	Gaza
if	IN	if
they	PP	they
are	VBP	be
Hamas	JJ	Hamas
or	CC	or
Islamic	JJ	Islamic
as	IN	as
Jihad	NP	Jihad
will	MD	will
not	RB	not
accept	VV	accept
what	WP	what
the	DT	the
thing	NN	thing
now	RB	now
is	VBZ	be
doing	VVG	do
and	CC	and
they	PP	they
will	MD	will
say	VV	say
Let	VV	let
It	PP	it
Go	VV	go
will	MD	will
happen	VV	happen
how	WRB	how
it	PP	it
will	MD	will
be	VB	be
arranged	VVN	arrange
it	PP	it
will	MD	will
be	VB	be
done	VVN	do
among	IN	among
the	DT	the
Palestinians	NPS	Palestinians
themselves	PP	themselves
and	CC	and
I	PP	I
think	VVP	think
it's	NNS	it's
good	JJ	good
to	TO	to
wait	VV	wait
and	CC	and
see	VV	see
what	WP	what
will	MD	will
happen	VV	happen
at	IN	at
all	PDT	all
the	DT	the
ACT	NN	act
there	EX	there
have	VHP	have
been	VBN	be
increasing	VVG	increase
calls	NNS	call
in	IN	in
the	DT	the
last	JJ	last
few	JJ	few
hours	NNS	hour
for	IN	for
restraint	NN	restraint
and	CC	and
the	DT	the
Israelis	NPS	Israelis
themselves	PP	themselves
have	VHP	have
