<video_id>aGZGzvcL5Ww</video_id>	JJ	<video_id>aGZGzvcL5Ww</video_id>
uh	UH	uh
these	DT	these
trucks	NNS	truck
to	TO	to
evacuate	VV	evacuate
either	RB	either
this	DT	this
way	NN	way
to	TO	to
Rafa	NP	Rafa
and	CC	and
more	JJR	more
south	NN	south
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
or	CC	or
this	DT	this
way	NN	way
to	TO	to
to	TO	to
the	DT	the
center	NN	center
of	IN	of
the	DT	the
Gaza	NP	Gaza
City	NP	City
let's	NNS	let's
take	VVP	take
a	DT	a
a	DT	a
look	NN	look
and	CC	and
see	VV	see
how	WRB	how
people	NNS	people
are	VBP	be
evacuating	VVG	evacuate
with	IN	with
this	DT	this
is	VBZ	be
all	DT	all
of	IN	of
what	WP	what
is	VBZ	be
left	VVN	leave
where	WRB	where
these	DT	these
people	NNS	people
have	VHP	have
been	VBN	be
homeless	JJ	homeless
and	CC	and
displaced	VVN	displace
more	JJR	more
than	IN	than
one	CD	one
time	NN	time
as	IN	as
you	PP	you
see	VVP	see
more	JJR	more
people	NNS	people
are	VBP	be
coming	VVG	come
and	CC	and
evacuating	VVG	evacuate
from	IN	from
kenun	NN	kenun
this	DT	this
is	VBZ	be
not	RB	not
the	DT	the
first	JJ	first
first	JJ	first
time	NN	time
we	PP	we
have	VHP	have
been	VBN	be
seen	VVN	see
seeing	VVG	see
this	DT	this
this	DT	this
scene	NN	scene
as	IN	as
if	IN	if
it's	NNS	it's
a	DT	a
movie	NN	movie
or	CC	or
a	DT	a
documentary	NN	documentary
documenting	VVG	document
uh	UH	uh
people	NNS	people
evacuating	VVG	evacuate
and	CC	and
fleeing	VVG	flee
their	PP$	their
homes	NNS	home
just	RB	just
like	IN	like
the	DT	the
NABA	NP	NABA
in	IN	in
1948	CD	@card@
but	CC	but
this	DT	this
is	VBZ	be
real	JJ	real
it's	NNS	it's
happening	VVG	happen
in	IN	in
2024	CD	@card@
as	IN	as
you	PP	you
see	VVP	see
people	NNS	people
are	VBP	be
frustrated	JJ	frustrated
we	PP	we
see	VVP	see
how	WRB	how
scared	JJ	scared
they	PP	they
are	VBP	be
in	IN	in
their	PP$	their
eyes	NNS	eye
and	CC	and
they're	NNS	they're
all	RB	all
searching	VVG	search
for	IN	for
a	DT	a
place	NN	place
we're	NN	we're
talking	VVG	talk
about	IN	about
where	WRB	where
most	JJS	most
more	JJR	more
than	IN	than
half	NN	half
of	IN	of
the	DT	the
population	NN	population
of	IN	of
the	DT	the
Kaza	NP	Kaza
strip	NN	strip
is	VBZ	be
currently	RB	currently
residing	VVG	reside
there	RB	there
it's	NNS	it's
packed	VVN	pack
and	CC	and
and	CC	and
we're	JJ	we're
talking	VVG	talk
about	IN	about
which	WDT	which
is	VBZ	be
also	RB	also
packed	VVN	pack
with	IN	with
people	NNS	people
and	CC	and
a	DT	a
lot	NN	lot
of	IN	of
people	NNS	people
are	VBP	be
also	RB	also
scared	VVN	scare
of	IN	of
another	DT	another
Invasion	NN	invasion
on	IN	on
ala	NN	ala
hospital	NN	hospital
this	DT	this
area	NN	area
is	VBZ	be
very	RB	very
close	JJ	close
to	TO	to
Al	NP	Al
nasur	NN	nasur
hospital	NN	hospital
where	WRB	where
it	PP	it
has	VHZ	have
been	VBN	be
besieged	VVN	besiege
and	CC	and
people	NNS	people
are	VBP	be
scared	VVN	scare
from	IN	from
the	DT	the
fact	NN	fact
that	IN/that	that
hospitals	NNS	hospital
are	VBP	be
also	RB	also
a	DT	a
Target	NP	Target
this	DT	this
isind	JJ	isind
Al	NP	Al
make	VVP	make
sure	JJ	sure
to	TO	to
subscribe	VV	subscribe
to	TO	to
our	PP$	our
channel	NN	channel
to	TO	to
get	VV	get
the	DT	the
latest	JJS	late
news	NN	news
from	IN	from
</doc>	NN	</doc>
