less	JJR	less
to	TO	to
the	DT	the
war	NN	war
seemingly	RB	seemingly
at	IN	at
a	DT	a
standstill	JJ	standstill
one	CD	one
significant	JJ	significant
point	NN	point
of	IN	of
contention	NN	contention
continues	VVZ	continue
to	TO	to
be	VB	be
whether	IN	whether
any	DT	any
agreed	VVN	agree
to	TO	to
ceasefire	NN	ceasefire
would	MD	would
be	VB	be
permanent	JJ	permanent
despite	IN	despite
the	DT	the
Diplomatic	JJ	diplomatic
setbacks	NNS	setback
at	IN	at
a	DT	a
press	NN	press
conference	NN	conference
in	IN	in
Tel	NP	Tel
Aviv	NP	Aviv
linkoln	NP	linkoln
insisted	VVD	insist
a	DT	a
ceasefire	NN	ceasefire
deal	NN	deal
between	IN	between
Israel	NP	Israel
and	CC	and
Hamas	NP	Hamas
was	VBD	be
still	RB	still
a	DT	a
possibility	NN	possibility
good	JJ	good
evening	NN	evening
we	PP	we
had	VHD	have
an	DT	an
opportunity	NN	opportunity
today	NN	today
to	TO	to
discuss	VV	discuss
with	IN	with
the	DT	the
Israeli	JJ	Israeli
government	NN	government
the	DT	the
response	NN	response
that	IN/that	that
Hamas	NP	Hamas
sent	VVD	send
last	JJ	last
night	NN	night
to	TO	to
the	DT	the
proposal	NN	proposal
that	IN/that	that
the	DT	the
United	NP	United
States	NPS	States
cutter	NN	cutter
and	CC	and
Egypt	NP	Egypt
had	VHD	have
put	VVN	put
together	RB	together
uh	UH	uh
to	TO	to
bring	VV	bring
the	DT	the
remaining	VVG	remain
hostages	NNS	hostage
home	NN	home
and	CC	and
extend	VV	extend
the	DT	the
humanitarian	JJ	humanitarian
pause	NN	pause
um	NNS	um
what	WP	what
I	PP	I
can	MD	can
tell	VV	tell
you	PP	you
about	IN	about
these	DT	these
discussions	NNS	discussion
is	VBZ	be
that	IN/that	that
while	IN	while
there	EX	there
are	VBP	be
some	DT	some
clear	JJ	clear
non	JJ	non
-	NN	-
starters	NNS	starter
in	IN	in
hamas	NNS	hamas
'	POS	'
s	NNS	s
response	NN	response
uh	UH	uh
we	PP	we
do	VVP	do
think	VV	think
it	PP	it
creates	VVZ	create
space	NN	space
for	IN	for
agreement	NN	agreement
to	TO	to
be	VB	be
reached	VVN	reach
and	CC	and
we	PP	we
will	MD	will
work	VV	work
at	IN	at
that	IN/that	that
relentlessly	RB	relentlessly
until	IN	until
we	PP	we
get	VVP	get
there	RB	there
it	PP	it
was	VBD	be
an	DT	an
intense	JJ	intense
day	NN	day
of	IN	of
talks	NNS	talk
for	IN	for
America	NP	America
'	POS	'
s	JJ	s
top	JJ	top
Diplomat	NN	diplomat
at	IN	at
the	DT	the
end	NN	end
of	IN	of
it	PP	it
Anthony	NP	Anthony
blink	NN	blink
did	VVD	do
offer	VV	offer
a	DT	a
positive	JJ	positive
outlook	NN	outlook
on	IN	on
ultimately	RB	ultimately
finding	VVG	find
a	DT	a
path	NN	path
to	TO	to
peace	NN	peace
but	CC	but
he	PP	he
also	RB	also
gave	VVD	give
few	JJ	few
details	NNS	detail
about	RB	about
how	WRB	how
America	NP	America
now	RB	now
envisions	VVZ	envision
finding	VVG	find
a	DT	a
way	NN	way
to	TO	to
end	VV	end
the	DT	the
war	NN	war
Muhammad	NP	Muhammad
jamj	NP	jamj
Al	NP	Al
jaaz	NP	jaaz
Tel	NP	Tel
Aviv	NP	Aviv
make	VVP	make
sure	JJ	sure
to	TO	to
subscribe	VV	subscribe
to	TO	to
our	PP$	our
channel	NN	channel
to	TO	to
get	VV	get
the	DT	the
latest	JJS	late
news	NN	news
from	IN	from
