<video_id>ijLG_EYFNnI</video_id>	NP	<video_id>ijLG_EYFNnI</video_id>
this	DT	this
uh	UH	uh
house	NN	house
that	WDT	that
had	VHD	have
been	VBN	be
completely	RB	completely
targeted	VVN	target
as	IN	as
the	DT	the
were	VBD	be
children	NNS	child
playing	VVG	play
uh	UH	uh
uh	UH	uh
on	IN	on
on	IN	on
thegr	NN	thegr
there	IN	here
uh	UH	uh
as	RB	as
also	RB	also
there	EX	there
are	VBP	be
some	DT	some
residents	NNS	resident
are	VBP	be
charging	VVG	charge
the	DT	the
phones	NNS	phone
in	IN	in
the	DT	the
house	NN	house
that	WDT	that
belongs	VVZ	belong
to	TO	to
one	CD	one
of	IN	of
the	DT	the
Palestinian	JJ	Palestinian
Engineers	NNS	engineer
that	WDT	that
had	VHD	have
been	VBN	be
uh	UH	uh
completely	RB	completely
destroyed	VVN	destroy
Roy	NP	Roy
and	CC	and
now	RB	now
that's	NNS	that's
absolutely	RB	absolutely
terrifying	JJ	terrifying
as	IN	as
the	DT	the
Human	NP	Human
Rights	NPS	Rights
Watch	VVP	watch
had	VHD	have
had	VHN	have
carried	VVN	carry
out	IN	out
multiple	NN	multiple
interviews	VVZ	interview
uh	UH	uh
with	IN	with
uh	UH	uh
eyewitnesses	NNS	eyewitness
there	RB	there
on	IN	on
the	DT	the
ground	NN	ground
who	WP	who
have	VHP	have
been	VBN	be
survived	VVN	survive
from	IN	from
the	DT	the
attack	NN	attack
saying	VVG	say
that	IN/that	that
the	DT	the
entire	JJ	entire
building	NN	building
has	VHZ	have
been	VBN	be
destroyed	VVN	destroy
and	CC	and
targeted	VVN	target
without	IN	without
any	DT	any
prior	JJ	prior
warning	NN	warning
and	CC	and
uh	UH	uh
clearly	RB	clearly
the	DT	the
investigation	NN	investigation
has	VHZ	have
also	RB	also
finalized	VVN	finalize
that	IN/that	that
there	EX	there
was	VBD	be
no	RB	no
any	DT	any
military	JJ	military
Target	NP	Target
in	IN	in
the	DT	the
building	NN	building
in	IN	in
order	NN	order
to	TO	to
be	VB	be
destroyed	VVN	destroy
as	IN	as
the	DT	the
Israeli	JJ	Israeli
military	JJ	military
turn	NN	turn
now	RB	now
did	VVD	do
not	RB	not
provide	VV	provide
any	DT	any
justification	NN	justification
regarding	VVG	regard
this	DT	this
deadly	JJ	deadly
attack	NN	attack
and	CC	and
that's	NNS	that's
absolutely	RB	absolutely
a	DT	a
part	NN	part
of	IN	of
the	DT	the
ongoing	JJ	ongoing
military	JJ	military
attacks	NNS	attack
that	WDT	that
had	VHD	have
been	VBN	be
carried	VVN	carry
out	RP	out
since	IN	since
October	NP	October
specifically	RB	specifically
that	IN/that	that
Israel	NP	Israel
has	VHZ	have
been	VBN	be
attacking	VVG	attack
houses	NNS	house
without	IN	without
warning	VVG	warn
its	PP$	its
citizens	NNS	citizen
to	TO	to
uh	UH	uh
its	PP$	its
residents	NNS	resident
to	TO	to
flee	VV	flee
from	IN	from
in	IN	in
order	NN	order
to	TO	to
avoid	VV	avoid
casualties	NNS	casualty
among	IN	among
civilians	NNS	civilian
despite	IN	despite
the	DT	the
Israeli	JJ	Israeli
repeated	JJ	repeated
statements	NNS	statement
and	CC	and
claims	NNS	claim
that	IN/that	that
they	PP	they
are	VBP	be
taking	VVG	take
ultimate	JJ	ultimate
precautions	NNS	precaution
in	IN	in
order	NN	order
to	TO	to
avoid	VV	avoid
uh	UH	uh
casualties	NNS	casualty
among	IN	among
civilians	NNS	civilian
and	CC	and
as	IN	as
everyone	NN	everyone
knows	VVZ	know
that	IN/that	that
Israel	NP	Israel
has	VHZ	have
a	DT	a
long	JJ	long
track	NN	track
records	NNS	record
of	IN	of
crimes	NNS	crime
or	CC	or
in	IN	in
times	NNS	time
of	IN	of
War	NP	War
specifically	RB	specifically
that	IN/that	that
we	PP	we
have	VHP	have
been	VBN	be
uh	UH	uh
observing	VVG	observe
since	IN	since
the	DT	the
outbreak	NN	outbreak
of	IN	of
this	DT	this
conflict	NN	conflict
multiple	NN	multiple
incidents	NNS	incident
in	IN	in
which	WDT	which
Israel	NP	Israel
had	VHD	have
targeted	VVN	target
civilians	NNS	civilian
with	IN	with
high	JJ	high
rates	NNS	rate
among	IN	among
with	IN	with
high	JJ	high
rates	NNS	rate
of	IN	of
casualties	NNS	casualty
specifically	RB	specifically
that	IN/that	that
the	DT	the
latest	JJS	late
was	VBD	be
at	IN	at
the	DT	the
latest	JJS	late
had	VHD	have
been	VBN	be
carried	VVN	carry
out	RP	out
on	IN	on
napuli	NNS	napuli
and	CC	and
an	DT	an
Al	NP	Al
Kuwait	NP	Kuwait
roundabout	NN	roundabout
for	IN	for
eight	CD	eight
Seekers	NNS	seeker
one	CD	one
of	IN	of
the	DT	the
also	RB	also
deadli	JJ	deadli
air	NN	air
strikes	NNS	strike
had	VHD	have
been	VBN	be
carried	VVN	carry
out	RP	out
earlier	RBR	earlier
in	IN	in
the	DT	the
war	NN	war
in	IN	in
Arab	JJ	Arab
hospitals	NNS	hospital
and	CC	and
also	RB	also
we	PP	we
remember	VVP	remember
clearly	RB	clearly
the	DT	the
air	NN	air
strikes	NNS	strike
that	WDT	that
had	VHD	have
targeted	VVN	target
jabalia	NN	jabalia
refugee	NN	refugee
camp	NN	camp
where	WRB	where
the	DT	the
is	VBZ	be
the	DT	the
Israeli	JJ	Israeli
military	NN	military
has	VHZ	have
been	VBN	be
widely	RB	widely
uh	UH	uh
increasing	VVG	increase
and	CC	and
surging	VVG	surge
their	PP$	their
military	JJ	military
bombardment	NN	bombardment
across	IN	across
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
with	IN	with
no	DT	no
lit	VVN	light
up	RP	up
till	IN	till
now	RB	now
fly	NN	fly
and	CC	and
T	NN	T
the	DT	the
The	DT	the
Fallout	NN	fallout
continues	VVZ	continue
from	IN	from
the	DT	the
attack	NN	attack
on	IN	on
the	DT	the
world	NN	world
Central	NP	Central
Kitchen	NP	Kitchen
AIDS	NP	AIDS
workers	NNS	worker
how	WRB	how
has	VHZ	have
it	PP	it
affected	VVN	affect
Aid	NN	aid
delivery	NN	delivery
and	CC	and
Aid	NN	aid
distribution	NN	distribution
in	IN	in
Gaza	NP	Gaza
yes	UH	yes
uh	UH	uh
in	IN	in
fact	NN	fact
the	DT	the
world	NN	world
Central	NP	Central
Kitchen	NP	Kitchen
uh	UH	uh
this	DT	this
charitable	JJ	charitable
organization	NN	organization
has	VHZ	have
been	VBN	be
operating	VVG	operate
in	IN	in
Gaza	NP	Gaza
since	IN	since
uh	UH	uh
the	DT	the
outbreak	NN	outbreak
of	IN	of
the	DT	the
of	IN	of
the	DT	the
fighting	NN	fighting
here	RB	here
in	IN	in
the	DT	the
territory	NN	territory
as	IN	as
they	PP	they
have	VHP	have
been	VBN	be
responsible	JJ	responsible
for	IN	for
Distributing	VVG	distribute
aid	NN	aid
for	IN	for
uh	UH	uh
hundreds	NNS	hundred
of	IN	of
thousands	NNS	thousand
of	IN	of
Palestinian	JJ	Palestinian
families	NNS	family
as	IN	as
according	VVG	accord
to	TO	to
latest	JJS	late
reports	NNS	report
that	IN/that	that
they	PP	they
have	VHP	have
managed	VVN	manage
to	TO	to
distribute	VV	distribute
around	RP	around
more	JJR	more
than	IN	than
40	CD	@card@
million	CD	million
meals	NNS	meal
uh	UH	uh
on	IN	on
people	NNS	people
in	IN	in
the	DT	the
South	NP	South
and	CC	and
even	RB	even
in	IN	in
the	DT	the
northern	JJ	northern
part	NN	part
after	IN	after
making	VVG	make
various	JJ	various
coordination	NN	coordination
with	IN	with
the	DT	the
Israeli	JJ	Israeli
military	NN	military
but	CC	but
the	DT	the
latest	JJS	late
attack	NN	attack
in	IN	in
fact	NN	fact
has	VHZ	have
been	VBN	be
carried	VVN	carry
out	RP	out
as	IN	as
Israel	NP	Israel
has	VHZ	have
been	VBN	be
justifying	VVG	justify
it	PP	it
to	TO	to
be	VB	be
a	DT	a
completely	RB	completely
a	DT	a
grave	JJ	grave
mistake	NN	mistake
and	CC	and
that	DT	that
was	VBD	be
was	VBD	be
completely	RB	completely
unacceptable	JJ	unacceptable
from	IN	from
the	DT	the
uh	UH	uh
uh	UH	uh
from	IN	from
the	DT	the
side	NN	side
of	IN	of
this	DT	this
charitable	JJ	charitable
organization	NN	organization
and	CC	and
that	DT	that
intern	VVP	intern
had	VHD	have
forced	VVN	force
the	DT	the
this	DT	this
organization	NN	organization
to	TO	to
completely	RB	completely
suspend	VV	suspend
its	PP$	its
operations	NNS	operation
in	IN	in
Gaza	NP	Gaza
which	WDT	which
negatively	RB	negatively
had	VHD	have
impacted	VVN	impact
on	IN	on
the	DT	the
humanitarian	JJ	humanitarian
situation	NN	situation
which	WDT	which
is	VBZ	be
already	RB	already
aggravating	VVG	aggravate
as	IN	as
it	PP	it
has	VHZ	have
been	VBN	be
a	DT	a
wide	JJ	wide
uh	UH	uh
class	NN	class
of	IN	of
the	DT	the
Palestinian	JJ	Palestinian
Community	NP	Community
till	NN	till
now	RB	now
did	VVD	do
not	RB	not
receive	VV	receive
the	DT	the
latest	JJS	late
shipment	NN	shipment
that	WDT	that
had	VHD	have
been	VBN	be
transferred	VVN	transfer
throughout	IN	throughout
the	DT	the
recently	RB	recently
established	VVN	establish
Maritime	NP	Maritime
Corridor	NP	Corridor
which	WDT	which
means	VVZ	mean
that	IN/that	that
more	JJR	more
people	NNS	people
won't	NN	won't
be	VB	be
able	JJ	able
to	TO	to
receive	VV	receive
their	PP$	their
aid	NN	aid
and	CC	and
that	WDT	that
happens	VVZ	happen
in	IN	in
fact	NN	fact
after	IN	after
the	DT	the
Israeli	JJ	Israeli
military	NN	military
had	VHD	have
denied	VVN	deny
the	DT	the
deliveries	NNS	delivery
of	IN	of
Aid	NN	aid
to	TO	to
by	IN	by
the	DT	the
United	NP	United
Nations	NPS	Nations
to	TO	to
people	NNS	people
in	IN	in
the	DT	the
Norther	JJR	north
part	NN	part
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
which	WDT	which
means	VVZ	mean
that	IN/that	that
it's	NNS	it's
a	DT	a
systematic	JJ	systematic
approach	NN	approach
being	VBG	be
adopted	VVN	adopt
by	IN	by
the	DT	the
Israeli	JJ	Israeli
military	NN	military
in	IN	in
order	NN	order
to	TO	to
starving	VVG	starve
people	NNS	people
in	IN	in
the	DT	the
northern	JJ	northern
part	NN	part
of	IN	of
Gaza	NP	Gaza
to	TO	to
push	VV	push
them	PP	them
forward	RB	forward
to	TO	to
the	DT	the
South	NP	South
where	WRB	where
people	NNS	people
here	RB	here
are	VBP	be
not	RB	not
also	RB	also
receiving	VVG	receive
much	RB	much
needed	VVN	need
humanitarian	JJ	humanitarian
supplies	NNS	supply
and	CC	and
the	DT	the
high	JJ	high
ratees	NNS	ratees
of	IN	of
population	NN	population
being	VBG	be
right	RB	right
now	RB	now
trapped	VVN	trap
in	IN	in
Rafa	NP	Rafa
this	DT	this
city	NN	city
which	WDT	which
is	VBZ	be
might	MD	might
be	VB	be
expected	VVN	expect
to	TO	to
be	VB	be
the	DT	the
next	JJ	next
Target	NP	Target
for	IN	for
the	DT	the
Israeli	JJ	Israeli
military	JJ	military
incursion	NN	incursion
if	IN	if
the	DT	the
negotiations	NNS	negotiation
regarding	VVG	regard
a	DT	a
ceas	NNS	ceas
fire	NN	fire
collapsed	VVD	collapse
thank	VV	thank
you	PP	you
for	IN	for
the	DT	the
update	NN	update
that's	NN	that's
Al	NP	Al
jazer	NP	jazer
Sark	NP	Sark
Abu	NP	Abu
AUM	NP	AUM
reporting	VVG	report
their	PP$	their
life	NN	life
from	IN	from
Rafa	NP	Rafa
in	IN	in
southern	JJ	southern
Gaza	NP	Gaza
</doc>	NN	</doc>
