<video_id>_mBQRlFI--Y</video_id>	NN	<video_id>_mBQRlFI--Y</video_id>
numbers	NNS	number
while	IN	while
they've	NN	they've
gotten	VVN	get
lower	JJR	low
people	NNS	people
are	VBP	be
definitively	RB	definitively
blaming	VVG	blame
netan	NN	netan
for	IN	for
uh	UH	uh
for	IN	for
all	DT	all
of	IN	of
this	DT	this
and	CC	and
as	IN	as
a	DT	a
result	NN	result
he	PP	he
knows	VVZ	know
that	IN/that	that
his	PP$	his
political	JJ	political
future	NN	future
will	MD	will
come	VV	come
to	TO	to
an	DT	an
end	NN	end
the	DT	the
minute	NN	minute
that	IN/that	that
there	EX	there
is	VBZ	be
a	DT	a
ceasefire	NN	ceasefire
and	CC	and
this	DT	this
is	VBZ	be
why	WRB	why
he's	NNS	he's
pushing	VVG	push
to	TO	to
have	VH	have
this	DT	this
as	RB	as
long	JJ	long
as	IN	as
possible	JJ	possible
the	DT	the
other	JJ	other
reason	NN	reason
of	IN	of
course	NN	course
is	VBZ	be
because	IN	because
he	PP	he
is	VBZ	be
part	NN	part
of	IN	of
the	DT	the
ultra	JJ	ultra
right-wing	JJ	right-wing
fascist	JJ	fascist
group	NN	group
um	NNS	um
the	DT	the
fascist	JJ	fascist
block	NN	block
and	CC	and
the	DT	the
ultra	JJ	ultra
right-wing	NN	right-wing
inside	IN	inside
his	PP$	his
government	NN	government
has	VHZ	have
been	VBN	be
pushing	VVG	push
him	PP	him
to	TO	to
reestablish	VV	reestablish
Israeli	JJ	Israeli
settlements	NNS	settlement
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
so	IN	so
you	PP	you
have	VHP	have
the	DT	the
combination	NN	combination
of	IN	of
these	DT	these
two	CD	two
things	NNS	thing
of	IN	of
him	PP	him
losing	VVG	lose
his	PP$	his
Coalition	NP	Coalition
if	IN	if
he	PP	he
doesn't	VVD	doesn't
remain	VV	remain
and	CC	and
as	RB	as
well	RB	well
losing	VVG	lose
his	PP$	his
own	JJ	own
political	JJ	political
life	NN	life
and	CC	and
potentially	RB	potentially
go	VV	go
to	TO	to
prison	NN	prison
um	NNS	um
if	IN	if
he	PP	he
if	IN	if
he	PP	he
doesn't	VVD	doesn't
leave	VV	leave
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
right	NN	right
and	CC	and
so	RB	so
this	DT	this
is	VBZ	be
why	WRB	why
he's	NNS	he's
doing	VVG	do
it	PP	it
at	IN	at
at	IN	at
this	DT	this
point	NN	point
right	NN	right
and	CC	and
one	CD	one
of	IN	of
his	PP$	his
ministers	NNS	minister
we	PP	we
heard	VVD	hear
one	CD	one
of	IN	of
his	PP$	his
ministers	NNS	minister
talk	VVP	talk
about	IN	about
this	DT	this
being	JJ	being
gaza's	NN	gaza's
NABA	NP	NABA
how	WRB	how
how	WRB	how
worrying	VVG	worry
is	VBZ	be
that	IN/that	that
to	TO	to
you	PP	you
well	RB	well
this	DT	this
isn't	NN	isn't
it's	NNS	it's
not	RB	not
just	RB	just
him	PP	him
most	RBS	most
of	IN	of
the	DT	the
Israeli	JJ	Israeli
leaders	NNS	leader
have	VHP	have
been	VBN	be
not	RB	not
only	RB	only
expressing	VVG	express
it	PP	it
but	CC	but
we've	VVP	we've
seen	VVN	see
what	WP	what
plans	VVZ	plan
that	IN/that	that
they	PP	they
have	VHP	have
they've	NN	they've
expressed	VVD	express
things	NNS	thing
like	IN	like
that	WDT	that
they	PP	they
want	VVP	want
to	TO	to
flatten	VV	flatten
Gaza	NP	Gaza
they've	NN	they've
said	VVD	say
that	IN/that	that
this	DT	this
is	VBZ	be
a	DT	a
question	NN	question
of	IN	of
not	RB	not
accuracy	NN	accuracy
but	CC	but
as	IN	as
much	JJ	much
damage	NN	damage
as	IN	as
possible	JJ	possible
we've	NN	we've
heard	VVD	hear
them	PP	them
say	VVP	say
that	IN/that	that
Gau	NP	Gau
is	VBZ	be
going	VVG	go
to	TO	to
be	VB	be
smaller	JJR	small
in	IN	in
size	NN	size
and	CC	and
we've	NN	we've
heard	VVD	hear
them	PP	them
talk	VV	talk
about	IN	about
expelling	VVG	expel
Palestinians	NNS	Palestinian
into	IN	into
the	DT	the
Sinai	NP	Sinai
Peninsula	NP	Peninsula
we've	NN	we've
even	RB	even
heard	VVD	hear
the	DT	the
so-called	JJ	so-called
leftwing	JJ	leftwing
talk	NN	talk
about	IN	about
other	JJ	other
countries	NNS	country
taking	VVG	take
in	IN	in
Palestinians	NNS	Palestinian
as	IN	as
well	RB	well
so	RB	so
this	DT	this
is	VBZ	be
obviously	RB	obviously
very	RB	very
Troublesome	JJ	troublesome
the	DT	the
problem	NN	problem
is	VBZ	be
is	VBZ	be
that	DT	that
nobody	NN	nobody
within	IN	within
the	DT	the
International	NP	International
Community	NP	Community
is	VBZ	be
actually	RB	actually
listening	VVG	listen
to	TO	to
what	WP	what
the	DT	the
Israeli	JJ	Israeli
leaders	NNS	leader
are	VBP	be
saying	VVG	say
very	RB	very
clearly	RB	clearly
yeah	RB	yeah
and	CC	and
some	DT	some
in	IN	in
the	DT	the
International	NP	International
Community	NP	Community
are	VBP	be
still	RB	still
talking	VVG	talk
about	IN	about
the	DT	the
the	DT	the
the	DT	the
two-state	NN	two-state
uh	UH	uh
solution	NN	solution
being	VBG	be
revived	VVN	revive
in	IN	in
some	DT	some
quarters	NNS	quarter
the	DT	the
supporters	NNS	supporter
of	IN	of
Israel	NP	Israel
it	PP	it
seems	VVZ	seem
that	IN/that	that
that	DT	that
two	CD	two
idea	NN	idea
of	IN	of
a	DT	a
two-state	NN	two-state
solution	NN	solution
is	VBZ	be
more	RBR	more
distant	JJ	distant
than	IN	than
ever	RB	ever
it's	NNS	it's
the	DT	the
question	NN	question
is	VBZ	be
Palestinian	JJ	Palestinian
freedom	NN	freedom
and	CC	and
this	DT	this
is	VBZ	be
where	WRB	where
people	NNS	people
need	VVP	need
to	TO	to
be	VB	be
working	VVG	work
in	IN	in
the	DT	the
aftermath	NN	aftermath
of	IN	of
Israel	NP	Israel
stopping	VVG	stop
its	PP$	its
genocide	NN	genocide
stopping	VVG	stop
its	PP$	its
ethnic	JJ	ethnic
cleansing	NN	cleansing
it's	NNS	it's
time	NN	time
for	IN	for
the	DT	the
world	NN	world
to	TO	to
realize	VV	realize
that	IN/that	that
this	DT	this
is	VBZ	be
the	DT	the
result	NN	result
of	IN	of
75	CD	@card@
years	NNS	year
of	IN	of
ethnic	JJ	ethnic
cleansing	NN	cleansing
and	CC	and
if	IN	if
they	PP	they
really	RB	really
want	VVP	want
to	TO	to
see	VV	see
peace	NN	peace
then	JJ	then
Palestinians	NPS	Palestinians
need	VVP	need
to	TO	to
have	VH	have
their	PP$	their
freedom	NN	freedom
this	DT	this
is	VBZ	be
where	WRB	where
efforts	NNS	effort
need	VVP	need
to	TO	to
be	VB	be
put	VVN	put
after	IN	after
we	PP	we
secure	VVP	secure
Israel's	NP	Israel's
stopping	VVG	stop
of	IN	of
the	DT	the
bombing	NN	bombing
campaign	NN	campaign
what	WP	what
Israel's	NNS	Israel's
done	VVN	do
is	VBZ	be
completely	RB	completely
ille	NN	ille
legal	JJ	legal
and	CC	and
it	PP	it
remains	VVZ	remain
illegal	JJ	illegal
no	RB	no
despite	IN	despite
their	PP$	their
attempts	NNS	attempt
to	TO	to
try	VV	try
to	TO	to
make	VV	make
it	PP	it
legal	JJ	legal
it's	NNS	it's
not	RB	not
this	DT	this
is	VBZ	be
where	WRB	where
our	PP$	our
energy	NN	energy
must	MD	must
be	VB	be
focused	VVN	focus
first	RB	first
to	TO	to
stop	VV	stop
the	DT	the
bombing	NN	bombing
second	JJ	second
to	TO	to
make	VV	make
sure	JJ	sure
that	IN/that	that
Palestinians	NNS	Palestinian
are	VBP	be
free	JJ	free
and	CC	and
so	IN	so
what	WP	what
does	VVZ	do
that	WDT	that
does	VVZ	do
that	DT	that
Palestinian	JJ	Palestinian
Freedom	NN	freedom
look	NN	look
like	IN	like
uh	UH	uh
you	PP	you
know	VVP	know
what	WP	what
are	VBP	be
the	DT	the
options	NNS	option
today	NN	today
is	VBZ	be
it	PP	it
is	VBZ	be
it	PP	it
you	PP	you
know	VVP	know
equal	JJ	equal
rights	NNS	right
for	IN	for
all	DT	all
within	IN	within
the	DT	the
same	JJ	same
state	NN	state
like	IN	like
the	DT	the
case	NN	case
of	IN	of
South	NP	South
Africa	NP	Africa
for	IN	for
example	NN	example
is	VBZ	be
that	WDT	that
is	VBZ	be
that	IN/that	that
feasible	JJ	feasible
today	NN	today
well	RB	well
F	NN	F
it's	NNS	it's
it's	NNS	it's
up	RB	up
to	TO	to
Palestinians	NPS	Palestinians
to	TO	to
decide	VV	decide
um	NNS	um
and	CC	and
this	DT	this
is	VBZ	be
where	WRB	where
we	PP	we
have	VHP	have
as	IN	as
Palestinians	NNS	Palestinian
have	VHP	have
to	TO	to
put	VV	put
make	VV	make
our	PP$	our
voices	NNS	voice
heard	VVD	hear
and	CC	and
and	CC	and
known	VVN	know
um	JJ	um
it's	NNS	it's
no	RB	no
longer	RBR	longer
up	RB	up
to	TO	to
the	DT	the
International	NP	International
Community	NP	Community
it's	NNS	it's
no	RB	no
longer	RBR	longer
up	RB	up
to	TO	to
a	DT	a
false	JJ	false
negotiations	NNS	negotiation
process	NN	process
it's	NN	it's
time	NN	time
for	IN	for
the	DT	the
world	NN	world
to	TO	to
listen	VV	listen
to	TO	to
Palestinians	NPS	Palestinians
hear	VVP	hear
what	WP	what
they	PP	they
want	VVP	want
and	CC	and
put	VVP	put
into	IN	into
place	NN	place
a	DT	a
system	NN	system
that	WDT	that
undoes	VVZ	undo
the	DT	the
system	NN	system
of	IN	of
apartheid	NN	apartheid
that	IN/that	that
Israel	NP	Israel
has	VHZ	have
created	VVN	create
for	IN	for
75	CD	@card@
years	NNS	year
it's	JJ	it's
time	NN	time
for	IN	for
Palestinians	NPS	Palestinians
to	TO	to
finally	RB	finally
be	VB	be
free	VV	free
it	PP	it
you	PP	you
say	VVP	say
it's	NNS	it's
up	RB	up
to	TO	to
Palestinian	NP	Palestinian
Diana	NP	Diana
to	TO	to
decide	VV	decide
what	WP	what
what	WP	what
role	NN	role
for	IN	for
palestin	NP	palestin
inan	NP	Inan
leaders	NNS	leader
what	WP	what
role	NN	role
for	IN	for
the	DT	the
Palestinian	NP	Palestinian
Authority	NP	Authority
specifically	RB	specifically
we	PP	we
heard	VVD	hear
Arab	JJ	Arab
leaders	NNS	leader
in	IN	in
Riyad	NN	Riyad
yesterday	NN	yesterday
say	VVP	say
that	IN/that	that
the	DT	the
Palestinian	NP	Palestinian
Authority	NP	Authority
is	VBZ	be
the	DT	the
sole	JJ	sole
legitimate	JJ	legitimate
representative	NN	representative
of	IN	of
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
is	VBZ	be
it	PP	it
though	RB	though
and	CC	and
and	CC	and
can	MD	can
it	PP	it
represent	VV	represent
Palestinian	JJ	Palestinian
people	NNS	people
as	IN	as
a	DT	a
whole	NN	whole
in	IN	in
its	PP$	its
current	JJ	current
configuration	NN	configuration
actually	RB	actually
at	IN	at
this	DT	this
point	NN	point
in	IN	in
time	NN	time
so	IN	so
it's	NNS	it's
the	DT	the
Palestine	NP	Palestine
Liberation	NP	Liberation
Organization	NP	Organization
that	WDT	that
is	VBZ	be
the	DT	the
representative	NN	representative
but	CC	but
at	IN	at
this	DT	this
time	NN	time
it's	NNS	it's
very	RB	very
difficult	JJ	difficult
for	IN	for
people	NNS	people
to	TO	to
say	VV	say
that	IN/that	that
they	PP	they
are	VBP	be
the	DT	the
the	DT	the
sole	JJ	sole
voice	NN	voice
because	IN	because
so	RB	so
many	JJ	many
Palestinian	JJ	Palestinian
factions	NNS	faction
are	VBP	be
not	RB	not
included	VVN	include
in	IN	in
the	DT	the
PLO	NP	PLO
but	CC	but
but	RB	but
beyond	IN	beyond
that	IN/that	that
the	DT	the
importance	NN	importance
is	VBZ	be
that	IN/that	that
right	RB	right
now	RB	now
what	WP	what
the	DT	the
US	NP	US
is	VBZ	be
trying	VVG	try
to	TO	to
do	VV	do
is	VBZ	be
they're	RB	they're
trying	VVG	try
to	TO	to
put	VV	put
in	IN	in
a	DT	a
pseudo	JJ	pseudo
Palestinian	JJ	Palestinian
government	NN	government
one	PP	one
that	IN/that	that
they	PP	they
like	VVP	like
into	IN	into
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
and	CC	and
I	PP	I
can	MD	can
I	PP	I
can	MD	can
tell	VV	tell
you	PP	you
that	IN/that	that
there's	RB	there's
going	VVG	go
to	TO	to
be	VB	be
no	DT	no
Palestinian	JJ	Palestinian
leader	NN	leader
that	WDT	that
wants	VVZ	want
to	TO	to
be	VB	be
seen	VVN	see
as	IN	as
entering	VVG	enter
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
on	IN	on
the	DT	the
back	NN	back
of	IN	of
an	DT	an
Israeli	JJ	Israeli
bulldozer	NN	bulldozer
on	IN	on
the	DT	the
back	NN	back
of	IN	of
an	DT	an
Israeli	JJ	Israeli
tank	NN	tank
that's	NNS	that's
just	RB	just
simply	RB	simply
not	RB	not
going	VVG	go
to	TO	to
happen	VV	happen
but	CC	but
more	RBR	more
importantly	RB	importantly
this	DT	this
is	VBZ	be
the	DT	the
same	JJ	same
Palestinian	JJ	Palestinian
Authority	NP	Authority
part	NN	part
that	IN/that	that
on	IN	on
October	NP	October
the	DT	the
6th	JJ	6th
that	IN/that	that
the	DT	the
United	NP	United
States	NPS	States
had	VHD	have
been	VBN	be
had	VHD	have
been	VBN	be
maligning	VVG	malign
that	IN/that	that
they	PP	they
had	VHD	have
effectively	RB	effectively
turned	VVN	turn
into	IN	into
Persona	NN	persona
n	NN	n
grada	NN	grada
so	IN	so
it's	NNS	it's
like	IN	like
they	PP	they
pull	VVP	pull
out	RP	out
this	DT	this
puppet	NN	puppet
when	WRB	when
they	PP	they
want	VVP	want
it	PP	it
and	CC	and
then	RB	then
put	VV	put
it	PP	it
away	RB	away
when	WRB	when
they	PP	they
don't	VVD	don't
want	VV	want
it	PP	it
this	DT	this
is	VBZ	be
where	WRB	where
I	PP	I
mean	VVP	mean
what	WP	what
this	DT	this
is	VBZ	be
what	WP	what
I	PP	I
mean	VVP	mean
when	WRB	when
I	PP	I
say	VVP	say
it's	NNS	it's
up	RB	up
for	IN	for
Palestinians	NPS	Palestinians
to	TO	to
decide	VV	decide
we	PP	we
need	VVP	need
to	TO	to
have	VH	have
our	PP$	our
own	JJ	own
internal	JJ	internal
elections	NNS	election
we	PP	we
need	VVP	need
to	TO	to
decide	VV	decide
what	WP	what
shape	VVP	shape
and	CC	and
form	VVP	form
it	PP	it
is	VBZ	be
of	IN	of
our	PP$	our
freedom	NN	freedom
that	WDT	that
is	VBZ	be
going	VVG	go
to	TO	to
look	VV	look
like	JJ	like
but	CC	but
first	JJ	first
and	CC	and
foremost	RB	foremost
the	DT	the
bombing	NN	bombing
needs	VVZ	need
to	TO	to
end	VV	end
and	CC	and
this	DT	this
apartheid	NN	apartheid
system	NN	system
must	MD	must
come	VV	come
to	TO	to
an	DT	an
end	NN	end
</doc>	NN	</doc>
