just	RB	just
on	IN	on
stretches	NNS	stretch
from	IN	from
the	DT	the
western	JJ	western
part	NN	part
of	IN	of
city	NN	city
on	IN	on
the	DT	the
ca	MD	ca
Road	NP	Road
passing	VVG	pass
through	IN	through
KH	NP	KH
unit	NN	unit
all	RB	all
the	DT	the
way	NN	way
to	TO	to
ra	NNS	ra
near	IN	near
the	DT	the
Egyptian	JJ	Egyptian
Gaza	NP	Gaza
border	NN	border
this	DT	this
is	VBZ	be
another	DT	another
order	NN	order
by	IN	by
the	DT	the
Israeli	JJ	Israeli
military	NN	military
to	TO	to
evacuate	VV	evacuate
people	NNS	people
started	VVN	start
to	TO	to
move	VV	move
now	RB	now
it	PP	it
'	POS	'
s	NN	S
also	RB	also
uh	UH	uh
worth	NN	worth
pointing	VVG	point
out	RP	out
that	IN/that	that
in	IN	in
the	DT	the
past	JJ	past
couple	NN	couple
days	NNS	day
people	NNS	people
have	VHP	have
started	VVN	start
moving	VVG	move
on	IN	on
their	PP$	their
own	JJ	own
because	IN	because
they	PP	they
were	VBD	be
expecting	VVG	expect
the	DT	the
ceasefire	NN	ceasefire
talk	NN	talk
were	VBD	be
not	RB	not
going	VVG	go
to	TO	to
uh	UH	uh
make	VV	make
any	DT	any
progress	NN	progress
so	IN	so
they	PP	they
started	VVD	start
they	PP	they
packed	VVD	pack
up	RP	up
their	PP$	their
stuff	NN	stuff
and	CC	and
start	VV	start
moving	VVG	move
but	CC	but
not	RB	not
necessarily	RB	necessarily
to	TO	to
the	DT	the
evacuation	NN	evacuation
Zone	NP	Zone
because	IN	because
the	DT	the
mistrust	NN	mistrust
in	IN	in
believing	VVG	believe
the	DT	the
in	IN	in
in	IN	in
the	DT	the
Israeli	JJ	Israeli
narrative	NN	narrative
is	VBZ	be
so	RB	so
huge	JJ	huge
right	RB	right
now	RB	now
people	NNS	people
Rec	NP	Rec
called	VVD	call
in	IN	in
told	VVN	tell
to	TO	to
evacuate	VV	evacuate
to	TO	to
these	DT	these
areas	NNS	area
whether	IN	whether
they	PP	they
'	''	'
re	IN	re
their	PP$	their
relative	JJ	relative
members	NNS	member
or	CC	or
family	NN	family
members	NNS	member
or	CC	or
somebody	NN	somebody
some	DT	some
people	NNS	people
that	WDT	that
they	PP	they
know	VVP	know
they	PP	they
were	VBD	be
killed	VVN	kill
inside	IN	inside
these	DT	these
evacuation	NN	evacuation
zone	NN	zone
so	IN	so
some	DT	some
people	NNS	people
took	VVD	take
a	DT	a
different	JJ	different
route	NN	route
went	VVD	go
to	TO	to
different	JJ	different
areas	NNS	area
seeking	VVG	seek
shelters	NNS	shelter
as	IN	as
you	PP	you
say	VVP	say
I	PP	I
mean	VV	mean
throughout	IN	throughout
this	DT	this
war	NN	war
on	IN	on
Gaza	NP	Gaza
there	RB	there
haven	NN	haven
'	POS	'
t	NN	t
been	VBN	be
any	DT	any
so	RB	so
-	JJ	-
called	VVN	call
safe	JJ	safe
areas	NNS	area
at	IN	at
all	DT	all
so	IN	so
what	WP	what
is	VBZ	be
the	DT	the
mood	NN	mood
there	RB	there
on	IN	on
the	DT	the
ground	NN	ground
then	RB	then
to	TO	to
this	DT	this
news	NN	news
very	RB	very
very	RB	very
distressed	JJ	distressed
quite	RB	quite
there	EX	there
is	VBZ	be
a	DT	a
state	NN	state
of	IN	of
panic	NN	panic
right	RB	right
now	RB	now
as	IN	as
I	PP	I
arrived	VVD	arrive
to	TO	to
the	DT	the
site	NN	site
where	WRB	where
I	PP	I
'	POS	'
m	NN	m
where	WRB	where
we	PP	we
'	POS	'
re	NN	re
reporting	VVG	report
it	PP	it
from	IN	from
most	JJS	most
of	IN	of
the	DT	the
time	NN	time
for	IN	for
the	DT	the
past	JJ	past
month	NN	month
about	IN	about
this	DT	this
ongoing	JJ	ongoing
War	NP	War
people	NNS	people
are	VBP	be
clearly	RB	clearly
panicking	VVG	panick
they	PP	they
'	POS	'
re	IN	re
they	PP	they
'	''	'
re	IN	re
asking	VVG	ask
questions	NNS	question
about	IN	about
where	WRB	where
exactly	RB	exactly
is	VBZ	be
the	DT	the
safe	JJ	safe
Zone	NP	Zone
when	WRB	when
in	IN	in
fact	NN	fact
they	PP	they
had	VHD	have
someone	NN	someone
that	IN/that	that
they	PP	they
knew	VVD	know
or	CC	or
a	DT	a
family	NN	family
member	NN	member
was	VBD	be
killed	VVN	kill
in	IN	in
in	IN	in
that	DT	that
particular	JJ	particular
uh	UH	uh
area	NN	area
uh	UH	uh
whether	IN	whether
it	PP	it
'	POS	'
s	NN	S
in	IN	in
in	IN	in
ra	NN	ra
or	CC	or
the	DT	the
the	DT	the
southern	JJ	southern
part	NN	part
of	IN	of
the	DT	the
city	NN	city
of	IN	of
kanun	NN	kanun
or	CC	or
even	RB	even
the	DT	the
Central	NP	Central
Area	NP	Area
more	RBR	more
recently	RB	recently
uh	UH	uh
safe	JJ	safe
zone	NN	zone
is	VBZ	be
is	VBZ	be
quite	RB	quite
misleading	VVG	mislead
is	VBZ	be
quite	RB	quite
contradictory	JJ	contradictory
and	CC	and
largely	RB	largely
uh	UH	uh
vague	JJ	vague
the	DT	the
israelian	JJ	israelian
military	JJ	military
hasn	NN	hasn
'	POS	'
t	NN	t
been	VBN	be
quite	RB	quite
clear	JJ	clear
and	CC	and
honest	JJ	honest
about	IN	about
the	DT	the
about	RB	about
designating	VVG	designate
these	DT	these
areas	NNS	area
for	IN	for
for	IN	for
evacu	NN	evacu
and	CC	and
displ	NN	displ
family	NN	family
to	TO	to
move	VV	move
on	IN	on
people	NNS	people
here	RB	here
are	VBP	be
frustrated	JJ	frustrated
they	PP	they
'	''	'
re	IN	re
angry	JJ	angry
and	CC	and
they	PP	they
they	PP	they
say	VVP	say
that	IN/that	that
you	PP	you
can	MD	can
'	''	'
t	NN	t
you	PP	you
can	MD	can
'	''	'
t	NN	t
have	VHP	have
a	DT	a
a	DT	a
safe	JJ	safe
Zone	NP	Zone
in	IN	in
a	DT	a
war	NN	war
zone	NN	zone
this	DT	this
war	NN	war
has	VHZ	have
been	VBN	be
raging	VVG	rage
for	IN	for
the	DT	the
past	JJ	past
seven	CD	seven
months	NNS	month
it	PP	it
has	VHZ	have
destroyed	VVN	destroy
all	DT	all
means	NN	means
of	IN	of
Life	NP	Life
all	DT	all
Social	NP	Social
Services	NPS	Services
facilities	NNS	facility
it	PP	it
turned	VVD	turn
Gaza	NP	Gaza
into	IN	into
a	DT	a
A	NP	A
Wasteland	NN	wasteland
the	DT	the
only	JJ	only
place	NN	place
that	WDT	that
is	VBZ	be
left	VVN	leave
for	IN	for
people	NNS	people
that	IN/that	that
that	WDT	that
they	PP	they
can	MD	can
stay	VV	stay
in	IN	in
while	IN	while
not	RB	not
safe	JJ	safe
100	CD	@card@
%	NN	%
is	VBZ	be
RA	NP	RA
the	DT	the
L	NP	L
Refuge	NP	Refuge
for	IN	for
all	DT	all
displaced	VVN	displace
families	NNS	family
is	VBZ	be
now	RB	now
under	IN	under
attack	NN	attack
and	CC	and
people	NNS	people
have	VHP	have
ordered	VVN	order
to	TO	to
move	VV	move
to	TO	to
Western	JJ	Western
part	NN	part
of	IN	of
the	DT	the
city	NN	city
the	DT	the
see	VVP	see
it	PP	it
is	VBZ	be
a	DT	a
move	NN	move
by	IN	by
this	DT	this
to	TO	to
cage	VV	cage
them	PP	them
in	IN	in
in	IN	in
one	CD	one
area	NN	area
one	CD	one
person	NN	person
just	RB	just
within	IN	within
the	DT	the
past	JJ	past
couple	NN	couple
minutes	NNS	minute
he	PP	he
said	VVD	say
I	PP	I
could	MD	could
hear	VV	hear
that	IN/that	that
clearly	RB	clearly
walking	VVG	walk
into	IN	into
the	DT	the
side	NN	side
but	CC	but
he	PP	he
said	VVD	say
they	PP	they
putting	VVG	put
us	PP	us
all	DT	all
in	IN	in
this	DT	this
concentration	NN	concentration
camp	NN	camp
at	IN	at
the	DT	the
western	JJ	western
part	NN	part
of	IN	of
the	DT	the
city	NN	city
right	RB	right
now	RB	now
honey	VV	honey
mmud	NN	mmud
for	IN	for
now	RB	now
thank	VV	thank
you	PP	you
make	VV	make
sure	JJ	sure
to	TO	to
subscribe	VV	subscribe
to	TO	to
our	PP$	our
channel	NN	channel
to	TO	to
get	VV	get
latest	JJS	late
news	NN	news
from	IN	from
Al	NP	Al
jazer	NP	jazer
