Abu	NP	Abu
school	NN	school
has	VHZ	have
been	VBN	be
the	DT	the
last	JJ	last
resort	NN	resort
for	IN	for
Palestinians	NNS	Palestinian
in	IN	in
order	NN	order
to	TO	to
seek	VV	seek
to	TO	to
seek	VV	seek
to	TO	to
and	CC	and
to	TO	to
head	VV	head
to	TO	to
in	IN	in
order	NN	order
to	TO	to
afford	VV	afford
themselves	PP	themselves
some	DT	some
sense	NN	sense
of	IN	of
safety	NN	safety
but	CC	but
the	DT	the
Israeli	NP	Israeli
Army	NP	Army
has	VHZ	have
targeted	VVN	target
this	DT	this
scool	NN	scool
without	IN	without
any	DT	any
sort	NN	sort
of	IN	of
a	DT	a
prior	JJ	prior
warning	NN	warning
till	IN	till
now	RB	now
the	DT	the
Army	NP	Army
did	VVD	do
not	RB	not
command	VV	command
on	IN	on
the	DT	the
incident	NN	incident
and	CC	and
the	DT	the
attack	NN	attack
has	VHZ	have
been	VBN	be
carried	VVN	carry
out	RP	out
but	CC	but
also	RB	also
eyewitnesses	NNS	eyewitness
there	RB	there
have	VHP	have
confirmed	VVN	confirm
that	IN/that	that
more	JJR	more
air	NN	air
strikes	NNS	strike
have	VHP	have
conducted	VVN	conduct
in	IN	in
a	DT	a
zun	JJ	zun
neighborhood	NN	neighborhood
destroying	VVG	destroy
a	DT	a
number	NN	number
of	IN	of
houses	NNS	house
there	RB	there
and	CC	and
basically	RB	basically
the	DT	the
the	DT	the
Loud	NP	Loud
bombardment	NN	bombardment
by	IN	by
the	DT	the
Israeli	JJ	Israeli
artillery	NN	artillery
units	NNS	unit
could	MD	could
be	VB	be
clearly	RB	clearly
overhead	JJ	overhead
from	IN	from
their	PP$	their
Al	NP	Al
balah	NN	balah
town	NN	town
where	WRB	where
the	DT	the
Army	NP	Army
is	VBZ	be
operating	VVG	operate
in	IN	in
the	DT	the
Eastern	JJ	eastern
areas	NNS	area
of	IN	of
their	PP$	their
Al	NP	Al
balah	NN	balah
but	CC	but
the	DT	the
Army	NP	Army
as	RB	as
well	RB	well
has	VHZ	have
been	VBN	be
scaling	VVG	scale
upscaling	VVG	upscaling
the	DT	the
military	JJ	military
strikes	NNS	strike
in	IN	in
the	DT	the
southern	JJ	southern
part	NN	part
of	IN	of
the	DT	the
city	NN	city
of	IN	of
hunus	NN	hunus
where	WRB	where
right	RB	right
now	RB	now
they	PP	they
they	PP	they
have	VHP	have
been	VBN	be
operating	VVG	operate
for	IN	for
for	IN	for
at	IN	at
least	JJS	least
a	DT	a
week	NN	week
killing	VVG	kill
dozens	NNS	dozen
of	IN	of
Palestinians	NPS	Palestinians
one	CD	one
of	IN	of
the	DT	the
latest	JJS	late
attacks	NNS	attack
has	VHZ	have
killed	VVN	kill
uh	UH	uh
six	CD	six
Palestinians	NPS	Palestinians
after	IN	after
their	PP$	their
residential	JJ	residential
house	NN	house
was	VBD	be
completely	RB	completely
targeted	VVN	target
and	CC	and
gaza	NP	Gaza
'	POS	'
s	NN	S
health	NN	health
Ministry	NP	Ministry
and	CC	and
has	VHZ	have
said	VVN	say
that	IN/that	that
at	IN	at
least	JJS	least
more	JJR	more
than	IN	than
14	CD	@card@
Palestinians	NPS	Palestinians
have	VHP	have
been	VBN	be
killed	VVN	kill
since	IN	since
Dawn	NP	Dawn
today	NN	today
as	IN	as
the	DT	the
bombardment	NN	bombardment
continue	VVP	continue
to	TO	to
be	VB	be
overheard	VVN	overhear
with	IN	with
no	DT	no
source	NN	source
of	IN	of
respite	NN	respite
by	IN	by
by	IN	by
the	DT	the
way	NN	way
Elizabeth	NP	Elizabeth
the	DT	the
Palestinians	NPS	Palestinians
here	RB	here
are	VBP	be
expecting	VVG	expect
clear	JJ	clear
surge	NN	surge
of	IN	of
Earth	NN	earth
strikes	NNS	strike
because	IN	because
the	DT	the
Army	NP	Army
is	VBZ	be
still	RB	still
expanding	VVG	expand
its	PP$	its
ground	NN	ground
Invasion	NN	invasion
for	IN	for
the	DT	the
Central	NP	Central
Area	NP	Area
H	NP	H
hitting	VVG	hit
multiple	JJ	multiple
refugee	NN	refugee
camps	NNS	camp
especially	RB	especially
anarat	NN	anarat
and	CC	and
Al	NP	Al
refugee	NN	refugee
camp	NN	camp
in	IN	in
overnight	JJ	overnight
strikes	NNS	strike
killing	VVG	kill
a	DT	a
Palestinian	JJ	Palestinian
mother	NN	mother
with	IN	with
its	PP$	its
five	CD	five
children	NNS	child
yeah	RB	yeah
it	PP	it
must	MD	must
be	VB	be
terrible	JJ	terrible
ftic	NN	ftic
to	TO	to
be	VB	be
there	RB	there
and	CC	and
just	RB	just
expecting	VVG	expect
more	JJR	more
strikes	NNS	strike
um	NNS	um
even	RB	even
as	IN	as
these	DT	these
ceasefire	NN	ceasefire
negotiations	NNS	negotiation
are	VBP	be
supposed	VVN	suppose
to	TO	to
be	VB	be
taking	VVG	take
place	NN	place
meanwhile	NN	meanwhile
T	NN	T
we	PP	we
'	''	'
re	IN	re
seeing	VVG	see
reports	NNS	report
that	IN/that	that
more	JJR	more
Palestinians	NNS	Palestinian
have	VHP	have
been	VBN	be
released	VVN	release
from	IN	from
Israeli	JJ	Israeli
detention	NN	detention
centers	NNS	center
what	WP	what
are	VBP	be
you	PP	you
hearing	VVG	hear
about	IN	about
their	PP$	their
condition	NN	condition
well	RB	well
in	IN	in
fact	NN	fact
the	DT	the
uh	UH	uh
around	RB	around
33	CD	@card@
Palestinians	NPS	Palestinians
have	VHP	have
been	VBN	be
released	VVN	release
today	NN	today
from	IN	from
Israeli	JJ	Israeli
detention	NN	detention
camps	NNS	camp
and	CC	and
centers	NNS	center
in	IN	in
Israeli	JJ	Israeli
territories	NNS	territory
and	CC	and
they	PP	they
have	VHP	have
been	VBN	be
transferred	VVN	transfer
to	TO	to
the	DT	the
European	NP	European
and	CC	and
nassa	NP	nassa
Hospital	NP	Hospital
in	IN	in
the	DT	the
city	NN	city
of	IN	of
Han	NP	Han
un	NN	un
now	IN	now
uh	UH	uh
uh	UH	uh
clearly	RB	clearly
the	DT	the
traces	NNS	trace
of	IN	of
torture	NN	torture
are	VBP	be
quite	RB	quite
clear	JJ	clear
on	IN	on
the	DT	the
bodies	VVZ	body
uh	UH	uh
due	RB	due
to	TO	to
the	DT	the
very	RB	very
hard	JJ	hard
period	NN	period
they	PP	they
have	VHP	have
spent	VVN	spend
in	IN	in
Israeli	JJ	Israeli
jails	NNS	jail
we	PP	we
have	VHP	have
listened	VVN	listen
to	TO	to
what	WP	what
they	PP	they
have	VHP	have
been	VBN	be
saying	VVG	say
uh	UH	uh
in	IN	in
terms	NNS	term
of	IN	of
the	DT	the
torture	NN	torture
believing	VVG	believe
that	IN/that	that
they	PP	they
have	VHP	have
been	VBN	be
going	VVG	go
through	IN	through
all	DT	all
sign	NN	sign
of	IN	of
physical	JJ	physical
and	CC	and
psychological	JJ	psychological
uh	UH	uh
torture	NN	torture
and	CC	and
on	IN	on
the	DT	the
hands	NNS	hand
of	IN	of
the	DT	the
Israeli	JJ	Israeli
officers	VVZ	officer
uh	UH	uh
especially	RB	especially
and	CC	and
detectives	NNS	detective
they	PP	they
have	VH	have
been	VBN	be
beat	VV	beat
they	PP	they
have	VHP	have
been	VBN	be
brutally	RB	brutally
beaten	VVN	beat
by	IN	by
meal	NN	meal
pars	NNS	par
they	PP	they
have	VHP	have
been	VBN	be
handcuffed	VVN	handcuff
like	IN	like
fold	NN	fold
dead	JJ	dead
and	CC	and
deprived	VVN	deprive
from	IN	from
having	VHG	have
access	NN	access
to	TO	to
the	DT	the
uh	UH	uh
toilet	NN	toilet
and	CC	and
even	RB	even
getting	VVG	get
a	DT	a
sufficient	JJ	sufficient
amount	NN	amount
of	IN	of
food	NN	food
and	CC	and
water	NN	water
on	IN	on
daily	JJ	daily
basis	NN	basis
and	CC	and
one	CD	one
of	IN	of
them	PP	them
has	VHZ	have
said	VVN	say
that	IN/that	that
even	RB	even
when	WRB	when
they	PP	they
have	VHP	have
informed	VVN	inform
us	PP	us
that	IN/that	that
you	PP	you
will	MD	will
today	RB	today
be	VB	be
released	VVN	release
they	PP	they
have	VHP	have
been	VBN	be
beaten	VVN	beat
on	IN	on
their	PP$	their
way	NN	way
uh	UH	uh
to	TO	to
the	DT	the
buses	NNS	bus
that	WDT	that
will	MD	will
transfer	VV	transfer
them	PP	them
to	TO	to
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
so	IN	so
they	PP	they
are	VBP	be
leaving	VVG	leave
a	DT	a
very	RB	very
dangerous	JJ	dangerous
uh	UH	uh
psychological	JJ	psychological
scars	NNS	scar
and	CC	and
the	DT	the
the	DT	the
minds	NNS	mind
of	IN	of
those	DT	those
uh	UH	uh
Palestinian	JJ	Palestinian
uh	UH	uh
uh	UH	uh
prisoners	NNS	prisoner
who	WP	who
were	VBD	be
released	VVN	release
today	NN	today
saying	VVG	say
that	IN/that	that
other	JJ	other
Palestinian	JJ	Palestinian
prisoners	NNS	prisoner
who	WP	who
are	VBP	be
still	RB	still
stuck	VVN	stick
behind	IN	behind
the	DT	the
Israeli	JJ	Israeli
powers	NNS	power
are	VBP	be
going	VVG	go
through	IN	through
the	DT	the
worst	JJS	bad
humanitarian	JJ	humanitarian
conditions	NNS	condition
ever	RB	ever
without	IN	without
any	DT	any
sort	NN	sort
of	IN	of
mitigation	NN	mitigation
in	IN	in
terms	NNS	term
of	IN	of
the	DT	the
miserable	JJ	miserable
humanitarian	JJ	humanitarian
Behavior	NN	behavior
being	VBG	be
practiced	VVN	practice
on	IN	on
them	PP	them
by	IN	by
the	DT	the
uh	UH	uh
prisons	NNS	prison
Authority	NP	Authority
in	IN	in
Israeli	JJ	Israeli
uh	UH	uh
territories	NNS	territory
and	CC	and
they	PP	they
believe	VVP	believe
that	IN/that	that
as	RB	as
long	RB	long
as	IN	as
the	DT	the
Israeli	NP	Israeli
Army	NP	Army
is	VBZ	be
still	RB	still
operating	VVG	operate
in	IN	in
Gaza	NP	Gaza
more	RBR	more
Palestinians	NPS	Palestinians
will	MD	will
be	VB	be
arrested	VVN	arrest
and	CC	and
they	PP	they
said	VVD	say
that	IN/that	that
they	PP	they
were	VBD	be
lucky	JJ	lucky
today	NN	today
to	TO	to
be	VB	be
released	VVN	release
because	IN	because
they	PP	they
have	VHP	have
been	VBN	be
dying	VVG	die
in	IN	in
Israeli	JJ	Israeli
jails	NNS	jail
yeah	RB	yeah
we	PP	we
have	VHP	have
to	TO	to
remember	VV	remember
that	IN/that	that
them	PP	them
being	VBG	be
release	NN	release
means	VVZ	mean
that	IN/that	that
Israel	NP	Israel
doesn	NP	doesn
'	POS	'
t	NN	t
see	VV	see
them	PP	them
as	IN	as
a	DT	a
threat	NN	threat
in	IN	in
any	DT	any
way	NN	way
which	WDT	which
begs	VVZ	beg
many	JJ	many
questions	NNS	question
around	IN	around
why	WRB	why
they	PP	they
were	VBD	be
tortured	VVN	torture
in	IN	in
this	DT	this
way	NN	way
which	WDT	which
are	VBP	be
of	IN	of
course	NN	course
war	NN	war
crimes	NNS	crime
Thad	NP	Thad
thank	VVP	thank
you	PP	you
very	RB	very
much	RB	much
for	IN	for
your	PP$	your
reporting	NN	reporting
as	IN	as
always	RB	always
that	WDT	that
is	VBZ	be
Thad	NP	Thad
Abu	NP	Abu
aom	NN	aom
joining	VVG	join
us	PP	us
live	VVP	live
from	IN	from
De	NP	De
Al	NP	Al
Bala	NP	Bala
in	IN	in
central	JJ	central
Gaza	NP	Gaza
