<video_id>QZweZtcW-p4</video_id>	JJ	<video_id>QZweZtcW-p4</video_id>
ceasefire	NN	ceasefire
instead	RB	instead
they're	RB	they're
having	VHG	have
to	TO	to
ask	VV	ask
just	RB	just
for	IN	for
discretionary	JJ	discretionary
pauses	VVZ	pause
uh	UH	uh
in	IN	in
the	DT	the
hostilities	NNS	hostility
and	CC	and
the	DT	the
reason	NN	reason
for	IN	for
that	WDT	that
is	VBZ	be
because	IN	because
there	EX	there
are	VBP	be
differences	NNS	difference
within	IN	within
the	DT	the
countries	NNS	country
so	RB	so
for	IN	for
example	NN	example
Spain	NP	Spain
and	CC	and
France	NP	France
would	MD	would
favor	VV	favor
a	DT	a
ceasefire	NN	ceasefire
whereas	IN	whereas
Germany	NP	Germany
is	VBZ	be
not	RB	not
prepared	VVN	prepare
to	TO	to
go	VV	go
that	IN/that	that
far	RB	far
Germany	NP	Germany
just	RB	just
wants	VVZ	want
to	TO	to
see	VV	see
uh	UH	uh
humanitarian	JJ	humanitarian
pauses	NNS	pause
won't	NN	won't
go	VVP	go
further	RBR	further
than	IN	than
that	DT	that
uh	UH	uh
there	RB	there
won't	NN	won't
be	VB	be
more	JJR	more
today	NN	today
I	PP	I
mean	VVP	mean
they	PP	they
will	MD	will
discuss	VV	discuss
it	PP	it
uh	UH	uh
there	RB	there
won't	NN	won't
be	VB	be
a	DT	a
change	NN	change
of	IN	of
opinion	NN	opinion
today	NN	today
the	DT	the
statement	NN	statement
uh	UH	uh
tells	VVZ	tell
us	PP	us
exactly	RB	exactly
where	WRB	where
the	DT	the
Europe	NP	Europe
Union	NP	Union
stands	VVZ	stand
at	IN	at
this	DT	this
particular	JJ	particular
time	NN	time
but	CC	but
the	DT	the
pictures	NNS	picture
coming	VVG	come
out	RP	out
of	IN	of
Gaza	NP	Gaza
are	VBP	be
putting	VVG	put
mounting	VVG	mount
pressure	NN	pressure
on	IN	on
these	DT	these
foreign	JJ	foreign
ministers	NNS	minister
and	CC	and
on	IN	on
their	PP$	their
leaders	NNS	leader
back	RB	back
in	IN	in
their	PP$	their
various	JJ	various
capitals	NNS	capital
for	IN	for
for	IN	for
for	IN	for
more	JJR	more
action	NN	action
okay	JJ	okay
thanks	NNS	thanks
so	RB	so
much	RB	much
for	IN	for
that	DT	that
that's	NP	that's
Paul	NP	Paul
Brennan	NP	Brennan
for	IN	for
us	PP	us
in	IN	in
Brussels	NP	Brussels
</doc>	NP	</doc>
