<video_id>2aiQoAi2isY</video_id>	NP	<video_id>2aiQoAi2isY</video_id>
determined	VVD	determine
uh	UH	uh
to	TO	to
get	VV	get
a	DT	a
ceasefire	NN	ceasefire
that	WDT	that
brings	VVZ	bring
the	DT	the
hostages	NNS	hostage
home	NN	home
and	CC	and
to	TO	to
get	VV	get
it	PP	it
now	RB	now
uh	UH	uh
and	CC	and
the	DT	the
only	JJ	only
reason	NN	reason
that	IN/that	that
that	DT	that
wouldn't	NN	wouldn't
be	VB	be
achieved	VVN	achieve
is	VBZ	be
because	RB	because
of	IN	of
Hamas	VV	Hamas
uh	UH	uh
there	EX	there
is	VBZ	be
a	DT	a
proposal	NN	proposal
on	IN	on
the	DT	the
table	NN	table
and	CC	and
as	IN	as
we've	NP	we've
said	VVD	say
uh	UH	uh
no	UH	no
delays	NNS	delay
no	RB	no
no	RB	no
excuses	VVZ	excuse
uh	UH	uh
the	DT	the
time	NN	time
is	VBZ	be
now	RB	now
uh	UH	uh
and	CC	and
The	DT	the
Time	NN	time
Is	VBZ	be
Now	RB	now
long	RB	long
past	JJ	past
due	RB	due
to	TO	to
bring	VV	bring
the	DT	the
hostages	NNS	hostage
home	NN	home
to	TO	to
their	PP$	their
families	NNS	family
uh	UH	uh
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
even	RB	even
as	IN	as
we're	NN	we're
working	VVG	work
uh	UH	uh
with	IN	with
Relentless	JJ	relentless
determination	NN	determination
to	TO	to
get	VV	get
the	DT	the
ceasefire	NN	ceasefire
that	WDT	that
brings	VVZ	bring
the	DT	the
hostages	NNS	hostage
home	VV	home
uh	UH	uh
we	PP	we
also	RB	also
have	VH	have
to	TO	to
be	VB	be
focused	VVN	focus
on	IN	on
uh	UH	uh
people	NNS	people
in	IN	in
Gaza	NP	Gaza
who	WP	who
suffering	NN	suffering
in	IN	in
this	DT	this
Crossfire	NN	crossfire
of	IN	of
Hamas	JJ	Hamas
makan	NN	makan
going	VVG	go
to	TO	to
get	VV	get
more	JJR	more
with	IN	with
our	PP$	our
correspondent	NN	correspondent
in	IN	in
occupied	JJ	occupied
East	NP	East
Jerusalem	NP	Jerusalem
Stephanie	NP	Stephanie
Dean	NP	Dean
and	CC	and
step	NN	step
we've	NN	we've
been	VBN	be
here	RB	here
so	RB	so
many	JJ	many
times	NNS	time
before	IN	before
with	IN	with
Anthony	NP	Anthony
Lincoln	NP	Lincoln
turning	VVG	turn
up	RP	up
and	CC	and
visiting	VVG	visit
uh	UH	uh
senior	JJ	senior
figures	NNS	figure
in	IN	in
Tel	NP	Tel
Aviv	NP	Aviv
and	CC	and
in	IN	in
in	IN	in
Jerusalem	NP	Jerusalem
as	IN	as
well	UH	well
uh	UH	uh
what	WP	what
is	VBZ	be
the	DT	the
aim	NN	aim
this	DT	this
time	NN	time
does	VVZ	do
it	PP	it
do	VVP	do
it	PP	it
make	VV	make
any	DT	any
difference	NN	difference
to	TO	to
what	WP	what
we	PP	we
have	VHP	have
seen	VVN	see
before	IN	before
well	RB	well
the	DT	the
difference	NN	difference
this	DT	this
time	NN	time
is	VBZ	be
that	IN/that	that
the	DT	the
Rafa	NP	Rafa
the	DT	the
Rafa	NP	Rafa
offensive	NN	offensive
seems	VVZ	seem
to	TO	to
be	VB	be
imminent	JJ	imminent
if	IN	if
this	DT	this
this	DT	this
deal	NN	deal
doesn't	NN	doesn't
go	VV	go
ahead	RB	ahead
and	CC	and
this	DT	this
is	VBZ	be
why	WRB	why
also	RB	also
you	PP	you
have	VHP	have
the	DT	the
Americans	NPS	Americans
and	CC	and
also	RB	also
the	DT	the
Egyptians	NNS	Egyptian
putting	VVG	put
incredible	JJ	incredible
pressure	NN	pressure
on	IN	on
both	DT	both
sides	NNS	side
they	PP	they
don't	VVD	don't
want	VV	want
to	TO	to
see	VV	see
the	DT	the
Offa	NP	Offa
offensive	NN	offensive
happen	VV	happen
in	IN	in
the	DT	the
wide	JJ	wide
scale	NN	scale
ground	NN	ground
offensive	NN	offensive
as	IN	as
it	PP	it
is	VBZ	be
planned	VVN	plan
um	RB	um
so	RB	so
you	PP	you
have	VH	have
him	PP	him
really	RB	really
pushing	VVG	push
for	IN	for
that	WDT	that
but	CC	but
interestingly	RB	interestingly
the	DT	the
rhetoric	NN	rhetoric
that's	NN	that's
been	VBN	be
coming	VVG	come
from	IN	from
the	DT	the
Israeli	NP	Israeli
Prime	NP	Prime
Minister	NP	Minister
for	IN	for
the	DT	the
last	JJ	last
couple	NN	couple
of	IN	of
days	NNS	day
and	CC	and
today	NN	today
and	CC	and
the	DT	the
message	NN	message
to	TO	to
blinkin	NN	blinkin
is	VBZ	be
that	IN/that	that
basically	RB	basically
there	EX	there
is	VBZ	be
not	RB	not
going	VVG	go
to	TO	to
be	VB	be
an	DT	an
end	NN	end
to	TO	to
the	DT	the
war	NN	war
and	CC	and
we	PP	we
know	VVP	know
that	IN/that	that
this	DT	this
is	VBZ	be
something	NN	something
that	DT	that
Hamas	JJ	Hamas
uh	UH	uh
is	VBZ	be
stuck	VVN	stick
to	TO	to
they	PP	they
say	VVP	say
that	IN/that	that
there	EX	there
has	VHZ	have
to	TO	to
be	VB	be
an	DT	an
end	NN	end
to	TO	to
the	DT	the
war	NN	war
in	IN	in
any	DT	any
agreement	NN	agreement
before	IN	before
it	PP	it
releases	VVZ	release
any	DT	any
captives	NNS	captive
the	DT	the
current	JJ	current
deal	NN	deal
on	IN	on
the	DT	the
table	NN	table
talks	NNS	talk
about	IN	about
a	DT	a
sustained	JJ	sustained
period	NN	period
of	IN	of
calm	NN	calm
in	IN	in
the	DT	the
second	JJ	second
phase	NN	phase
after	IN	after
a	DT	a
40-day	JJ	40-day
ceasefire	NN	ceasefire
but	CC	but
with	IN	with
the	DT	the
message	NN	message
coming	VVG	come
from	IN	from
the	DT	the
Prime	NP	Prime
Minister	NP	Minister
talking	VVG	talk
also	RB	also
the	DT	the
fact	NN	fact
that	IN/that	that
Rafa	NP	Rafa
is	VBZ	be
going	VVG	go
to	TO	to
happen	VV	happen
with	IN	with
or	CC	or
without	IN	without
a	DT	a
deal	VV	deal
uh	UH	uh
certainly	RB	certainly
it's	NNS	it's
sending	VVG	send
a	DT	a
message	NN	message
and	CC	and
we're	NN	we're
expecting	VVG	expect
to	TO	to
hear	VV	hear
from	IN	from
Hamas	JJ	Hamas
uh	UH	uh
by	IN	by
the	DT	the
end	NN	end
of	IN	of
Wednesday	NP	Wednesday
by	IN	by
the	DT	the
end	NN	end
of	IN	of
tonight	RB	tonight
a	DT	a
response	NN	response
to	TO	to
the	DT	the
deal	NN	deal
that	WDT	that
is	VBZ	be
on	IN	on
the	DT	the
table	NN	table
it's	NNS	it's
sending	VVG	send
a	DT	a
message	NN	message
that	IN/that	that
a	DT	a
he	PP	he
has	VHZ	have
no	DT	no
intention	NN	intention
of	IN	of
ending	VVG	end
the	DT	the
war	NN	war
and	CC	and
B	NP	B
Rafa	NP	Rafa
is	VBZ	be
going	VVG	go
to	TO	to
happen	VV	happen
Deal	NN	deal
or	CC	or
No	DT	no
Deal	NP	Deal
uh	UH	uh
so	RB	so
you	PP	you
know	VVP	know
you	PP	you
start	VVP	start
to	TO	to
question	VV	question
what	WP	what
incentive	NN	incentive
Hamas	NNS	Hamas
will	MD	will
have	VH	have
to	TO	to
agree	VV	agree
to	TO	to
anything	NN	anything
very	RB	very
complicated	VVN	complicate
negotiations	NNS	negotiation
we're	NN	we're
going	VVG	go
to	TO	to
have	VH	have
to	TO	to
wait	VV	wait
and	CC	and
see	VV	see
certainly	RB	certainly
what	WP	what
they're	NN	they're
going	VVG	go
to	TO	to
respond	VV	respond
and	CC	and
then	RB	then
go	VV	go
from	IN	from
there	RB	there
as	IN	as
we	PP	we
were	VBD	be
mentioning	VVG	mention
before	IN	before
Anthony	NP	Anthony
blinkin	NN	blinkin
saying	VVG	say
that	IN/that	that
this	DT	this
push	NN	push
for	IN	for
a	DT	a
deal	NN	deal
is	VBZ	be
he	PP	he
says	VVZ	say
achievable	JJ	achievable
that	IN/that	that
he's	NNS	he's
told	VVD	tell
Netanyahu	NP	Netanyahu
that	IN/that	that
the	DT	the
US	NP	US
is	VBZ	be
still	RB	still
opposing	VVG	oppose
a	DT	a
ground	NN	ground
offense	NN	offense
of	IN	of
in	IN	in
Rafa	NP	Rafa
as	IN	as
you've	NNS	you've
been	VBN	be
talking	VVG	talk
about	RB	about
just	RB	just
talk	VV	talk
us	PP	us
through	IN	through
briefly	RB	briefly
what	WP	what
the	DT	the
situation	NN	situation
you	PP	you
alluded	VVD	allude
to	TO	to
it	PP	it
just	RB	just
a	DT	a
moment	NN	moment
ago	RB	ago
just	RB	just
talk	VV	talk
us	PP	us
through	IN	through
what	WP	what
the	DT	the
the	DT	the
the	DT	the
logistics	NNS	logistic
are	VBP	be
if	IN	if
you	PP	you
like	VVP	like
about	IN	about
the	DT	the
ceasefire	NN	ceasefire
deal	NN	deal
that's	NNS	that's
going	VVG	go
on	IN	on
at	IN	at
the	DT	the
moment	NN	moment
yes	NN	yes
what's	NNS	what's
on	IN	on
the	DT	the
table	NN	table
at	IN	at
the	DT	the
moment	NN	moment
is	VBZ	be
uh	UH	uh
initially	RB	initially
a	DT	a
40-day	JJ	40-day
ceasefire	NN	ceasefire
uh	UH	uh
33	CD	@card@
captives	NNS	captive
will	MD	will
be	VB	be
released	VVN	release
these	DT	these
are	VBP	be
captives	NNS	captive
that	WDT	that
fall	VVP	fall
under	IN	under
the	DT	the
humanitarian	JJ	humanitarian
umbrella	NN	umbrella
so	IN	so
uh	UH	uh
those	DT	those
over	IN	over
50	CD	@card@
years	NNS	year
old	JJ	old
women	NNS	woman
uh	UH	uh
and	CC	and
those	DT	those
that	WDT	that
are	VBP	be
injured	VVN	injure
um	JJ	um
and	CC	and
sick	JJ	sick
in	IN	in
response	NN	response
we	PP	we
understand	VV	understand
uh	UH	uh
up	RB	up
to	TO	to
900	CD	@card@
almost	RB	almost
a	DT	a
thousand	CD	thousand
Palestinian	JJ	Palestinian
prisoners	NNS	prisoner
will	MD	will
be	VB	be
released	VVN	release
also	RB	also
the	DT	the
Israeli	NP	Israeli
Army	NP	Army
will	MD	will
remove	VV	remove
itself	PP	itself
somewhat	RB	somewhat
from	IN	from
the	DT	the
corridor	NN	corridor
that	WDT	that
currently	RB	currently
Cuts	VVZ	cut
Gaza	NP	Gaza
into	IN	into
from	IN	from
the	DT	the
North	NP	North
and	CC	and
the	DT	the
South	NP	South
and	CC	and
there	EX	there
should	MD	should
be	VB	be
the	DT	the
allowance	NN	allowance
of	IN	of
Palestinians	NPS	Palestinians
to	TO	to
return	VV	return
North	NP	North
to	TO	to
their	PP$	their
homes	NNS	home
once	RB	once
that	WDT	that
happens	VVZ	happen
you	PP	you
will	MD	will
then	RB	then
have	VH	have
a	DT	a
period	NN	period
uh	UH	uh
a	DT	a
second	JJ	second
phase	NN	phase
of	IN	of
sustained	JJ	sustained
calm	NN	calm
so	IN	so
all	DT	all
of	IN	of
that	DT	that
uh	UH	uh
seems	VVZ	seem
to	TO	to
quite	RB	quite
clear	JJ	clear
but	CC	but
if	IN	if
you	PP	you
look	VVP	look
at	IN	at
the	DT	the
positions	NNS	position
of	IN	of
both	DT	both
sides	NNS	side
which	WDT	which
is	VBZ	be
one	CD	one
is	VBZ	be
saying	VVG	say
only	RB	only
a	DT	a
deal	NN	deal
if	IN	if
there	EX	there
is	VBZ	be
an	DT	an
end	NN	end
to	TO	to
the	DT	the
war	NN	war
Hamas	VVZ	Hamas
the	DT	the
Israeli	JJ	Israeli
Prime	NP	Prime
Minister	NP	Minister
saying	VVG	say
absolutely	RB	absolutely
no	RB	no
enter	VV	enter
the	DT	the
war	NN	war
and	CC	and
Rafa	NP	Rafa
with	IN	with
or	CC	or
without	IN	without
a	DT	a
deal	NN	deal
it	PP	it
seems	VVZ	seem
very	RB	very
difficult	JJ	difficult
as	IN	as
to	TO	to
how	WRB	how
this	DT	this
deal	NN	deal
can	MD	can
be	VB	be
achieved	VVN	achieve
the	DT	the
way	NN	way
Anthony	NP	Anthony
blinkin	NP	blinkin
still	RB	still
is	VBZ	be
describing	VVG	describe
it	PP	it
is	VBZ	be
as	RB	as
cautiously	RB	cautiously
optimistic	JJ	optimistic
that	IN/that	that
something	NN	something
is	VBZ	be
tangible	JJ	tangible
at	IN	at
this	DT	this
point	NN	point
but	CC	but
again	RB	again
what's	NNS	what's
different	JJ	different
this	DT	this
time	NN	time
is	VBZ	be
that	IN/that	that
if	IN	if
there	EX	there
is	VBZ	be
no	DT	no
deal	NN	deal
the	DT	the
Israelis	NPS	Israelis
have	VHP	have
made	VVN	make
it	PP	it
very	RB	very
clear	VVP	clear
Raa	NP	Raa
is	VBZ	be
going	VVG	go
to	TO	to
happen	VV	happen
and	CC	and
it's	NNS	it's
going	VVG	go
to	TO	to
happen	VV	happen
very	RB	very
soon	RB	soon
Stephanie	NP	Stephanie
deer	NN	deer
and	CC	and
occupied	VVD	occupy
East	NP	East
Jerusalem	NP	Jerusalem
Stephanie	NP	Stephanie
thank	VVP	thank
you	PP	you
make	VVP	make
sure	RB	sure
to	TO	to
subscribe	VV	subscribe
to	TO	to
our	PP$	our
channel	NN	channel
to	TO	to
get	VV	get
the	DT	the
latest	JJS	late
news	NN	news
from	IN	from
alaz	NN	alaz
</doc>	NN	</doc>
