diplomatic	JJ	diplomatic
Stephanie	NP	Stephanie
protesters	NNS	protester
are	VBP	be
demanding	VVG	demand
that	IN/that	that
the	DT	the
talks	NNS	talk
resume	VVP	resume
is	VBZ	be
the	DT	the
government	NN	government
listening	VVG	listen
well	RB	well
you	PP	you
heard	VVD	hear
there	RB	there
and	CC	and
if	IN	if
we	PP	we
break	VVP	break
down	RP	down
their	PP$	their
demands	NNS	demand
some	RB	some
of	IN	of
them	PP	them
are	VBP	be
calling	VVG	call
for	IN	for
early	JJ	early
election	NN	election
some	DT	some
of	IN	of
them	PP	them
are	VBP	be
calling	VVG	call
for	IN	for
the	DT	the
government	NN	government
to	TO	to
step	VV	step
down	RP	down
for	IN	for
Netanyahu	NP	Netanyahu
specifically	RB	specifically
to	TO	to
go	VV	go
that	IN/that	that
he	PP	he
is	VBZ	be
responsible	JJ	responsible
for	IN	for
October	NP	October
the	DT	the
7th	JJ	7th
um	NN	um
for	IN	for
the	DT	the
captives	NNS	captive
to	TO	to
come	VV	come
home	NN	home
for	IN	for
any	DT	any
deal	NN	deal
at	IN	at
this	DT	this
point	NN	point
at	IN	at
whatever	WDT	whatever
it	PP	it
costs	VVZ	cost
to	TO	to
be	VB	be
made	VVN	make
so	CC	so
are	VBP	be
they	PP	they
listening	VVG	listen
at	IN	at
this	DT	this
point	NN	point
in	IN	in
time	NN	time
I	PP	I
think	VVP	think
we	PP	we
can	MD	can
say	VV	say
no	DT	no
um	NN	um
these	DT	these
protests	NNS	protest
have	VHP	have
been	VBN	be
going	VVG	go
on	IN	on
for	IN	for
months	NNS	month
and	CC	and
months	NNS	month
and	CC	and
months	NNS	month
and	CC	and
the	DT	the
feeling	NN	feeling
is	VBZ	be
and	CC	and
you	PP	you
heard	VVD	hear
there	RB	there
from	IN	from
a	DT	a
family	NN	family
member	NN	member
of	IN	of
one	CD	one
of	IN	of
the	DT	the
captives	NNS	captive
that	IN/that	that
if	IN	if
Israel	NP	Israel
goes	VVZ	go
into	IN	into
Rafa	NP	Rafa
that	IN/that	that
it	PP	it
'	POS	'
s	NN	S
very	RB	very
unlikely	JJ	unlikely
that	IN/that	that
any	DT	any
of	IN	of
the	DT	the
captives	NNS	captive
however	RB	however
many	RB	many
remain	VV	remain
alive	JJ	alive
at	IN	at
this	DT	this
point	NN	point
will	MD	will
return	VV	return
home	RB	home
alive	JJ	alive
so	IN	so
we	PP	we
have	VHP	have
a	DT	a
very	RB	very
critical	JJ	critical
juncture	NN	juncture
in	IN	in
the	DT	the
talks	NNS	talk
you	PP	you
also	RB	also
heard	VVD	hear
him	PP	him
there	RB	there
mentioning	VVG	mention
benir	NN	benir
itar	NN	itar
benir	NN	benir
this	NN	this
is	VBZ	be
uh	UH	uh
one	CD	one
of	IN	of
the	DT	the
right	JJ	right
-	NN	-
wing	NN	wing
cabin	NN	cabin
members	NNS	member
of	IN	of
netanyahu	NP	netanyahu
'	POS	'
s	NN	S
government	NN	government
that	WDT	that
really	RB	really
ensures	VVZ	ensure
along	RP	along
with	IN	with
bezel	NN	bezel
smotrich	NNS	smotrich
the	DT	the
survival	NN	survival
of	IN	of
this	DT	this
government	NN	government
he	PP	he
made	VVD	make
a	DT	a
statement	NN	statement
yesterday	NN	yesterday
saying	VVG	say
that	IN/that	that
he	PP	he
was	VBD	be
very	RB	very
happy	JJ	happy
that	IN/that	that
Israel	NP	Israel
hadn	NNS	hadn
'	POS	'
t	NN	t
sent	VVD	send
a	DT	a
delegation	NN	delegation
to	TO	to
Cairo	NP	Cairo
that	IN/that	that
he	PP	he
hoped	VVD	hope
that	IN/that	that
Netanyahu	NP	Netanyahu
would	MD	would
make	VV	make
good	JJ	good
on	IN	on
his	PP$	his
promises	NNS	promise
to	TO	to
Ben	NP	Ben
G	NP	G
that	IN/that	that
he	PP	he
needs	VVZ	need
to	TO	to
go	VV	go
into	IN	into
Rafa	NP	Rafa
and	CC	and
then	RB	then
if	IN	if
he	PP	he
doesn	NN	doesn
'	POS	'
t	NN	t
that	IN/that	that
the	DT	the
Prime	NP	Prime
Minister	NP	Minister
knows	VVZ	know
the	DT	the
consequences	NNS	consequence
and	CC	and
I	PP	I
that	RB	that
is	VBZ	be
alluding	VVG	allude
at	IN	at
potentially	RB	potentially
leaving	VVG	leave
government	NN	government
and	CC	and
causing	VVG	cause
a	DT	a
collapse	NN	collapse
of	IN	of
the	DT	the
government	NN	government
so	IN	so
that	WDT	that
gives	VVZ	give
you	PP	you
an	DT	an
indication	NN	indication
of	IN	of
the	DT	the
domestic	JJ	domestic
pressure	NN	pressure
Netanyahu	NP	Netanyahu
is	VBZ	be
under	IN	under
Netanyahu	NP	Netanyahu
is	VBZ	be
a	DT	a
man	NN	man
who	WP	who
at	IN	at
the	DT	the
Forefront	NN	forefront
of	IN	of
everything	NN	everything
is	VBZ	be
his	PP$	his
political	JJ	political
survival	NN	survival
so	IN	so
uh	UH	uh
I	PP	I
think	VVP	think
you	PP	you
mentioned	VVD	mention
there	RB	there
in	IN	in
terms	NNS	term
of	IN	of
an	DT	an
Israeli	JJ	Israeli
delegation	NN	delegation
to	TO	to
Caro	NP	Caro
it	PP	it
'	POS	'
s	NNS	s
going	VVG	go
to	TO	to
be	VB	be
very	RB	very
interesting	JJ	interesting
if	IN	if
at	IN	at
some	DT	some
point	NN	point
we	PP	we
see	VVP	see
an	DT	an
Israeli	JJ	Israeli
de	NP	de
delegation	NN	delegation
go	NN	go
that	WDT	that
will	MD	will
be	VB	be
a	DT	a
positive	JJ	positive
sign	NN	sign
but	CC	but
at	IN	at
the	DT	the
moment	NN	moment
some	DT	some
kind	NN	kind
of	IN	of
impass	NN	impass
certainly	RB	certainly
and	CC	and
more	JJR	more
and	CC	and
more	JJR	more
reports	NNS	report
in	IN	in
the	DT	the
media	NNS	medium
now	RB	now
pointing	VVG	point
the	DT	the
blame	NN	blame
at	IN	at
Netanyahu	NP	Netanyahu
that	IN/that	that
he	PP	he
'	POS	'
s	NN	S
the	DT	the
one	CD	one
who	WP	who
doesn	NP	doesn
'	POS	'
t	NN	t
want	VVP	want
a	DT	a
deal	NN	deal
earlier	RBR	earlier
just	RB	just
briefly	RB	briefly
and	CC	and
blink	VV	blink
the	DT	the
US	NP	US
Secretary	NP	Secretary
of	IN	of
State	NP	State
was	VBD	be
here	RB	here
just	RB	just
a	DT	a
few	JJ	few
days	NNS	day
ago	RB	ago
saying	VVG	say
that	IN/that	that
the	DT	the
onus	NN	onus
was	VBD	be
on	IN	on
Hamas	NP	Hamas
if	IN	if
Hamas	NP	Hamas
didn	NP	didn
'	POS	'
t	NN	t
accept	VV	accept
this	DT	this
deal	NN	deal
it	PP	it
was	VBD	be
them	PP	them
who	WP	who
didn	NP	didn
'	POS	'
t	NN	t
care	NN	care
about	IN	about
their	PP$	their
people	NNS	people
well	RB	well
now	RB	now
you	PP	you
know	VVP	know
we	PP	we
have	VH	have
leaks	NNS	leak
that	IN/that	that
Hamas	NP	Hamas
is	VBZ	be
probably	RB	probably
going	VVG	go
to	TO	to
accept	VV	accept
what	WP	what
'	POS	'
s	NN	S
on	IN	on
the	DT	the
table	NN	table
and	CC	and
it	PP	it
'	POS	'
s	NN	S
the	DT	the
Israelis	NPS	Israelis
particularly	RB	particularly
the	DT	the
Israeli	JJ	Israeli
Prime	NP	Prime
Minister	NP	Minister
uh	UH	uh
who	WP	who
seems	VVZ	seem
to	TO	to
be	VB	be
delaying	VVG	delay
and	CC	and
scuppering	VVG	scupper
what	WP	what
is	VBZ	be
on	IN	on
the	DT	the
table	NN	table
at	IN	at
the	DT	the
moment	NN	moment
and	CC	and
Stephanie	NP	Stephanie
regarding	VVG	regard
the	DT	the
talks	NNS	talk
themselves	PP	themselves
then	RB	then
what	WP	what
might	MD	might
we	PP	we
expect	VV	expect
next	JJ	next
realistically	RB	realistically
well	RB	well
they	PP	they
resumed	VVD	resume
today	NN	today
in	IN	in
Cairo	NP	Cairo
you	PP	you
mentioned	VVD	mention
there	EX	there
you	PP	you
still	RB	still
have	VHP	have
the	DT	the
head	NN	head
of	IN	of
the	DT	the
CIA	NP	CIA
William	NP	William
Burns	NP	Burns
in	IN	in
Cairo	NP	Cairo
along	IN	along
with	IN	with
the	DT	the
Hamas	JJ	Hamas
delegation	NN	delegation
there	EX	there
will	MD	will
be	VB	be
intensive	JJ	intensive
negotiations	NNS	negotiation
ongoing	JJ	ongoing
also	RB	also
pressure	NN	pressure
on	IN	on
the	DT	the
Israelis	NPS	Israelis
because	IN	because
as	IN	as
we	PP	we
know	VVP	know
the	DT	the
Americans	NPS	Americans
and	CC	and
the	DT	the
Egyptians	NNS	Egyptian
and	CC	and
the	DT	the
qataris	NNS	Qatari
also	RB	also
have	VHP	have
made	VVN	make
it	PP	it
clear	JJ	clear
that	IN/that	that
they	PP	they
want	VVP	want
no	DT	no
Rua	NP	Rua
offensive	NN	offensive
so	IN	so
we	PP	we
'	POS	'
re	NN	re
going	VVG	go
to	TO	to
have	VH	have
to	TO	to
wait	VV	wait
and	CC	and
see	VV	see
what	WP	what
comes	VVZ	come
out	RP	out
at	IN	at
this	DT	this
point	NN	point
it	PP	it
'	POS	'
s	NN	S
not	RB	not
only	RB	only
waiting	VVG	wait
for	IN	for
Hamas	NNS	Hamas
what	WP	what
they	PP	they
have	VHP	have
to	TO	to
say	VV	say
even	RB	even
though	IN	though
the	DT	the
Israelis	NPS	Israelis
say	VVP	say
we	PP	we
need	VVP	need
a	DT	a
positive	NN	positive
from	IN	from
Hamas	NNS	Hamas
before	IN	before
we	PP	we
send	VVP	send
a	DT	a
delegation	NN	delegation
there	RB	there
'	POS	'
s	NNS	s
a	DT	a
lot	NN	lot
happening	VVG	happen
in	IN	in
Israel	NP	Israel
we	PP	we
have	VHP	have
a	DT	a
cabinet	NN	cabinet
meeting	NN	meeting
at	IN	at
11	CD	@card@
:	:	:
00	CD	@card@
a	DT	a
.	SENT	.
m	NN	m
.	SENT	.
local	NN	local
that	RB	that
'	POS	'
s	NN	S
in	IN	in
about	RB	about
3	CD	@card@
hours	NNS	hour
time	NN	time
sometimes	RB	sometimes
the	DT	the
Prime	NP	Prime
Minister	NP	Minister
makes	VVZ	make
a	DT	a
public	JJ	public
statement	NN	statement
we	PP	we
'	POS	'
ll	NNS	ll
wait	VVP	wait
and	CC	and
see	VVP	see
what	WP	what
he	PP	he
has	VHZ	have
to	TO	to
say	VV	say
but	CC	but
we	PP	we
'	POS	'
re	NN	re
in	IN	in
a	DT	a
it	PP	it
'	POS	'
s	NNS	s
an	DT	an
impass	NN	impass
at	IN	at
the	DT	the
moment	NN	moment
critical	JJ	critical
times	NNS	time
and	CC	and
it	PP	it
could	MD	could
go	VV	go
either	DT	either
way	NN	way
we	PP	we
'	POS	'
re	NN	re
going	VVG	go
to	TO	to
have	VH	have
to	TO	to
wait	VV	wait
and	CC	and
see	VV	see
how	WRB	how
the	DT	the
days	NNS	day
unfold	VVP	unfold
in	IN	in
occupied	JJ	occupied
East	NNS	East
for	IN	for
us	PP	us
Stephanie	NP	Stephanie
thank	VV	thank
you	PP	you
make	VV	make
sure	JJ	sure
to	TO	to
subscribe	VV	subscribe
to	TO	to
our	PP$	our
channel	NN	channel
to	TO	to
get	VV	get
the	DT	the
latest	JJS	late
news	NN	news
from	IN	from
Al	NP	Al
here	RB	here
