<video_id>GFrmwl3ELjo</video_id>	NN	<video_id>GFrmwl3ELjo</video_id>
oversight	NN	oversight
by	IN	by
Israel	NP	Israel
on	IN	on
it	PP	it
so	IN	so
I	PP	I
think	VVP	think
in	IN	in
order	NN	order
to	TO	to
first	JJ	first
uh	UH	uh
make	VV	make
sure	JJ	sure
that	IN/that	that
Israel	NP	Israel
withdraws	VVZ	withdraw
from	IN	from
The	DT	the
Crossings	NNS	crossing
and	CC	and
two	CD	two
that	WDT	that
Israel	NP	Israel
is	VBZ	be
in	IN	in
is	VBZ	be
unable	JJ	unable
to	TO	to
impose	VV	impose
another	DT	another
Siege	NN	siege
on	IN	on
Gaza	NP	Gaza
if	IN	if
you	PP	you
remember	VVP	remember
these	DT	these
were	VBD	be
one	CD	one
of	IN	of
the	DT	the
red	JJ	red
lines	NN	lines
by	IN	by
uh	UH	uh
the	DT	the
United	NP	United
States	NPS	States
eventually	RB	eventually
but	CC	but
they	PP	they
were	VBD	be
adoped	VVN	adoped
by	IN	by
the	DT	the
G7	JJ	G7
uh	UH	uh
foreign	JJ	foreign
ministers	NNS	minister
meeting	NN	meeting
in	IN	in
Japan	NP	Japan
when	WRB	when
they	PP	they
said	VVD	say
among	IN	among
others	NNS	other
that	IN/that	that
Israel	NP	Israel
cannot	MD	can
maintain	VV	maintain
a	DT	a
security	NN	security
Zone	NP	Zone
but	CC	but
it	PP	it
also	RB	also
cannot	MD	can
impose	VV	impose
another	DT	another
Siege	NN	siege
on	IN	on
Gaza	NP	Gaza
once	IN	once
a	DT	a
ceasefire	NN	ceasefire
is	VBZ	be
reached	VVN	reach
and	CC	and
uh	UH	uh
the	DT	the
road	NN	road
or	CC	or
the	DT	the
pathway	NN	pathway
towards	IN	towards
negotiations	NNS	negotiation
over	IN	over
a	DT	a
final	JJ	final
settlement	NN	settlement
is	VBZ	be
on	IN	on
way	NN	way
so	IN	so
these	DT	these
two	CD	two
two	CD	two
issues	NNS	issue
that	WDT	that
ensure	VV	ensure
uh	UH	uh
gaza's	NN	gaza's
safety	NN	safety
and	CC	and
its	PP$	its
freedom	NN	freedom
from	IN	from
another	DT	another
Israeli	JJ	Israeli
Siege	NN	siege
are	VBP	be
clearly	RB	clearly
on	IN	on
the	DT	the
books	NNS	book
for	IN	for
Hamas	NNS	Hamas
in	IN	in
order	NN	order
to	TO	to
uh	UH	uh
save	VV	save
face	NN	face
at	IN	at
least	JJS	least
in	IN	in
the	DT	the
uh	UH	uh
in	IN	in
in	IN	in
the	DT	the
aftermath	NN	aftermath
if	IN	if
you	PP	you
will	MD	will
overseas	RB	overseas
fire	VV	fire
Mar	NP	Mar
Bash	NP	Bash
</doc>	NN	</doc>
