<video_id>AXDOV8bThRQ</video_id>	JJ	<video_id>AXDOV8bThRQ</video_id>
off	RP	off
scot-free	RB	scot-free
with	IN	with
these	DT	these
massacres	NNS	massacre
and	CC	and
I	PP	I
use	VVP	use
the	DT	the
word	NN	word
massacres	VVZ	massacre
advisedly	RB	advisedly
of	IN	of
humanitarian	JJ	humanitarian
workers	NNS	worker
Chris	NP	Chris
you	PP	you
say	VVP	say
the	DT	the
world	NN	world
is	VBZ	be
repulsed	VVN	repulse
by	IN	by
this	DT	this
attack	NN	attack
but	CC	but
but	RB	but
where	WRB	where
is	VBZ	be
the	DT	the
out	JJ	out
outrage	NN	outrage
where	WRB	where
is	VBZ	be
the	DT	the
action	NN	action
being	VBG	be
taken	VVN	take
against	IN	against
Israel	NP	Israel
well	NN	well
let's	NNS	let's
talk	VVP	talk
about	IN	about
the	DT	the
international	JJ	international
court	NN	court
of	IN	of
justice	NN	justice
and	CC	and
let's	NNS	let's
talk	VVP	talk
about	IN	about
the	DT	the
security	NN	security
Council	NN	council
whose	WP$	whose
response	NN	response
has	VHZ	have
been	VBN	be
holy	JJ	holy
inadequate	JJ	inadequate
at	IN	at
the	DT	the
icj	NN	icj
what	WP	what
we've	NN	we've
seen	VVN	see
is	VBZ	be
Israel	NP	Israel
told	VVD	tell
that	IN/that	that
it's	NNS	it's
committing	VVG	commit
a	DT	a
plausible	JJ	plausible
genocide	NN	genocide
here	RB	here
is	VBZ	be
the	DT	the
the	DT	the
people	NNS	people
the	DT	the
nation	NN	nation
the	DT	the
country	NN	country
against	IN	against
whom	WP	whom
a	DT	a
holocaust	NN	holocaust
was	VBD	be
was	VBD	be
committed	VVN	commit
accused	VVN	accuse
of	IN	of
a	DT	a
genocide	NN	genocide
against	IN	against
a	DT	a
population	NN	population
which	WDT	which
it	PP	it
has	VHZ	have
put	VVN	put
in	IN	in
a	DT	a
a	DT	a
ghetto	NN	ghetto
the	DT	the
world's	JJ	world's
largest	JJS	large
prison	NN	prison
camp	NN	camp
as	IN	as
David	NP	David
Cameron	NP	Cameron
the	DT	the
current	JJ	current
British	JJ	British
foreign	JJ	foreign
secretary	NN	secretary
when	WRB	when
he	PP	he
was	VBD	be
prime	JJ	prime
minister	NN	minister
once	RB	once
described	VVD	describe
it	PP	it
so	IN	so
let's	NNS	let's
hope	VVP	hope
that	IN/that	that
the	DT	the
icj	NN	icj
will	MD	will
move	VV	move
towards	IN	towards
accountability	NN	accountability
that	WDT	that
is	VBZ	be
something	NN	something
which	WDT	which
is	VBZ	be
new	JJ	new
it	PP	it
didn't	VVD	didn't
it	PP	it
wasn't	VVD	wasn't
the	DT	the
case	NN	case
in	IN	in
2014	CD	@card@
when	WRB	when
I	PP	I
was	VBD	be
the	DT	the
unra	NN	unra
spokesperson	NN	spokesperson
and	CC	and
let's	NNS	let's
see	VVP	see
what	WP	what
the	DT	the
security	NN	security
Council	NN	council
will	MD	will
do	VV	do
because	IN	because
things	NNS	thing
are	VBP	be
changing	VVG	change
there	RB	there
wasn't	JJ	wasn't
an	DT	an
American	JJ	American
veto	NN	veto
and	CC	and
of	IN	of
course	NN	course
America	NP	America
is	VBZ	be
supplying	VVG	supply
$3.8	JJ	$3.8
billion	NN	billion
dollar	NN	dollar
per	IN	per
year	NN	year
of	IN	of
Weaponry	NN	weaponry
that's	NNS	that's
being	VBG	be
used	VVN	use
for	IN	for
these	DT	these
massacres	NNS	massacre
of	IN	of
workers	NNS	worker
and	CC	and
we	PP	we
would	MD	would
like	VV	like
to	TO	to
think	VV	think
that	IN/that	that
America	NP	America
is	VBZ	be
coming	VVG	come
to	TO	to
its	PP$	its
senses	NNS	sense
that	IN/that	that
there	EX	there
will	MD	will
be	VB	be
some	DT	some
kind	NN	kind
of	IN	of
effort	NN	effort
within	IN	within
the	DT	the
Biden	NP	Biden
Administration	NP	Administration
given	VVN	give
the	DT	the
huge	JJ	huge
pressure	NN	pressure
that	IN/that	that
we're	NNS	we're
now	RB	now
seeing	VVG	see
from	IN	from
the	DT	the
American	NP	American
Arab	NP	Arab
Community	NP	Community
for	IN	for
a	DT	a
change	NN	change
of	IN	of
policy	NN	policy
and	CC	and
I	PP	I
think	VVP	think
that's	NNS	that's
also	RB	also
true	JJ	true
of	IN	of
the	DT	the
American	JJ	American
Jewish	JJ	Jewish
community	NN	community
so	IN	so
let's	NNS	let's
not	RB	not
write	VVP	write
off	RP	off
accountability	NN	accountability
quite	RB	quite
yet	RB	yet
but	CC	but
I	PP	I
can	MD	can
understand	VV	understand
where	WRB	where
there	EX	there
would	MD	would
be	VB	be
huge	JJ	huge
huge	JJ	huge
sism	NN	sism
across	IN	across
the	DT	the
Arab	JJ	Arab
street	NN	street
because	IN	because
nothing	NN	nothing
really	RB	really
meaningful	JJ	meaningful
has	VHZ	have
happened	VVN	happen
whatsoever	JJ	whatsoever
let's	NNS	let's
look	VVP	look
a	DT	a
bit	NN	bit
more	RBR	more
at	IN	at
World	NP	World
Central	NP	Central
Kitchen	NP	Kitchen
we	PP	we
this	DT	this
is	VBZ	be
an	DT	an
organization	NN	organization
that	IN/that	that
we	PP	we
believe	VVP	believe
coordinated	VVN	coordinate
closely	RB	closely
with	IN	with
the	DT	the
Israelis	NPS	Israelis
in	IN	in
so	RB	so
far	RB	far
as	IN	as
it	PP	it
was	VBD	be
also	RB	also
bringing	VVG	bring
Aid	NN	aid
to	TO	to
Gaza	NP	Gaza
by	IN	by
sea	NN	sea
with	IN	with
ships	NNS	ship
from	IN	from
Cyprus	NP	Cyprus
it	PP	it
involved	VVD	involve
the	DT	the
building	NN	building
of	IN	of
a	DT	a
jetty	NN	jetty
it	PP	it
involved	VVD	involve
distribution	NN	distribution
of	IN	of
aid	NN	aid
from	IN	from
the	DT	the
boats	NNS	boat
across	IN	across
Northern	NP	Northern
Gaza	NP	Gaza
if	IN	if
this	DT	this
is	VBZ	be
an	DT	an
organization	NN	organization
that	WDT	that
has	VHZ	have
been	VBN	be
attacked	VVD	attack
having	VHG	have
had	VHD	have
that	DT	that
close	JJ	close
coordination	NN	coordination
with	IN	with
the	DT	the
Israelis	NPS	Israelis
what	WP	what
does	VVZ	do
it	PP	it
mean	VV	mean
for	IN	for
other	JJ	other
Aid	NN	aid
organizations	NNS	organization
in	IN	in
Gaza	NP	Gaza
that's	NNS	that's
a	DT	a
very	RB	very
very	RB	very
good	JJ	good
question	NN	question
because	IN	because
I	PP	I
think	VVP	think
what	WP	what
we're	NN	we're
now	RB	now
seeing	VVG	see
is	VBZ	be
a	DT	a
deliberate	JJ	deliberate
attempt	NN	attempt
to	TO	to
make	VV	make
clear	JJ	clear
to	TO	to
the	DT	the
world	NN	world
that	IN/that	that
the	DT	the
genocide	NN	genocide
is	VBZ	be
going	VVG	go
to	TO	to
happen	VV	happen
that	IN/that	that
if	IN	if
this	DT	this
organization	NN	organization
which	WDT	which
was	VBD	be
so	RB	so
closely	RB	closely
coordinated	VVN	coordinate
with	IN	with
the	DT	the
Israeli	JJ	Israeli
authorities	NNS	authority
is	VBZ	be
going	VVG	go
to	TO	to
be	VB	be
deliberately	RB	deliberately
attacked	VVN	attack
not	RB	not
once	RB	once
not	RB	not
twice	RB	twice
but	CC	but
three	CD	three
times	NNS	time
and	CC	and
of	IN	of
course	NN	course
it	PP	it
called	VVD	call
off	RB	off
and	CC	and
has	VHZ	have
suspended	VVN	suspend
its	PP$	its
delivery	NN	delivery
of	IN	of
food	NN	food
and	CC	and
with	IN	with
each	DT	each
of	IN	of
those	DT	those
boats	NNS	boat
coming	VVG	come
in	IN	in
we're	NN	we're
seeing	VVG	see
half	PDT	half
a	DT	a
million	CD	million
meals	NNS	meal
delivered	VVN	deliver
to	TO	to
300,000	CD	@card@
people	NNS	people
who	WP	who
are	VBP	be
facing	VVG	face
starvation	NN	starvation
in	IN	in
Northern	NP	Northern
Gaza	NP	Gaza
it	PP	it
seems	VVZ	seem
to	TO	to
me	PP	me
that	IN/that	that
that's	NNS	that's
a	DT	a
very	RB	very
clear	JJ	clear
signal	NN	signal
to	TO	to
the	DT	the
world	NN	world
as	RB	as
if	IN	if
it	PP	it
was	VBD	be
needed	VVN	need
that	IN/that	that
Israel	NP	Israel
is	VBZ	be
committed	VVN	commit
to	TO	to
the	DT	the
genocidal	JJ	genocidal
project	NN	project
it	PP	it
is	VBZ	be
De	NP	De
developing	JJ	developing
Gaza	NP	Gaza
it's	NNS	it's
destroying	VVG	destroy
Gaza	NP	Gaza
all	RB	all
the	DT	the
universities	NNS	university
destroyed	VVD	destroy
schools	NNS	school
hit	VVD	hit
cultural	JJ	cultural
centers	NNS	center
hit	VVN	hit
and	CC	and
of	IN	of
course	NN	course
Netanyahu	NP	Netanyahu
and	CC	and
yav	NP	yav
Galant	NP	Galant
the	DT	the
defense	NN	defense
minister	NN	minister
and	CC	and
yach	NP	Yach
Herzog	NP	Herzog
the	DT	the
president	NN	president
have	VHP	have
made	VVN	make
it	PP	it
clear	JJ	clear
in	IN	in
their	PP$	their
public	JJ	public
statements	NNS	statement
they	PP	they
intend	VVP	intend
to	TO	to
commit	VV	commit
genocide	NN	genocide
and	CC	and
that's	NNS	that's
what	WP	what
we're	VVP	we're
seeing	VVG	see
in	IN	in
this	DT	this
attack	NN	attack
on	IN	on
these	DT	these
Aid	NP	Aid
workers	NNS	worker
today	NN	today
this	DT	this
tragic	JJ	tragic
Massacre	NN	massacre
this	DT	this
liberate	VV	liberate
uh	UH	uh
calculated	JJ	calculated
premeditated	VVN	premeditate
attack	NN	attack
not	RB	not
once	RB	once
not	RB	not
twice	RB	twice
three	CD	three
times	NNS	time
on	IN	on
these	DT	these
workers	NNS	worker
that	WDT	that
is	VBZ	be
part	NN	part
of	IN	of
the	DT	the
genocidal	JJ	genocidal
the	DT	the
project	NN	project
that	WDT	that
has	VHZ	have
been	VBN	be
made	VVN	make
clear	JJ	clear
by	IN	by
these	DT	these
Israeli	JJ	Israeli
leaders	NNS	leader
Chris	NP	Chris
we're	NN	we're
hearing	NN	hearing
that	IN/that	that
the	DT	the
second	JJ	second
largest	JJS	large
Aid	NN	aid
organization	NN	organization
humanitarian	JJ	humanitarian
organization	NN	organization
after	IN	after
unra	NN	unra
inside	IN	inside
Gaza	NP	Gaza
Ana	NP	Ana
is	VBZ	be
going	VVG	go
to	TO	to
be	VB	be
suspending	VVG	suspend
its	PP$	its
operations	NNS	operation
after	IN	after
attack	VV	attack
uh	UH	uh
threats	NNS	threat
it	PP	it
says	VVZ	say
of	IN	of
attacks	NNS	attack
and	CC	and
obviously	RB	obviously
attacks	NNS	attack
on	IN	on
the	DT	the
world	NN	world
C	NP	C
kitchen	NN	kitchen
and	CC	and
other	JJ	other
Aid	NN	aid
workers	NNS	worker
what	WP	what
do	VVP	do
you	PP	you
know	VVP	know
about	IN	about
this	DT	this
and	CC	and
what	WP	what
impact	NN	impact
is	VBZ	be
it	PP	it
having	VHG	have
on	IN	on
the	DT	the
people	NNS	people
of	IN	of
Gaza	NP	Gaza
well	RB	well
for	IN	for
the	DT	the
people	NNS	people
of	IN	of
Gaza	NP	Gaza
let	VVD	let
me	PP	me
be	VB	be
clear	VV	clear
there	EX	there
are	VBP	be
300,000	CD	@card@
people	NNS	people
in	IN	in
an	DT	an
IDP	NP	IDP
Camp	NP	Camp
internally	RB	internally
displaced	VVD	displace
people	NNS	people
camp	NN	camp
in	IN	in
the	DT	the
north	NN	north
and	CC	and
there	EX	there
are	VBP	be
1.4	CD	@card@
1.5	CD	@card@
million	CD	million
in	IN	in
Rafa	NP	Rafa
they	PP	they
are	VBP	be
starving	VVG	starve
to	TO	to
death	NN	death
as	IN	as
we	PP	we
speak	VVP	speak
despite	IN	despite
the	DT	the
propaganda	NN	propaganda
that's	NNS	that's
being	VBG	be
put	VVN	put
out	RP	out
by	IN	by
Israel	NP	Israel
and	CC	and
its	PP$	its
propaganda	NN	propaganda
machinery	NN	machinery
and	CC	and
what	WP	what
we	PP	we
had	VHD	have
and	CC	and
here's	NNS	here's
a	DT	a
breaking	NN	breaking
news	NN	news
story	NN	story
for	IN	for
you	PP	you
today	NN	today
the	DT	the
IDF	NP	IDF
the	DT	the
Israeli	NP	Israeli
Army	NP	Army
blocked	VVD	block
an	DT	an
entire	JJ	entire
un	NN	un
Convoy	NN	convoy
from	IN	from
going	VVG	go
to	TO	to
the	DT	the
north	NN	north
and	CC	and
that's	NNS	that's
because	IN	because
the	DT	the
world	NN	world
food	NN	food
program	NN	program
has	VHZ	have
made	VVN	make
it	PP	it
clear	JJ	clear
that	IN/that	that
it	PP	it
will	MD	will
not	RB	not
do	VV	do
food	NN	food
distributions	NNS	distribution
uh	UH	uh
in	IN	in
a	DT	a
way	NN	way
which	WDT	which
undermines	VVZ	undermine
unra	NN	unra
in	IN	in
any	DT	any
way	NN	way
what	WP	what
the	DT	the
Israelis	NPS	Israelis
were	VBD	be
trying	VVG	try
to	TO	to
do	VV	do
was	VBD	be
save	VV	save
the	DT	the
world	NN	world
F	NN	F
the	DT	the
world	NN	world
food	NN	food
program	NN	program
you	PP	you
come	VVP	come
and	CC	and
do	VVP	do
food	NN	food
distributions	NNS	distribution
will	MD	will
block	VV	block
unra	NN	unra
well	RB	well
today	NN	today
was	VBD	be
a	DT	a
coordination	NN	coordination
meeting	NN	meeting
and	CC	and
the	DT	the
uh	UH	uh
world	NN	world
food	NN	food
program	NN	program
and	CC	and
other	JJ	other
un	NN	un
agencies	NNS	agency
made	VVD	make
it	PP	it
clear	JJ	clear
that	IN/that	that
if	IN	if
there's	RB	there's
no	DT	no
unra	NN	unra
there's	RB	there's
no	DT	no
Convoy	NN	convoy
if	IN	if
there's	RB	there's
no	RB	no
under	IN	under
going	VVG	go
to	TO	to
meetings	NNS	meeting
then	RB	then
there	EX	there
is	VBZ	be
no	DT	no
meeting	NN	meeting
and	CC	and
that's	NNS	that's
an	DT	an
advance	NN	advance
but	CC	but
what	WP	what
it's	NNS	it's
meant	VVN	mean
is	VBZ	be
that	IN/that	that
the	DT	the
Israelis	NPS	Israelis
have	VHP	have
now	RB	now
blocked	VVN	block
an	DT	an
entire	JJ	entire
un	NN	un
Convoy	NN	convoy
going	VVG	go
to	TO	to
the	DT	the
north	NN	north
So	RB	so
within	IN	within
hours	NNS	hour
of	IN	of
this	DT	this
attack	NN	attack
this	DT	this
massacre	NN	massacre
of	IN	of
these	DT	these
innocent	JJ	innocent
humanitarian	JJ	humanitarian
workers	NNS	worker
the	DT	the
Convoy	NN	convoy
I	PP	I
hope	VVP	hope
this	DT	this
is	VBZ	be
is	VBZ	be
referred	VVN	refer
to	TO	to
the	DT	the
international	JJ	international
court	NN	court
of	IN	of
justice	NN	justice
as	IN	as
further	JJR	further
evidence	NN	evidence
that	IN/that	that
a	DT	a
plausible	JJ	plausible
genocide	NN	genocide
is	VBZ	be
being	VBG	be
perpetrated	VVN	perpetrate
by	IN	by
the	DT	the
country	NN	country
for	IN	for
whom	WP	whom
the	DT	the
word	NN	word
genocide	NN	genocide
was	VBD	be
created	VVN	create
and	CC	and
that	DT	that
is	VBZ	be
an	DT	an
outrage	NN	outrage
which	WDT	which
should	MD	should
be	VB	be
a	DT	a
cause	NN	cause
for	IN	for
international	JJ	international
outrage	NN	outrage
and	CC	and
I	PP	I
hope	VVP	hope
things	NNS	thing
will	MD	will
start	VV	start
to	TO	to
change	VV	change
because	IN	because
2.3	CD	@card@
million	CD	million
people	NNS	people
today	RB	today
are	VBP	be
facing	VVG	face
starvation	NN	starvation
in	IN	in
Gaza	NP	Gaza
it's	NNS	it's
an	DT	an
outrage	NN	outrage
and	CC	and
it	PP	it
must	MD	must
end	VV	end
soon	RB	soon
Chris	NP	Chris
GIS	NP	GIS
former	JJ	former
span	NN	span
for	IN	for
unra	NN	unra
thanks	NNS	thanks
very	RB	very
much	RB	much
for	IN	for
talking	VVG	talk
to	TO	to
Al	NP	Al
</doc>	NN	</doc>
