respectfully	RB	respectfully
was	VBD	be
directly	RB	directly
shelled	VVN	shell
and	CC	and
the	DT	the
incubators	NNS	incubator
were	VBD	be
destroyed	VVN	destroy
the	DT	the
solar	JJ	solar
panel	NN	panel
producing	VVG	produce
electricity	NN	electricity
and	CC	and
water	NN	water
tanks	NNS	tank
were	VBD	be
also	RB	also
destroyed	VVN	destroy
as	IN	as
a	DT	a
result	NN	result
the	DT	the
hospital	NN	hospital
is	VBZ	be
now	RB	now
without	IN	without
power	NN	power
water	NN	water
and	CC	and
now	RB	now
out	RB	out
of	IN	of
operations	NNS	operation
however	RB	however
the	DT	the
medical	JJ	medical
Crews	NP	Crews
and	CC	and
nurses	NNS	nurse
are	VBP	be
still	RB	still
inside	IN	inside
the	DT	the
hospital	NN	hospital
trying	VVG	try
to	TO	to
save	VV	save
lives	NNS	life
they	PP	they
refuse	VVP	refuse
to	TO	to
abandon	VV	abandon
their	PP$	their
duties	NNS	duty
those	DT	those
patients	NNS	patient
and	CC	and
victims	NNS	victim
are	VBP	be
left	VVN	leave
for	IN	for
nothing	NN	nothing
but	CC	but
imminent	JJ	imminent
death	NN	death
inevitable	JJ	inevitable
death	NN	death
and	CC	and
their	PP$	their
blood	NN	blood
is	VBZ	be
on	IN	on
the	DT	the
hands	NNS	hand
of	IN	of
Israel	NP	Israel
and	CC	and
the	DT	the
International	NP	International
Community	NP	Community
R	NP	R
kidney	NN	kidney
hospital	NN	hospital
is	VBZ	be
also	RB	also
out	RB	out
of	IN	of
operation	NN	operation
it	PP	it
was	VBD	be
shilled	VVN	shilled
directly	RB	directly
and	CC	and
it	PP	it
was	VBD	be
engulfed	VVN	engulf
by	IN	by
fire	NN	fire
and	CC	and
since	IN	since
yesterday	NN	yesterday
the	DT	the
hospital	NN	hospital
also	RB	also
is	VBZ	be
cordoned	VVN	cordon
the	DT	the
Israeli	JJ	Israeli
occupation	NN	occupation
forces	NNS	force
in	IN	in
instead	RB	instead
of	IN	of
allowing	VVG	allow
the	DT	the
delivery	NN	delivery
Aid	NN	aid
is	VBZ	be
besieging	VVG	besiege
hospitals	NNS	hospital
instead	RB	instead
of	IN	of
supplying	VVG	supply
medicine	NN	medicine
oxygen	NN	oxygen
and	CC	and
power	NN	power
they	PP	they
are	VBP	be
besieging	VVG	besiege
hospitals	NNS	hospital
with	IN	with
tanks	NNS	tank
Al	NP	Al
Hospital	NP	Hospital
also	RB	also
was	VBD	be
shelled	VVN	shell
large	JJ	large
part	NN	part
of	IN	of
the	DT	the
building	NN	building
was	VBD	be
destroyed	VVN	destroy
ambulances	NNS	ambulance
and	CC	and
including	VVG	include
the	DT	the
yard	NN	yard
medical	JJ	medical
Crews	NP	Crews
received	VVD	receive
warnings	NNS	warning
that	IN/that	that
it	PP	it
must	MD	must
be	VB	be
evacuated	VVN	evacuate
however	RB	however
they	PP	they
refused	VVD	refuse
and	CC	and
stood	VVD	stand
their	PP$	their
Ground	NP	Ground
Baptist	NP	Baptist
Hospital	NP	Hospital
only	RB	only
orthopedic	JJ	orthopedic
and	CC	and
surgery	NN	surgery
is	VBZ	be
still	RB	still
operating	VVG	operate
with	IN	with
whatever	WDT	whatever
left	VVD	leave
of	IN	of
the	DT	the
medical	JJ	medical
supplies	NNS	supply
and	CC	and
resources	NNS	resource
however	RB	however
the	DT	the
medical	JJ	medical
crews	NNS	crew
are	VBP	be
short	JJ	short
and	CC	and
they	PP	they
sent	VVD	send
a	DT	a
message	NN	message
for	IN	for
volunteers	NNS	volunteer
another	DT	another
the	DT	the
hospital	NN	hospital
the	DT	the
solar	JJ	solar
power	NN	power
and	CC	and
the	DT	the
out	RB	out
patient	JJ	patient
Clinic	NP	Clinic
were	VBD	be
shilled	VVN	shilled
as	IN	as
a	DT	a
result	NN	result
it	PP	it
is	VBZ	be
totally	RB	totally
out	RB	out
of	IN	of
service	NN	service
the	DT	the
psychology	NN	psychology
hospital	NN	hospital
it	PP	it
was	VBD	be
also	RB	also
directly	RB	directly
shed	VV	shed
more	JJR	more
than	IN	than
50	CD	@card@
%	NN	%
of	IN	of
the	DT	the
building	NN	building
was	VBD	be
damaged	VVN	damage
and	CC	and
the	DT	the
hospital	NN	hospital
is	VBZ	be
totally	RB	totally
out	RB	out
of	IN	of
service	NN	service
the	DT	the
Indonesian	JJ	Indonesian
hospital	NN	hospital
was	VBD	be
repeatedly	RB	repeatedly
shelled	VVN	shell
over	IN	over
the	DT	the
past	JJ	past
week	NN	week
and	CC	and
as	IN	as
we	PP	we
speak	VVP	speak
it	PP	it
is	VBZ	be
now	RB	now
besieged	VVN	besiege
by	IN	by
by	IN	by
the	DT	the
Israeli	JJ	Israeli
tanks	NNS	tank
recently	RB	recently
this	DT	this
morning	NN	morning
it	PP	it
was	VBD	be
shelled	VVN	shell
by	IN	by
tank	NN	tank
mortors	NNS	mortors
as	IN	as
a	DT	a
result	NN	result
it	PP	it
is	VBZ	be
totally	RB	totally
out	RB	out
of	IN	of
service	NN	service
with	IN	with
the	DT	the
exception	NN	exception
of	IN	of
the	DT	the
Intensive	JJ	intensive
Care	NP	Care
Unit	NN	unit
that	WDT	that
remains	VVZ	remain
running	VVG	run
on	IN	on
the	DT	the
last	JJ	last
generator	NN	generator
the	DT	the
patients	NNS	patient
in	IN	in
the	DT	the
Intensive	JJ	intensive
Care	NP	Care
Unit	NP	Unit
cannot	MD	can
be	VB	be
evacuated	VVN	evacuate
at	IN	at
any	DT	any
point	NN	point
of	IN	of
time	NN	time
that	RB	that
'	POS	'
s	NNS	s
why	WRB	why
whatever	WDT	whatever
left	VVD	leave
the	DT	the
only	JJ	only
generator	NN	generator
running	VVG	run
is	VBZ	be
serving	VVG	serve
those	DT	those
to	TO	to
live	VV	live
provide	VV	provide
a	DT	a
l	NN	l
a	DT	a
line	NN	line
for	IN	for
them	PP	them
to	TO	to
hang	VV	hang
on	IN	on
to	TO	to
life	NN	life
Al	NP	Al
Hospital	NP	Hospital
uh	UH	uh
of	IN	of
the	DT	the
Palestinian	JJ	Palestinian
red	JJ	red
Cresent	NN	Cresent
it	PP	it
is	VBZ	be
totally	RB	totally
out	RB	out
of	IN	of
service	NN	service
as	IN	as
a	DT	a
result	NN	result
of	IN	of
the	DT	the
direct	JJ	direct
damage	NN	damage
only	RB	only
the	DT	the
Intensive	JJ	intensive
Care	NP	Care
Unit	NP	Unit
remains	VVZ	remain
running	VVG	run
and	CC	and
it	PP	it
'	POS	'
s	NN	S
threatened	VVD	threaten
of	IN	of
total	JJ	total
stoppage	NN	stoppage
within	IN	within
a	DT	a
few	JJ	few
hours	NNS	hour
for	IN	for
the	DT	the
same	JJ	same
reasons	NNS	reason
only	RB	only
a	DT	a
few	JJ	few
hours	NNS	hour
if	IN	if
it	PP	it
comes	VVZ	come
to	TO	to
a	DT	a
stop	NN	stop
it	PP	it
means	VVZ	mean
all	PDT	all
those	DT	those
patients	NNS	patient
in	IN	in
the	DT	the
Intensive	JJ	intensive
Care	NP	Care
units	NNS	unit
will	MD	will
face	VV	face
imminent	JJ	imminent
death	NN	death
the	DT	the
whole	JJ	whole
world	NN	world
the	DT	the
United	NP	United
Nations	NPS	Nations
and	CC	and
Israel	NP	Israel
are	VBP	be
responsible	JJ	responsible
for	IN	for
this	DT	this
the	DT	the
Turkish	JJ	Turkish
Hospital	NN	hospital
the	DT	the
only	JJ	only
Hospital	NN	hospital
dedicated	VVN	dedicate
for	IN	for
cancer	NN	cancer
treatment	NN	treatment
it	PP	it
was	VBD	be
shelled	VVN	shell
last	JJ	last
week	NN	week
by	IN	by
the	DT	the
Israeli	JJ	Israeli
occupation	NN	occupation
forces	NNS	force
and	CC	and
it	PP	it
is	VBZ	be
totally	RB	totally
out	RB	out
of	IN	of
operation	NN	operation
as	IN	as
a	DT	a
result	NN	result
more	JJR	more
than	IN	than
10	CD	@card@
,	,	,
000	CD	@card@
cancer	NN	cancer
patients	NNS	patient
are	VBP	be
left	VVN	leave
without	IN	without
tra	JJ	tra
treatment	NN	treatment
what	WP	what
'	POS	'
s	JJ	s
taking	VVG	take
place	NN	place
in	IN	in
Gaza	NP	Gaza
is	VBZ	be
unprecedented	JJ	unprecedented
hospitals	NNS	hospital
shed	VVN	shed
bombarded	VVD	bombard
pounded	VVN	pound
cordoned	VVD	cordon
medical	JJ	medical
Crews	NP	Crews
paramedics	NP	paramedics
civil	JJ	civil
defense	NN	defense
teams	NNS	team
are	VBP	be
tared	VVN	tare
innocent	JJ	innocent
civilians	NNS	civilian
are	VBP	be
targeted	VVN	target
20	CD	@card@
out	IN	out
of	IN	of
the	DT	the
35	CD	@card@
hospitals	NNS	hospital
are	VBP	be
totally	RB	totally
out	RB	out
of	IN	of
operation	NN	operation
unable	JJ	unable
to	TO	to
to	TO	to
treat	VV	treat
any	DT	any
victims	NNS	victim
or	CC	or
even	RB	even
the	DT	the
patients	NNS	patient
already	RB	already
in	IN	in
either	DT	either
as	IN	as
a	DT	a
result	NN	result
of	IN	of
direct	JJ	direct
bombardment	NN	bombardment
or	CC	or
lack	NN	lack
of	IN	of
fuel	NN	fuel
or	CC	or
absence	NN	absence
of	IN	of
electric	JJ	electric
power	NN	power
or	CC	or
The	DT	the
Siege	NN	siege
laid	VVN	lay
around	IN	around
the	DT	the
hospitals	NNS	hospital
by	IN	by
the	DT	the
Israeli	JJ	Israeli
tanks	NNS	tank
let	VVP	let
alone	RB	alone
the	DT	the
shortage	NN	shortage
of	IN	of
Medical	NP	Medical
Teams	NNS	team
who	WP	who
have	VHP	have
been	VBN	be
working	VVG	work
day	NN	day
and	CC	and
night	RB	night
247	CD	@card@
for	IN	for
the	DT	the
past	JJ	past
36	CD	@card@
years	NNS	year
what	WP	what
is	VBZ	be
taking	VVG	take
place	NN	place
now	RB	now
is	VBZ	be
a	DT	a
collective	JJ	collective
death	NN	death
sentence	NN	sentence
victims	NNS	victim
and	CC	and
patients	NNS	patient
are	VBP	be
left	VVN	leave
to	TO	to
die	VV	die
are	VBP	be
left	VVN	leave
to	TO	to
face	VV	face
imminent	JJ	imminent
death	NN	death
and	CC	and
never	RB	never
itable	JJ	itable
death	NN	death
even	RB	even
surgical	JJ	surgical
operations	NNS	operation
are	VBP	be
carried	VVN	carry
out	RP	out
on	IN	on
mobile	JJ	mobile
phone	NN	phone
lights	NNS	light
without	IN	without
you	PP	you
'	POS	'
ve	NN	ve
just	RB	just
been	VBN	be
listening	VVG	listen
to	TO	to
the	DT	the
Palestinian	JJ	Palestinian
Health	NP	Health
Minister	NP	Minister
ma	NN	ma
ala	NN	ala
speaking	VVG	speak
out	RP	out
of	IN	of
rala	NN	rala
that	RB	that
'	POS	'
s	NN	S
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
and	CC	and
uh	UH	uh
just	RB	just
very	RB	very
briefly	RB	briefly
the	DT	the
the	DT	the
the	DT	the
picture	NN	picture
she	PP	she
'	POS	'
s	RB	s
been	VBN	be
painting	VVG	paint
of	IN	of
the	DT	the
situation	NN	situation
in	IN	in
hospitals	NNS	hospital
across	IN	across
Gaza	NP	Gaza
has	VHZ	have
been	VBN	be
absolutely	RB	absolutely
Bleak	NP	Bleak
and	CC	and
it	PP	it
has	VHZ	have
also	RB	also
been	VBN	be
absolutely	RB	absolutely
in	IN	in
line	NN	line
with	IN	with
everybody	NN	everybody
that	IN/that	that
we	PP	we
'	POS	'
ve	NNS	ve
spoken	VVN	speak
to	TO	to
this	DT	this
morning	NN	morning
including	VVG	include
multiple	JJ	multiple
people	NNS	people
who	WP	who
are	VBP	be
inside	IN	inside
gaza	NP	Gaza
'	POS	'
s	JJ	s
largest	JJS	large
hospital	NN	hospital
alifa	NN	alifa
I	PP	I
say	VVP	say
this	DT	this
as	IN	as
we	PP	we
are	VBP	be
watching	VVG	watch
and	CC	and
listening	VVG	listen
to	TO	to
continued	JJ	continued
shelling	VVG	shell
and	CC	and
fighting	NN	fighting
in	IN	in
uh	UH	uh
Gaza	NP	Gaza
City	NP	City
that	WDT	that
'	POS	'
s	VVG	s
what	WP	what
you	PP	you
'	POS	'
re	NN	re
seeing	VVG	see
now	RB	now
uh	UH	uh
so	RB	so
miss	VVP	miss
alila	NN	alila
the	DT	the
Palestinian	JJ	Palestinian
Health	NP	Health
minister	NN	minister
in	IN	in
the	DT	the
West	NP	West
Bank	NP	Bank
was	VBD	be
um	VVG	um
uh	UH	uh
briefly	RB	briefly
recapping	VVG	recap
the	DT	the
situation	NN	situation
of	IN	of
hospitals	NNS	hospital
including	VVG	include
the	DT	the
largest	JJS	large
one	CD	one
Al	NP	Al
shifa	NN	shifa
she	PP	she
was	VBD	be
saying	VVG	say
the	DT	the
hospital	NN	hospital
has	VHZ	have
been	VBN	be
shelled	VVN	shell
according	VVG	accord
to	TO	to
her	PP	her
by	IN	by
white	JJ	white
phosphorus	NN	phosphorus
she	PP	she
'	POS	'
s	NN	S
accusing	VVG	accuse
the	DT	the
Israeli	JJ	Israeli
military	NN	military
of	IN	of
um	NNS	um
shelling	VVG	shell
alifa	NN	alifa
using	VVG	use
white	JJ	white
phosphorus	NN	phosphorus
which	WDT	which
is	VBZ	be
an	DT	an
internet	NN	Internet
intern	VVP	intern
Ally	NP	Ally
banned	VVD	ban
weapon	NN	weapon
um	NNS	um
as	IN	as
for	IN	for
alantis	NP	alantis
Hospital	NP	Hospital
the	DT	the
psychology	NN	psychology
Hospital	NN	hospital
the	DT	the
um	JJ	um
Indonesian	JJ	Indonesian
hospital	NN	hospital
she	PP	she
says	VVZ	say
they	PP	they
'	''	'
ve	RB	ve
also	RB	also
been	VBN	be
repeatedly	RB	repeatedly
shelled	VVN	shell
most	RBS	most
of	IN	of
them	PP	them
have	VHP	have
lost	VVN	lose
power	NN	power
the	DT	the
one	CD	one
unit	NN	unit
that	IN/that	that
all	DT	all
hospitals	NNS	hospital
those	DT	those
that	WDT	that
can	MD	can
are	VBP	be
still	RB	still
um	NNS	um
trying	VVG	try
to	TO	to
power	NN	power
is	VBZ	be
the	DT	the
ICU	NP	ICU
the	DT	the
Intensive	JJ	intensive
Care	NP	Care
Unit	NP	Unit
because	IN	because
if	IN	if
power	NN	power
runs	VVZ	run
out	RP	out
there	RB	there
those	DT	those
patients	NNS	patient
well	RB	well
those	DT	those
patients	NNS	patient
will	MD	will
they	PP	they
die	VV	die
