<video_id>CyaNhVpJhqk</video_id>	NP	<video_id>CyaNhVpJhqk</video_id>
uh	UH	uh
the	DT	the
political	JJ	political
bureau	NN	bureau
chief	JJ	chief
of	IN	of
Hamas	VVG	Hamas
all	PDT	all
the	DT	the
way	NN	way
to	TO	to
the	DT	the
Prime	NP	Prime
Minister	NP	Minister
and	CC	and
foreign	JJ	foreign
minister	NN	minister
of	IN	of
Qatar	NP	Qatar
and	CC	and
the	DT	the
Egyptian	JJ	Egyptian
mediators	NNS	mediator
Hamas	NNS	Hamas
have	VHP	have
now	RB	now
responded	VVN	respond
to	TO	to
this	DT	this
they	PP	they
want	VVP	want
to	TO	to
talk	VV	talk
but	CC	but
they	PP	they
have	VHP	have
these	DT	these
amendments	NNS	amendment
it's	NNS	it's
all	RB	all
about	RB	about
whether	IN	whether
Israel	NP	Israel
now	RB	now
is	VBZ	be
willing	JJ	willing
to	TO	to
accept	VV	accept
those	DT	those
amendments	NNS	amendment
the	DT	the
fact	NN	fact
that	IN/that	that
Hamas	NNS	Hamas
have	VHP	have
responded	VVN	respond
actually	RB	actually
means	VVZ	mean
that	IN/that	that
there	EX	there
is	VBZ	be
a	DT	a
movement	NN	movement
on	IN	on
these	DT	these
ceasefire	NN	ceasefire
talks	VVZ	talk
these	DT	these
ceasefire	NN	ceasefire
talks	NNS	talk
had	VHD	have
actually	RB	actually
stalled	VVN	stall
for	IN	for
a	DT	a
very	RB	very
long	JJ	long
time	NN	time
Anthony	NP	Anthony
blinkin	NP	blinkin
the	DT	the
US	NP	US
Secretary	NP	Secretary
of	IN	of
State	NP	State
has	VHZ	have
been	VBN	be
in	IN	in
the	DT	the
region	NN	region
and	CC	and
he	PP	he
has	VHZ	have
always	RB	always
said	VVN	say
during	IN	during
his	PP$	his
visit	NN	visit
over	IN	over
the	DT	the
last	JJ	last
couple	NN	couple
of	IN	of
days	NNS	day
that	IN/that	that
this	DT	this
is	VBZ	be
about	RB	about
Hamas	JJ	Hamas
Hamas	NNS	Hamas
need	VVP	need
to	TO	to
respond	VV	respond
Hamas	NP	Hamas
the	DT	the
onuses	NNS	onus
on	IN	on
Hamas	NNS	Hamas
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
say	VV	say
yes	UH	yes
to	TO	to
the	DT	the
deal	NN	deal
well	RB	well
Hamas	JJ	Hamas
have	VHP	have
now	RB	now
responded	VVN	respond
so	IN	so
that	DT	that
kind	NN	kind
of	IN	of
goes	VVZ	go
away	RB	away
now	RB	now
so	IN	so
uh	UH	uh
Hamas	NNS	Hamas
also	RB	also
about	IN	about
four	CD	four
or	CC	or
five	CD	five
hours	NNS	hour
ago	RB	ago
said	VVD	say
that	IN/that	that
they	PP	they
were	VBD	be
willing	JJ	willing
to	TO	to
send	VV	send
negotiators	NNS	negotiator
they	PP	they
so	RB	so
Hamas	JJ	Hamas
are	VBP	be
now	RB	now
playing	VVG	play
ball	NN	ball
effectively	RB	effectively
but	CC	but
Israel	NP	Israel
has	VHZ	have
a	DT	a
problem	NN	problem
now	RB	now
and	CC	and
here's	RB	here's
the	DT	the
the	DT	the
effective	JJ	effective
problem	NN	problem
prime	JJ	prime
minister	NN	minister
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
has	VHZ	have
been	VBN	be
absolutely	RB	absolutely
clear	JJ	clear
about	IN	about
the	DT	the
endgame	NN	endgame
of	IN	of
his	PP$	his
war	NN	war
on	IN	on
Gaza	NP	Gaza
he	PP	he
wants	VVZ	want
to	TO	to
dest	VV	dest
destroy	VV	destroy
Hamas	JJ	Hamas
both	CC	both
politically	RB	politically
and	CC	and
militarily	RB	militarily
he	PP	he
hasn't	VVD	hasn't
changed	VVN	change
that	IN/that	that
effective	JJ	effective
um	JJ	um
plan	NN	plan
but	CC	but
now	RB	now
Hamas	NNS	Hamas
have	VHP	have
responded	VVN	respond
they	PP	they
want	VVP	want
to	TO	to
talk	VV	talk
this	DT	this
is	VBZ	be
going	VVG	go
to	TO	to
be	VB	be
very	RB	very
difficult	JJ	difficult
for	IN	for
Israel	NP	Israel
uh	UH	uh
to	TO	to
actually	RB	actually
go	VV	go
oh	UH	oh
maybe	RB	maybe
we	PP	we
can't	VVD	can't
talk	NN	talk
about	IN	about
this	DT	this
because	IN	because
this	DT	this
was	VBD	be
an	DT	an
American	JJ	American
resolution	NN	resolution
in	IN	in
the	DT	the
security	NN	security
Council	NN	council
so	RB	so
there	RB	there
you	PP	you
go	VVP	go
what	WP	what
we're	NNS	we're
what	WP	what
we're	VVP	we're
seeing	VVG	see
now	RB	now
is	VBZ	be
Hamas	RB	Hamas
responding	VVG	respond
Israel	NP	Israel
now	RB	now
having	VHG	have
to	TO	to
go	VV	go
back	RB	back
and	CC	and
say	VVP	say
well	RB	well
how	WRB	how
much	JJ	much
of	IN	of
that	DT	that
response	NN	response
can	MD	can
we	PP	we
deal	VV	deal
with	IN	with
so	IN	so
it's	NNS	it's
going	VVG	go
to	TO	to
be	VB	be
a	DT	a
very	RB	very
difficult	JJ	difficult
negotiation	NN	negotiation
um	NNS	um
for	IN	for
the	DT	the
Americans	NPS	Americans
for	IN	for
the	DT	the
Ceres	NP	Ceres
and	CC	and
for	IN	for
uh	UH	uh
the	DT	the
uh	UH	uh
Egyptian	JJ	Egyptian
mediators	NNS	mediator
but	CC	but
the	DT	the
fact	NN	fact
that	IN/that	that
it's	NNS	it's
actually	RB	actually
happened	VVN	happen
is	VBZ	be
incredibly	RB	incredibly
important	JJ	important
and	CC	and
and	CC	and
Imran	NP	Imran
let's	NNS	let's
talk	VVP	talk
about	IN	about
this	DT	this
uh	UH	uh
it	PP	it
amounts	VVZ	amount
to	TO	to
essentially	RB	essentially
a	DT	a
push	NN	push
back	RB	back
from	IN	from
Hamas	VVG	Hamas
the	DT	the
demand	NN	demand
for	IN	for
a	DT	a
complete	JJ	complete
withdrawal	NN	withdrawal
is	VBZ	be
you	PP	you
mention	VVP	mention
of	IN	of
Israeli	JJ	Israeli
forces	NNS	force
from	IN	from
Gaza	NP	Gaza
how	WRB	how
does	VVZ	do
that	WDT	that
sit	VVP	sit
politically	RB	politically
do	VV	do
you	PP	you
think	VV	think
with	IN	with
Netanyahu	NP	Netanyahu
a	DT	a
demand	NN	demand
like	IN	like
that	DT	that
given	VVN	give
the	DT	the
pressure	NN	pressure
that	IN/that	that
he's	NNS	he's
under	IN	under
from	IN	from
the	DT	the
far	RB	far
right	RB	right
well	RB	well
the	DT	the
far	RB	far
right	JJ	right
part	NN	part
of	IN	of
his	PP$	his
government	NN	government
have	VHP	have
always	RB	always
been	VBN	be
very	RB	very
clear	JJ	clear
go	VVP	go
in	RB	in
flatten	VV	flatten
Gaza	NP	Gaza
and	CC	and
Destroy	VV	destroy
Hamas	JJ	Hamas
that's	NNS	that's
something	NN	something
the	DT	the
Prime	NP	Prime
Minister	NP	Minister
has	VHZ	have
said	VVN	say
publicly	RB	publicly
we	PP	we
need	VVP	need
to	TO	to
destroy	VV	destroy
Hamas	NNS	Hamas
politically	RB	politically
and	CC	and
militarily	RB	militarily
so	RB	so
the	DT	the
fact	NN	fact
that	IN/that	that
Hamas	NNS	Hamas
are	VBP	be
now	RB	now
saying	VVG	say
well	RB	well
you	PP	you
need	VVP	need
to	TO	to
withdraw	VV	withdraw
from	IN	from
the	DT	the
entire	JJ	entire
Gaza	NP	Gaza
Strip	NP	Strip
uh	UH	uh
including	VVG	include
Rua	NP	Rua
and	CC	and
the	DT	the
Philadelphia	NP	Philadelphia
Corridor	NP	Corridor
is	VBZ	be
not	RB	not
going	VVG	go
to	TO	to
sit	VV	sit
well	RB	well
there's	RB	there's
a	DT	a
political	JJ	political
consideration	NN	consideration
here	RB	here
64	CD	@card@
seats	NNS	seat
of	IN	of
the	DT	the
Israeli	JJ	Israeli
knesset	NN	Knesset
that's	NNS	that's
all	RB	all
it	PP	it
takes	VVZ	take
for	IN	for
prime	JJ	prime
minister	NN	minister
Benjamin	NP	Benjamin
NYU	NP	NYU
to	TO	to
remain	VV	remain
in	IN	in
power	NN	power
as	RB	as
long	RB	long
as	IN	as
he	PP	he
has	VHZ	have
those	DT	those
64	CD	@card@
seats	NNS	seat
in	IN	in
the	DT	the
knesset	NN	Knesset
he	PP	he
can	MD	can
actually	RB	actually
stay	VV	stay
in	IN	in
power	NN	power
and	CC	and
resist	VV	resist
American	JJ	American
pressure	NN	pressure
International	NP	International
pressure	NN	pressure
because	IN	because
the	DT	the
Coalition	NP	Coalition
internally	RB	internally
within	IN	within
the	DT	the
government	NN	government
is	VBZ	be
still	RB	still
holding	VVG	hold
the	DT	the
minute	NN	minute
he	PP	he
starts	VVZ	start
to	TO	to
kind	NN	kind
of	IN	of
weaken	VV	weaken
that	DT	that
Coalition	NP	Coalition
by	IN	by
saying	VVG	say
okay	JJ	okay
so	RB	so
maybe	RB	maybe
we	PP	we
withdraw	VV	withdraw
our	PP$	our
troops	NNS	troop
if	IN	if
that's	NNS	that's
what	WP	what
it	PP	it
takes	VVZ	take
to	TO	to
get	VV	get
a	DT	a
ceasefire	NN	ceasefire
maybe	RB	maybe
that's	JJ	that's
what	WP	what
it	PP	it
takes	VVZ	take
to	TO	to
get	VV	get
our	PP$	our
captives	NNS	captive
out	IN	out
that's	NNS	that's
going	VVG	go
to	TO	to
have	VH	have
an	DT	an
impact	NN	impact
on	IN	on
the	DT	the
political	JJ	political
future	NN	future
of	IN	of
this	DT	this
we're	NN	we're
in	IN	in
this	DT	this
weird	JJ	weird
position	NN	position
an	DT	an
where	WRB	where
domestic	JJ	domestic
politics	NNS	politics
domestic	JJ	domestic
desire	NN	desire
to	TO	to
stay	VV	stay
in	IN	in
power	NN	power
in	IN	in
Israel	NP	Israel
is	VBZ	be
actually	RB	actually
influencing	VVG	influence
foreign	JJ	foreign
policy	NN	policy
that's	NN	that's
what's	NNS	what's
going	VVG	go
on	IN	on
right	RB	right
now	RB	now
Netanyahu	NP	Netanyahu
has	VHZ	have
the	DT	the
Coalition	NP	Coalition
and	CC	and
the	DT	the
Coalition	NP	Coalition
is	VBZ	be
backing	VVG	back
him	PP	him
but	CC	but
he's	NNS	he's
under	IN	under
so	RB	so
much	JJ	much
International	NP	International
pressure	NN	pressure
the	DT	the
Americans	NPS	Americans
have	VHP	have
just	RB	just
pushed	VVN	push
forward	RB	forward
a	DT	a
resolution	NN	resolution
in	IN	in
the	DT	the
union	NN	union
Security	NP	Security
Council	NP	Council
that's	NNS	that's
legally	RB	legally
binding	VVG	bind
the	DT	the
Irish	JJ	Irish
the	DT	the
Spain	NP	Spain
uh	UH	uh
the	DT	the
Spanish	JJ	Spanish
and	CC	and
other	JJ	other
countries	NNS	country
have	VHP	have
recognized	VVN	recognize
Palestine	NP	Palestine
as	IN	as
a	DT	a
state	NN	state
there's	RB	there's
the	DT	the
icg	NN	icg
ruling	VVG	rule
uh	UH	uh
there's	RB	there's
the	DT	the
ICC	NP	ICC
ruling	NN	ruling
there's	RB	there's
all	RB	all
of	IN	of
this	DT	this
International	NP	International
pressure	NN	pressure
upon	IN	upon
him	PP	him
but	CC	but
he	PP	he
can	MD	can
resist	VV	resist
it	PP	it
because	IN	because
he	PP	he
has	VHZ	have
the	DT	the
domestic	JJ	domestic
votes	NNS	vote
that	IN/that	that
he	PP	he
needs	VVZ	need
to	TO	to
stay	VV	stay
in	IN	in
power	NN	power
that's	NNS	that's
really	RB	really
the	DT	the
problem	NN	problem
that	WDT	that
uh	UH	uh
the	DT	the
International	NP	International
Community	NP	Community
faces	VVZ	face
because	IN	because
he's	NNS	he's
still	RB	still
in	IN	in
power	NN	power
and	CC	and
this	DT	this
is	VBZ	be
something	NN	something
that	IN/that	that
he	PP	he
can	MD	can
resist	VV	resist
but	CC	but
the	DT	the
Americans	NPS	Americans
are	VBP	be
very	RB	very
clear	JJ	clear
they've	NN	they've
been	VBN	be
pushing	VVG	push
the	DT	the
ceasefire	NN	ceasefire
plan	NN	plan
for	IN	for
a	DT	a
long	JJ	long
time	NN	time
now	RB	now
and	CC	and
Hamas	NP	Hamas
have	VHP	have
responded	VVN	respond
and	CC	and
the	DT	the
American	JJ	American
response	NN	response
the	DT	the
American	JJ	American
position	NN	position
was	VBD	be
always	RB	always
well	RB	well
Hamas	JJ	Hamas
need	NN	need
to	TO	to
respond	VV	respond
well	RB	well
now	RB	now
they've	NN	they've
responded	VVD	respond
all	DT	all
right	JJ	right
um	NN	um
for	IN	for
now	RB	now
</doc>	JJ	</doc>
