<	SYM	<
as	IN	as
international	JJ	international
human	JJ	human
rights	NNS	right
groups	NNS	group
been	VBN	be
statements	NNS	statement
by	IN	by
un	NN	un
experts	NNS	expert
36	CD	@card@
in	IN	in
fact	NN	fact
on	IN	on
November	NP	November
the	DT	the
16th	JJ	16th
talking	NN	talking
about	IN	about
a	DT	a
genocide	NN	genocide
in	IN	in
the	DT	the
making	VVG	make
going	NN	going
on	RB	on
has	VHZ	have
that	RB	that
strengthened	VVN	strengthen
your	PP$	your
resolve	NN	resolve
that	IN/that	that
this	DT	this
is	VBZ	be
not	RB	not
something	NN	something
you	PP	you
want	VVP	want
to	TO	to
be	VB	be
associated	VVN	associate
with	IN	with
and	CC	and
how	WRB	how
is	VBZ	be
how	WRB	how
is	VBZ	be
that	IN/that	that
playing	VVG	play
out	RP	out
with	IN	with
others	NNS	other
and	CC	and
definitely	RB	definitely
for	IN	for
me	PP	me
the	DT	the
war	NN	war
has	VHZ	have
only	RB	only
made	VVN	make
my	PP$	my
decision	NN	decision
I	PP	I
may	MD	may
made	VVD	make
me	PP	me
more	RBR	more
sure	JJ	sure
in	IN	in
my	PP$	my
decision	NN	decision
and	CC	and
the	DT	the
war	NN	war
in	IN	in
Gaza	NP	Gaza
is	VBZ	be
horrible	JJ	horrible
it	PP	it
causes	VVZ	cause
horrible	JJ	horrible
destruction	NN	destruction
and	CC	and
death	NN	death
and	CC	and
it	PP	it
can	MD	can
never	RB	never
be	VB	be
justified	VVN	justify
the	DT	the
same	JJ	same
way	NN	way
that	IN/that	that
the	DT	the
massacre	NN	massacre
on	IN	on
October	NP	October
7th	JJ	7th
can	MD	can
never	RB	never
be	VB	be
justified	VVN	justify
and	CC	and
it	PP	it
'	POS	'
s	JJ	s
unrelenting	JJ	unrelenting
and	CC	and
it	PP	it
leads	VVZ	lead
us	PP	us
nowhere	RB	nowhere
but	CC	but
in	RB	in
to	TO	to
most	JJS	most
people	NNS	people
in	IN	in
Israel	NP	Israel
the	DT	the
war	NN	war
changed	VVD	change
them	PP	them
in	IN	in
the	DT	the
opposite	JJ	opposite
direction	NN	direction
and	CC	and
there	EX	there
has	VHZ	have
been	VBN	be
a	DT	a
shift	NN	shift
to	TO	to
the	DT	the
right	NN	right
and	CC	and
young	JJ	young
people	NNS	people
in	IN	in
Israel	NP	Israel
in	IN	in
general	JJ	general
H	NN	H
in	IN	in
contrast	NN	contrast
to	TO	to
the	DT	the
rest	NN	rest
of	IN	of
the	DT	the
world	NN	world
tend	VVP	tend
to	TO	to
be	VB	be
more	RBR	more
right	JJ	right
-	NN	-
wing	NN	wing
so	IN	so
it	PP	it
hasn	NN	hasn
'	POS	'
t	NN	t
really	RB	really
made	VVD	make
other	JJ	other
people	NNS	people
not	RB	not
want	VVP	want
to	TO	to
associate	VV	associate
themselves	PP	themselves
with	IN	with
it	PP	it
and	CC	and
it	PP	it
'	POS	'
s	NN	S
why	WRB	why
I	PP	I
want	VVP	want
to	TO	to
refuse	VV	refuse
to	TO	to
show	VV	show
them	PP	them
that	IN/that	that
there	EX	there
are	VBP	be
reasons	NNS	reason
to	TO	to
not	RB	not
want	VV	want
to	TO	to
be	VB	be
associated	VVN	associate
with	IN	with
the	DT	the
IDF	NP	IDF
and	CC	and
with	IN	with
that	DT	that
war	NN	war
Sophie	NP	Sophie
how	WRB	how
much	JJ	much
of	IN	of
the	DT	the
war	NN	war
do	VVP	do
Israelis	NPS	Israelis
actually	RB	actually
see	VVP	see
how	WRB	how
much	JJ	much
of	IN	of
the	DT	the
civilian	JJ	civilian
suffering	NN	suffering
do	VVP	do
they	PP	they
see	VVP	see
I	PP	I
think	VVP	think
that	IN/that	that
Israelis	NPS	Israelis
know	VVP	know
the	DT	the
least	JJS	least
about	IN	about
what	WP	what
'	POS	'
s	NNS	s
going	VVG	go
on	IN	on
in	IN	in
Gaza	NP	Gaza
in	IN	in
the	DT	the
entire	JJ	entire
world	NN	world
H	NN	H
the	DT	the
media	NNS	medium
in	IN	in
Israel	NP	Israel
does	VVZ	do
not	RB	not
show	VV	show
uh	UH	uh
this	DT	this
civilian	NN	civilian
the	DT	the
civilian	JJ	civilian
damage	NN	damage
and	CC	and
deaths	NNS	death
and	CC	and
destruction	NN	destruction
uh	UH	uh
which	WDT	which
the	DT	the
the	DT	the
IDF	NP	IDF
in	IN	in
general	JJ	general
tries	NNS	try
to	TO	to
present	VV	present
itself	PP	itself
a	DT	a
lot	NN	lot
of	IN	of
the	DT	the
time	NN	time
as	IN	as
the	DT	the
most	RBS	most
moral	JJ	moral
army	NN	army
in	IN	in
the	DT	the
world	NN	world
um	NN	um
you	PP	you
can	MD	can
see	VV	see
it	PP	it
on	IN	on
social	JJ	social
media	NNS	medium
because	IN	because
there	EX	there
are	VBP	be
Israeli	JJ	Israeli
soldiers	NNS	soldier
that	WDT	that
post	VV	post
proudly	RB	proudly
videos	NNS	video
from	IN	from
Gaza	NP	Gaza
horrible	JJ	horrible
videos	NNS	video
so	IN	so
it	PP	it
can	MD	can
be	VB	be
seen	VVN	see
but	CC	but
most	JJS	most
people	NNS	people
won	VVD	win
'	''	'
t	NN	t
see	VV	see
it	PP	it
in	IN	in
mainstream	JJ	mainstream
media	NNS	medium
and	CC	and
also	RB	also
don	NN	don
'	POS	'
t	NN	t
want	VVP	want
to	TO	to
see	VV	see
it	PP	it
because	IN	because
people	NNS	people
want	VVP	want
to	TO	to
feel	VV	feel
that	IN/that	that
they	PP	they
are	VBP	be
in	IN	in
the	DT	the
right	NN	right
and	CC	and
that	IN/that	that
they	PP	they
are	VBP	be
supporting	VVG	support
a	DT	a
a	DT	a
right	JJ	right
cause	NN	cause
and	CC	and
that	IN/that	that
it	PP	it
'	POS	'
s	JJ	s
only	JJ	only
self	NN	self
-	NN	-
defense	NN	defense
and	CC	and
that	IN/that	that
they	PP	they
don	VV	don
'	''	'
t	NN	t
have	VHP	have
a	DT	a
choice	NN	choice
so	RB	so
definitely	RB	definitely
don	VV	don
'	''	'
t	NN	t
see	VV	see
a	DT	a
lot	NN	lot
of	IN	of
it	PP	it
okay	RB	okay
thank	VVP	thank
you	PP	you
so	RB	so
much	RB	much
sopy	JJ	sopy
all	RB	all
for	IN	for
taking	VVG	take
the	DT	the
time	NN	time
to	TO	to
come	VV	come
and	CC	and
talk	VV	talk
with	IN	with
us	PP	us
appreciate	VVP	appreciate
it	PP	it
<	SYM	<
/	SYM	/
doc	NN	doc
>	SYM	>
