<video_id>fl8SorD-swg</video_id>	JJ	<video_id>fl8SorD-swg</video_id>
asked	VVD	ask
them	PP	them
for	IN	for
coordination	NN	coordination
just	RB	just
to	TO	to
take	VV	take
the	DT	the
premature	JJ	premature
babies	NNS	baby
and	CC	and
the	DT	the
wounded	JJ	wounded
babies	NNS	baby
36	CD	@card@
premature	JJ	premature
babies	NNS	baby
and	CC	and
other	JJ	other
P	NN	P
patients	NNS	patient
will	MD	will
not	RB	not
manage	VV	manage
through	IN	through
the	DT	the
organization	NN	organization
to	TO	to
take	VV	take
them	PP	them
out	RP	out
of	IN	of
the	DT	the
hospital	NN	hospital
and	CC	and
we	PP	we
don't	VVD	don't
want	VV	want
forced	VVN	force
relocation	NN	relocation
as	RB	as
has	VHZ	have
done	VVN	do
in	IN	in
the	DT	the
r	NN	r
hospital	NN	hospital
with	IN	with
the	DT	the
occupation	NN	occupation
is	VBZ	be
SP	NP	SP
everyone	NN	everyone
Medical	NP	Medical
Teams	NNS	team
and	CC	and
patient	JJ	patient
and	CC	and
wounded	JJ	wounded
everyone	NN	everyone
was	VBD	be
compulsory	JJ	compulsory
as	RB	as
to	TO	to
force	VV	force
the	DT	the
hospital	NN	hospital
premature	JJ	premature
babies	NNS	baby
and	CC	and
other	JJ	other
sick	JJ	sick
people	NNS	people
on	IN	on
the	DT	the
ventilators	NNS	ventilator
were	VBD	be
under	IN	under
total	JJ	total
threat	NN	threat
I	PP	I
repeat	VVP	repeat
again	RB	again
and	CC	and
again	RB	again
that	IN/that	that
as	IN	as
shifa	NN	shifa
medical	JJ	medical
complex	NN	complex
is	VBZ	be
the	DT	the
biggest	JJS	big
Medical	NP	Medical
Institution	NP	Institution
in	IN	in
Gaza	NP	Gaza
650	CD	@card@
patients	NNS	patient
are	VBP	be
there	RB	there
22	CD	@card@
cases	NNS	case
in	IN	in
intensive	JJ	intensive
care	NN	care
units	NNS	unit
36	CD	@card@
in	IN	in
incubators	NNS	incubator
not	RB	not
less	JJR	less
than	IN	than
400	CD	@card@
Medical	NP	Medical
Teams	NNS	team
not	RB	not
less	JJR	less
than	IN	than
200	CD	@card@
2,000	CD	@card@
of	IN	of
these	DT	these
place	NN	place
people	NNS	people
and	CC	and
all	DT	all
of	IN	of
them	PP	them
need	VVP	need
medical	JJ	medical
care	NN	care
all	RB	all
of	IN	of
them	PP	them
need	VVP	need
to	TO	to
be	VB	be
safely	RB	safely
evacuated	VVN	evacuate
we	PP	we
held	VVD	hold
the	DT	the
occupation	NN	occupation
responsible	JJ	responsible
we	PP	we
held	VVD	hold
the	DT	the
occupation	NN	occupation
fully	RB	fully
responsible	JJ	responsible
regarding	VVG	regard
the	DT	the
lives	NNS	life
of	IN	of
the	DT	the
patient	NN	patient
the	DT	the
medical	JJ	medical
teams	NNS	team
and	CC	and
the	DT	the
civilian	JJ	civilian
displaced	VVN	displace
people	NNS	people
inside	IN	inside
a	DT	a
shifa	NN	shifa
medical	JJ	medical
complex	NN	complex
and	CC	and
we	PP	we
asked	VVD	ask
for	IN	for
a	DT	a
safe	JJ	safe
evacuation	NN	evacuation
via	IN	via
ambulances	NNS	ambulance
to	TO	to
the	DT	the
Arab	NP	Arab
Republic	NP	Republic
of	IN	of
Egypt	NP	Egypt
to	TO	to
be	VB	be
treated	VVN	treat
in	IN	in
the	DT	the
Arab	JJ	Arab
world	NN	world
and	CC	and
the	DT	the
Islamic	JJ	Islamic
world	NN	world
and	CC	and
to	TO	to
guarantee	VV	guarantee
their	PP$	their
safety	NN	safety
and	CC	and
their	PP$	their
we	PP	we
we	PP	we
urge	VVP	urge
fuel	VV	fuel
to	TO	to
be	VB	be
enter	VV	enter
to	TO	to
the	DT	the
ashifa	NN	ashifa
complex	NN	complex
and	CC	and
other	JJ	other
hospitals	NNS	hospital
fuel	NN	fuel
is	VBZ	be
running	VVG	run
out	RP	out
and	CC	and
the	DT	the
services	NNS	service
will	MD	will
be	VB	be
stopped	VVN	stop
completely	RB	completely
in	IN	in
these	DT	these
places	NNS	place
and	CC	and
thank	VV	thank
you	PP	you
very	RB	very
much	RB	much
indeed	RB	indeed
if	IN	if
you	PP	you
have	VHP	have
any	DT	any
questions	NNS	question
okay	NN	okay
that	WDT	that
was	VBD	be
the	DT	the
uh	UH	uh
press	NN	press
statement	NN	statement
to	TO	to
by	IN	by
the	DT	the
director	NN	director
general	NN	general
of	IN	of
the	DT	the
uh	UH	uh
Gaza	NP	Gaza
Strip	NP	Strip
hospitals	NNS	hospital
uh	UH	uh
Dr	NP	Dr
Muhammad	NP	Muhammad
zakut	NN	zakut
uh	UH	uh
he	PP	he
was	VBD	be
talking	VVG	talk
there	RB	there
specifically	RB	specifically
about	IN	about
the	DT	the
latest	JJS	late
situation	NN	situation
at	IN	at
the	DT	the
alifa	NN	alifa
hospital	NN	hospital
he	PP	he
said	VVD	say
650	CD	@card@
patients	NNS	patient
there	RB	there
22	CD	@card@
of	IN	of
them	PP	them
in	IN	in
intensive	JJ	intensive
care	VV	care
uh	UH	uh
and	CC	and
he	PP	he
urged	VVD	urge
that	DT	that
everyone	NN	everyone
there	RB	there
needs	VVZ	need
to	TO	to
be	VB	be
evacuated	VVN	evacuate
um	RB	um
and	CC	and
just	RB	just
describing	VVG	describe
the	DT	the
diet	NN	diet
needs	VVZ	need
of	IN	of
that	DT	that
hospital	NN	hospital
lack	NN	lack
of	IN	of
fuel	NN	fuel
the	DT	the
babies	NNS	baby
that	WDT	that
uh	UH	uh
are	VBP	be
in	IN	in
that	DT	that
that	WDT	that
need	VVP	need
to	TO	to
be	VB	be
in	IN	in
intensive	JJ	intensive
care	NN	care
but	CC	but
uh	UH	uh
have	VHP	have
uh	UH	uh
because	IN	because
of	IN	of
lack	NN	lack
of	IN	of
fuel	NN	fuel
lack	NN	lack
of	IN	of
electricity	NN	electricity
are	VBP	be
not	RB	not
able	JJ	able
to	TO	to
be	VB	be
in	IN	in
intensive	JJ	intensive
care	NN	care
</doc>	NN	</doc>
