[	SYM	[
charged	VVN	charge
.	SENT	.
My	PP$	my
cell	NN	cell
phone	NN	phone
and	CC	and
my	PP$	my
father	NN	father
'	POS	'
s	JJ	s
cell	NN	cell
phone	NN	phone
came	VVD	come
to	TO	to
me	PP	me
.	SENT	.
They	PP	they
started	VVD	start
telling	VVG	tell
me	PP	me
to	TO	to
sell	VV	sell
,	,	,
sell	VV	sell
,	,	,
I	PP	I
started	VVD	start
to	TO	to
sell	VV	sell
.	SENT	.
Before	IN	before
that	DT	that
,	,	,
they	PP	they
became	VVD	become
jealous	JJ	jealous
of	IN	of
me	PP	me
and	CC	and
bought	VVD	buy
Audi	NP	Audi
.	SENT	.
What	WP	what
is	VBZ	be
Palestine	NP	Palestine
?	SENT	?
After	IN	after
I	PP	I
flew	VVD	fly
,	,	,
I	PP	I
mean	VVP	mean
,	,	,
it	PP	it
'	POS	'
s	NN	S
the	DT	the
first	JJ	first
time	NN	time
I	NP	I
'	POS	'
m	NN	m
talking	VVG	talk
to	TO	to
them	PP	them
.	SENT	.
Bring	VV	bring
your	PP$	your
own	JJ	own
bags	NNS	bag
.	SENT	.
I	NP	I
'	POS	'
ll	NNS	ll
make	VVP	make
them	PP	them
the	DT	the
Tabqa	NP	Tabqa
Bridge	NP	Bridge
,	,	,
the	DT	the
Adan	NP	Adan
Bridge	NP	Bridge
,	,	,
and	CC	and
the	DT	the
Khattar	NP	Khattar
.	SENT	.
They	PP	they
came	VVD	come
back	RB	back
a	DT	a
long	JJ	long
time	NN	time
ago	RB	ago
,	,	,
with	IN	with
colors	NNS	color
and	CC	and
colors	NNS	color
,	,	,
and	CC	and
everything	NN	everything
is	VBZ	be
still	RB	still
available	JJ	available
to	TO	to
us	PP	us
after	IN	after
the	DT	the
war	NN	war
.	SENT	.
I	PP	I
wish	VVP	wish
I	PP	I
had	VHD	have
a	DT	a
house	NN	house
like	IN	like
the	DT	the
one	CD	one
I	PP	I
used	VVD	use
to	TO	to
live	VV	live
in	IN	in
.	SENT	.
I	PP	I
played	VVD	play
in	IN	in
it	PP	it
and	CC	and
found	VVD	find
that	IN/that	that
our	PP$	our
house	NN	house
was	VBD	be
gone	VVN	go
.	SENT	.
The	DT	the
apartment	NN	apartment
that	WDT	that
followed	VVD	follow
us	PP	us
was	VBD	be
gone	VVN	go
.	SENT	.
I	PP	I
hope	VVP	hope
that	IN/that	that
the	DT	the
war	NN	war
will	MD	will
end	VV	end
and	CC	and
we	PP	we
will	MD	will
return	VV	return
to	TO	to
our	PP$	our
turn	NN	turn
.	SENT	.
God	NP	God
willing	JJ	willing
,	,	,
we	PP	we
will	MD	will
find	VV	find
our	PP$	our
house	NN	house
