file_name,video_id,publish_date,total_word_count,killed.VVN.,killed.VVN.subject,murdered.VVN.,displaced.VVN.,hurt.VVN.,heard.VVN.,displaced.VVN.subject,murdered.VVN.subject,heard.VVN.subject
benny gantz slams netanyahu's 'empty promises' as he quits israel's war cabinet  dw news_output.json,87jeUSQ8jHg,20240610,685,0,,0,1,0,0,that,,
berlin hosts large rally in solidarity with israel  dw news_output.json,sjbwH5MKwtI,20231022,1674,0,,0,0,0,0,,,
biden calls for 'credible plan' by israel to ensure safety of civilians in rafah  dw news_output.json,Cjh8TtaifyY,20240213,1766,0,,0,0,0,0,,,
biden hamas and putin both seek to 'completely annihilate a neighboring democracy'  dw news_output.json,YQCy4mFyH54,20231020,874,0,,0,0,0,0,,,
biden optimistic about gaza cease-fire 'bridging proposal' what are the snags  dw news_output.json,_Uzi8jSAkE4,20240817,1699,1,people,0,0,0,0,,,
blinken heads to middle east as israel says it will change military tactics in gaza_output.json,kQhahxoGMl0,20240105,2507,0,,0,0,0,1,,,um
blinken heads to mideast how could he push israel toward cease-fire  dw news_output.json,QKweW3yiG-U,20240818,939,1,people,0,0,0,0,,,
blinken in israel can the us dictate a less intense war in gaza  dw news_output.json,6CVqQiPDJzM,20240109,2811,0,,0,1,0,0,population,,
blinken in israel says netanyahu backs us truce plan  dw news_output.json,J208Jszbnp0,20240611,746,0,,0,0,0,0,,,
blinken in israel to discuss allowing more aid into gaza  dw analysis_output.json,XxCOzdpwKX8,20231103,3388,2,who she,0,0,0,0,,,
blinken in israel what can us diplomacy do to end the war  dw news_output.json,8HPzQxnqNz0,20231016,1057,0,,0,0,0,0,,,
blinken in saudi arabia for gaza cease-fire talks  dw news_output.json,XDAVCAoFuto,20240429,1307,0,,0,0,0,0,,,
blinken in the middle east what are gaza cease-fire deal breakers  dw news_output.json,cAW0jx0WDOA,20240819,979,0,,0,0,0,0,,,
blinken on diplomacy tour amid fears of escalation in middle east conflict  dw news_output.json,0rdutewdOB8,20240107,845,1,Palestinians,0,0,0,0,,,
blinken on yet another middle east tour what's on the agenda  dw news_output.json,MNl2XPJI1kc,20240205,963,1,Palestinians,0,0,0,0,,,
blinken us circulated un draft resolution on gaza truce  dw news_output.json,NC0G3GwQgTM,20240321,992,0,,0,0,0,0,,,
blinken visits ankara to discuss gaza as turkey-israel tensions soar  dw news_output.json,-SfSJIFcFsU,20231106,1434,0,,0,0,0,0,,,
blinken ‘an extraordinarily generous proposal on the part of israel’  dw news_output.json,yXWX1P6Lc98,20240429,1836,1,displaced,0,1,0,0,Martyrs,,
"boycott, protests and standing ovations surround netanyahu's speech in the us  dw news_output.json",fHDZbWWX-as,20240725,1245,0,,0,0,0,0,,,
breaking news israel targets hezbollah commander in beirut strike  dw news_output.json,MUPktKGykPY,20240730,916,1,civilian,0,0,0,1,,,uh
can blinken achieve wider peace in middle east  dw news_output.json,YfCVbWKaqHQ,20240205,1353,0,,0,0,0,0,,,
can blinken's visit to israel lead to a gaza cease-fire deal  dw news_output.json,GQVgo-d8I_Q,20240818,805,1,family,0,0,0,0,,,
can germans unite on israel-hamas war after berlin's violent protests  focus on europe_output.json,vhIw-_FHGYg,20231028,569,0,,0,0,0,0,,,
can germany mediate between israel and iran  dw news_output.json,UFKgle1hpyA,20240417,670,0,,0,0,0,0,,,
can israel and lebanon's hezbollah avoid further conflict  news desk_output.json,j5t7IF4yxQM,20240626,15524,9,who friends friend Israeli Fighters civilians journalists members operatives,0,0,0,0,,,
can israel prove its claims of unrwa complicity in hamas terror  dw news_output.json,yIlEUF5Iqwc,20240207,1551,0,,0,0,0,0,,,
can israel stand alone without weapons deliveries from the us  dw news_output.json,fcST76QCRp8,20240509,2781,0,,0,0,0,0,,,
can social media shape the course of the israel-hamas conflict  dw news_output.json,EMCrICXrN3A,20231020,938,0,,0,0,0,0,,,
can the eu help hostages in gaza  dw news_output.json,yb5HI5aZNvo,20231109,987,0,,0,0,0,1,,,message
can the gaza cease-fire talks be salvaged  dw news_output.json,NM_kOaI3Nys,20240823,762,0,,0,0,0,0,,,
can the icj stop israel's blockade of food deliveries into gaza  dw news_output.json,-nH9LYNAnKQ,20240307,705,0,,0,0,0,0,,,
can the international court of justice stop the war in gaza  dw analysis_output.json,W6MfuI04tnM,20240108,1541,1,that,0,0,0,0,,,
cease-fire negotiations resume for israel-hamas war  dw news_output.json,tC6alA9utqg,20240319,644,0,,0,0,0,0,,,
cease-fire talks continue amid warnings on internally displaced palestinians  dw news_output.json,vUA6XrdH0Ig,20240504,1355,0,,0,0,0,0,,,
challenges facing palestinian men seeking asylum in europe as they flee the war in gaza   dw news_output.json,ygao73eup5k,20240715,1281,0,,0,0,0,0,,,
chaos in the israeli parliament  dw news_output.json,4VcIhEjQARk,20240403,45,0,,0,0,0,0,,,
civilian casualties prompt protests as israel continues to pound gaza  dw news_output.json,SiGusU0uu3c,20231212,757,0,,0,2,0,0,that some,,
civilians killed and abducted how are israelis dealing with the horror  dw news_output.json,MOUFa6Kr7VM,20231011,3644,0,,0,0,0,0,,,
concern mounts for civilians as israel orders rafah evacuation  dw news_output.json,RVMGvEvNr_A,20240506,1302,0,,0,0,0,0,,,
concerns grow over possible iranian attack on israel  dw news_output.json,q7q4ifX3g4s,20240813,856,0,,0,0,0,0,,,
conflicting reports about what happened in gaza – what we do and don't know  dw news_output.json,8fk7a35sMP8,20240229,955,1,people,0,0,0,0,,,
could blinken broker a humanitarian pause in gaza  dw news_output.json,sllsUZSQ9Po,20240204,1214,1,Palestinians,0,0,0,0,,,
could further european countries recognize palestinian statehood  dw news_output.json,w1ev26-7uAw,20240524,1703,0,,0,0,0,0,,,
could hezbollah drag lebanon into a war with israel  dw news_output.json,rMiO3DoaudU,20231023,577,0,,0,0,0,0,,,
could israel's large-scale west bank operation backfire   dw news_output.json,5wX7rtI-U2g,20240903,1174,1,people,0,0,0,0,,,
could violence in the middle east threaten the social peace in germany  dw news_output.json,HcRbfI-BzEo,20231108,2090,0,,0,0,0,0,,,
countries urge israel-hamas cease-fire talks following hamas leader assassination  dw news_output.json,9v_lhmFGzug,20240809,3705,4,leader people he people,0,0,0,0,,,
cpj 53 reporters confirmed dead in israel-gaza war  dw news_output.json,OTsjNUHECyo,20231122,999,6,Gaza who who who who they,0,0,0,0,,,
"damascus iranian commander and officers killed, officials claim israel behind strike  dw news_output.json",ZpS3rq4htyA,20240402,1680,4,Lebanon commanders that said,0,0,0,0,,,
deadly israeli attack on school in gaza refugee camp  dw news_output.json,75P2jJsxK5E,20240707,1266,4,civilians people people people,0,2,0,0,who who,,
deadly strikes on southern gaza after mass evacuation order  dw news_output.json,0qcrdGLFj_4,20240703,362,1,Palestinians,0,0,0,0,,,
decoding the underground israel's tactical war on hamas tunnels  dw news_output.json,RuAKfNWogg4,20231108,2312,1,soldiers,0,0,0,0,,,
"delayed release of more hostages, prisoners after deal nearly collapses  dw news_output.json",N59I35ug18o,20231126,1457,1,brother,1,0,0,0,,who,
destruction and agricultural collapse ecocide in gaza  dw news_output.json,lFqohsr2JUE,20240816,1313,0,,0,0,0,0,,,
dire conditions at al mawasi humanitarian zone  dw news_output.json,EzuhWgbH-MM,20231213,2081,2,they people,0,2,0,0,people population,,
displaced families in gaza face daily ordeal  dw news_output.json,e28HUQemxro,20231228,1317,1,people,0,1,0,0,population,,
displaced gazans in search of security  dw news_output.json,JiARfFE_AiM,20240131,937,0,,0,1,0,0,population,,
displaced gazans return to their homes in the north  dw news_output.json,K30VZ5-Iepo,20240120,883,0,,0,0,0,0,,,
displaced palestinians ‘will we go back home or will people just die here’  dw news_output.json,wh3QTVj8ta4,20240407,282,0,,0,0,0,0,,,
dnc pro-palestinian protesters demand cease-fire and end to us arms transfers to israel   dw news_output.json,dTRVE4lV_sc,20240823,599,0,,0,0,0,0,,,
do iran and its allies pose an existential threat to israel  dw news_output.json,Ruq6YlmvXHU,20231106,2330,0,,0,0,0,0,,,
do western warnings to israel remain without consequence  dw news_output.json,u7UF4sooLEk,20240215,787,0,,0,0,0,0,,,
"doctor at maternity hospital in rafah in one shift, two or three children die  dw news_output.json",WGmUq0UP5GQ,20240225,305,0,,0,0,0,0,,,
does israel's air force condone unlimited civilian deaths when targeting top hamas commanders_output.json,1CpJCOk17w4,20240719,917,0,,0,0,0,0,,,
does the gaza cease-fire 'bridging proposal' stand a chance  dw news_output.json,NsNDr6Su65I,20240821,933,0,,0,0,0,0,,,
dozens dead in blast at gaza refugee camp  dw news_output.json,cBSUICMFDiE,20231031,2213,3,children people have,0,1,0,0,they,,
dozens killed in israeli airstrike on school  dw news_output.json,QW-cWj7WatE,20240710,1408,2,dozens people,0,0,0,0,,,
dozens killed in israeli strike on gaza school used as shelter  dw news_output.json,YT3CV8T6_vY,20240810,697,0,,0,0,0,0,,,
dozens killed in strike on gaza refugee camp amid 'public health disaster'  dw news_output.json,mex-jSmyh48,20231225,2646,1,people,0,0,0,0,,,
drone strike in beirut kills hamas deputy leader  dw news_output.json,RaI0NwxzDWw,20240102,2053,3,people identifyed he,0,0,0,0,,,
drone strike kills us troops who did it and how will the us respond  dw news_output.json,3RRSZ-l4uGs,20240129,1204,2,troops troops,0,0,0,0,,,
drone strike on us troops how plausible is iran's deniability  dw news_output.json,t1zqjgGKxzU,20240129,1352,1,forces,0,0,0,0,,,
"dw asks israeli army spokesman, gaza surgeon, ngo rep about hospital crisis  dw news_output.json",L5wEjLNUGlc,20231112,3539,5,people people who people who,0,2,0,0,' that,,
dw news march 10  help for gaza set to sail from cyprus  full broadcast_output.json,6H5qelKTDew,20240311,1683,0,,0,0,0,0,,,
economic woes hit israelis and palestinians  dw news_output.json,NslmiNi8g_8,20240221,1712,0,,0,0,0,0,,,
egypt 'prepares to receive palestinian refugees' along gaza border  dw news_output.json,JgbVZq1BhI8,20240216,1310,0,,0,1,0,0,them,,
"egyptian ex-fm to israel if gaza violence continues, hamas continues  conflict zone_output.json",fwV2P9PuWng,20240304,4408,0,,0,0,0,0,,,
egyptian media cease-fire talks to resume in cairo  dw news_output.json,wyqHuhmsA28,20240331,628,0,,0,0,0,0,,,
"erez border crossing opens, allowing more humanitarian aid in  dw news_output.json",dDFk9IBdRj0,20240501,1344,0,,0,0,0,0,,,
escalating attacks on israel by hezbollah  dw news_output.json,KpiaMIhCmtQ,20231026,1022,0,,0,0,0,0,,,
eu leaders divided on icc arrest warrant bid for netanyahu  dw news_output.json,Es8fY901Tbk,20240521,950,0,,0,0,0,0,,,
eu leaders issue first unified call on immediate humanitarian pause in gaza  dw news_output.json,8PeQPFfDhi4,20240321,622,0,,0,0,0,0,,,
eu leaders meeting in brussels called for a humanitarian 'pauses' in gaza  dw news_output.json,K7b9ZJUCmNc,20231026,861,0,,0,0,0,0,,,
eu ministers meet with israeli and palestinian counterparts  dw news_output.json,6PMv_Z6a_yU,20240122,1089,0,,0,0,0,0,,,
eu socialists deputy leader – israeli pauses in gaza not enough  dw news_output.json,W17RwKG33hQ,20231111,1714,0,,0,0,0,0,,,
eu's borrell warns of greater humanitarian catastrophe  dw news_output.json,Q7v5BPloG10,20240212,439,0,,0,0,0,0,,,
european union calls for permanent cease-fire in gaza  dw news_output.json,9eUjeGQXpTQ,20240119,718,0,,0,0,0,0,,,
eurovision thousands of pro-palestinian demonstrators march through malmö  dw news_output.json,1WsLMJbbh2o,20240510,1097,0,,0,0,0,0,,,
Ex-General Hodges Russia working with Iran over Middle East conflict  DW News.ar_output.json,aFAMlKG62hs,20231024,1706,0,,0,0,0,0,,,
ex-general hodges russia working with iran over middle east conflict  dw news_output.json,aFAMlKG62hs,20231024,1706,0,,0,0,0,0,,,
"ex-pm first 'get rid of' hamas, then netanyahu  conflict zone_output.json",Uar3I_LUSyM,20231011,3667,0,,0,0,0,0,,,
ex-us negotiator icc warrants will lead israel to continue war  conflict zone_output.json,1BG-qGf7_-c,20240522,6960,0,,0,0,0,0,,,
exhumation operations continue at apparent mass grave in khan younis  dw news_output.json,Bq-egJlwHlo,20240422,469,0,,0,0,0,0,,,
eyewitness testimonies what doctors saw in gaza  dw news_output.json,ZT8d9-98PIs,20240803,6797,5,stuff Lad that that that,0,1,0,0,they,,
family members kidnapped interview with israeli student shira havron  dw news_output.json,Ux5Zk8CzGec,20231011,1090,0,,0,0,0,0,,,
fears mount that a full-scale israel-hezbollah confrontation could be imminent  dw news_output.json,qcg07VlxBT4,20240509,1123,0,,0,1,0,0,Border,,
fears of escalation as strikes straddle israel-lebanon border  dw news_output.json,C87Aknwdfug,20231106,1630,2,civilians children,0,0,0,0,,,
"fears of wider war after assassinations, israel stabbings  dw news_output.json",eZdCXC1ubOw,20240804,1318,2,they people,0,0,0,0,,,
first group of injured gazans and foreigners cross into egypt  dw news_output.json,RJ72FmcnLRA,20231101,3632,1,soldiers,0,0,0,0,,,
"first israeli hostages, palestinian prisoners freed under deal  dw news_output.json",wM3WA2Eafl4,20231125,2544,2,two people,0,0,0,0,,,
"food, water and medicine running out in gaza  dw news_output.json",_q70phXW2es,20240307,1501,0,,0,0,0,0,,,
former hostage negotiator this is very fragile  dw news_output.json,MgeO5qIGmqU,20231123,2403,0,,0,0,0,0,,,
former us national security advisor john bolton 'trump will withdraw the us from nato'  dw news_output.json,O4TAt3-qMXY,20240226,1704,0,,0,0,0,0,,,
"former us negotiator ‘netanyahu is the worst possible leader, at the worst possible time’  dw news_output.json",AcfMmP4-Xkg,20240602,2136,0,,0,0,0,0,,,
"fresh airstrikes on gaza as un says 150,000 gazans have nowhere to go  dw news_output.json",pghyvBNaG_4,20231229,1331,5,children people children who people,0,2,0,0,% population,,
friends and families campaign for hostages release  dw news_output.json,9tMD7wTRcZ4,20231031,1188,0,,0,0,0,0,,,
funeral held for hamas deputy leader in beirut  dw news_output.json,_2SbkxtSl8g,20240105,1532,2,official who,0,0,0,0,,,
gaza airdrops 'survival of the fittest in the most cynical way'  dw news_output.json,B8Nznaz4SY8,20240327,1935,1,people,0,0,0,0,,,
gaza airstrikes and fighting continue as temporary cease-fire is delayed  dw news_output.json,xJSMk7Ey17U,20231123,3249,2,who civilians,0,0,0,0,,,
gaza almost entire population facing hunger crisis according to un-backed report  dw news_output.json,Ipb25CX0fEY,20231222,989,0,,0,0,0,0,,,
gaza awaits aid deliveries via rafah crossing  dw news_output.json,LYVQrakhMqI,20231020,1479,0,,0,0,0,0,,,
gaza cameraman loses family in airstrike  dw #shorts #gaza #israel_output.json,BK-W8EjLCOk,20231106,77,0,,0,0,0,0,,,
gaza cease-fire how long will it last  dw news_output.json,rbgU5S1rH-Q,20231124,3935,1,Israelis,0,1,0,0,that,,
gaza cease-fire talks israel set to attend while hamas will be absent  dw news_output.json,oLiqtXezpuM,20240815,1680,0,,0,0,0,0,,,
gaza cease-fire talks off to a 'promising start' in doha -- white house  dw news_output.json,g37yu-lfdxA,20240815,2969,0,,0,0,0,0,,,
"gaza cease-fire talks yield no results, set to continue  dw news_output.json",uzQBNEz_k50,20240826,1054,0,,0,0,0,0,,,
gaza conflict risks escalating to multi-front war  dw news_output.json,KOFcIP-lc6M,20231013,1632,3,soldiers Fighters Fighters,0,0,0,0,,,
gaza descending deeper into security chaos due to destruction of civilian infrastructure  dw news_output.json,ngzBDjPIj18,20240729,1165,0,,0,0,0,0,,,
gaza emergency pier how much aid can it provide  dw news_output.json,knm9ILovWlk,20240510,1546,0,,0,3,0,0,ve that ',,
gaza famine could hurt people's health for decades  dw news_output.json,psr9UMCbfb4,20240319,1786,0,,0,0,0,0,,,
gaza fighting continues can israel be expected to allow humanitarian access  dw news_output.json,Q4hgtJy2zNI,20240127,2014,1,people,0,0,0,0,,,
gaza health officials say at least 71 killed by israeli attack in ‘safe zone’  dw news_output.json,L3W9fvtTHKs,20240713,688,0,,0,0,0,0,,,
"gaza health system on the brink of collapse, says un as palestinians flee south  dw news_output.json",HsAgj-mZLYg,20231014,2802,1,commander,0,0,0,0,,,
"gaza hospital evacuation order is a 'death sentence', says who  dw news_output.json",c7VoO1mKZIw,20231015,1566,2,Abdullah holding,0,0,0,0,,,
gaza humanitarian situation continues to deteriorate under ongoing israeli shelling  dw news_output.json,n-UkvlrIkug,20240103,403,0,,0,0,0,0,,,
gaza humanitarian situation what does german chancellor scholz want in jordan  dw news_output.json,d2m7WC5nem4,20240316,735,0,,0,0,0,0,,,
"gaza israeli army advances, how can civilians flee the fighting  dw news_output.json",kNgUiYzUlWc,20231106,3569,3,' people Palestinians,0,0,0,0,,,
"gaza latest fears mount of lebanon joining war, communications blackout in besieged strip_output.json",EHqq66hs68Y,20231105,1551,1,children,0,0,0,0,,,
gaza latest israel reportedly offers hamas a 2-month cease-fire  dw news_output.json,4iFfFJcCc1Y,20240123,1149,1,people,0,0,0,0,,,
"gaza latest israel steps up strikes, hospitals 'suspend' operations  dw news_output.json",CMUIiVuf0q4,20231111,3244,0,,0,0,0,0,,,
gaza latest israeli military prepares to enter gaza city  dw news_output.json,qLW2CzsF_b8,20231107,3097,1,khed,0,0,0,0,,,
"gaza latest israeli military says gaza cut in two, jordan airdrops supplies  dw news_output.json",EZRYRDPIuiY,20231106,1575,2,people ',0,0,0,0,,,
gaza now a place of 'death and despair'  dw news_output.json,fw3FYfcR6GE,20240107,1056,0,,0,0,0,0,,,
"gaza offensive israel is preparing to attack by land, sea and air  dw news_output.json",dzcSrGxrTNc,20231015,2121,2,civilians Israel,0,1,0,0,I,,
gaza officials at least 20 killed in line for food aid  dw news_output.json,hYC4XmIAJ5M,20240126,820,1,to,0,0,0,0,,,
"gaza over 1,000 reported killed in response to saturday's terrorist attack  dw news_output.json",i99qdu2QH0w,20231011,2235,1,people,0,0,0,0,,,
gaza pier aid deliveries have started - but is it enough  dw news_output.json,UW7fo9FPdys,20240517,1068,0,,0,0,0,0,,,
gaza update 4 paramedics killed after israeli strike hits ambulance  dw news_output.json,w8K0unl_SYY,20240111,755,1,them,0,0,0,0,,,
"gaza update airstrike hits refugee camp, blinken meets with pa president abbas  dw news_output.json",U8LQIxpXv8M,20231105,1482,1,people,0,0,0,0,,,
gaza update biden announces humanitarian aid plan  dw news_output.json,62FAnfkm6vU,20231019,1574,1,people,0,1,0,0,uh,,
gaza update can the un help establish safe zones for civilians  dw news_output.json,zCnUBmIVTh8,20231206,1712,0,,0,0,0,0,,,
gaza update fighting intensifies amid dire humanitarian situation  dw news_output.json,2A5yuft_ep4,20231211,2796,1,people,0,3,0,0,them they Palestinians,,
"gaza update hostage deal pending, hospitals under fire  dw news_output.json",Zfse3uZvHjM,20231112,2377,0,,0,0,0,0,,,
gaza update how much aid relief will get into gaza as the truce comes into effect  dw news_output.json,gYiEEu4-f0s,20231124,4382,1,workers,0,1,0,0,I,,
"gaza update idf strikes khan younis in southern gaza, renews calls for mass evacuations  dw news_output.json",Q5paF8cALsc,20231205,2034,0,,0,1,0,0,we,,
gaza update indonesian hospital reportedly received evacuation order  dw news_output.json,qLwNWATuVVw,20231123,3353,0,,0,0,0,0,,,
"gaza update israel adamant about rafah offensive, over 100 palestinians die  dw news_output.json",DJPNkvLvnl0,20240218,720,1,were,0,0,0,0,,,
gaza update israel expands ground offensive to every part of the gaza strip  dw news_output.json,uLdv113Mn9w,20231204,3949,1,civilians,0,0,0,0,,,
"gaza update israel intensifies bombing on gaza, prepares for expected ground operation  dw news_output.json",TPDSbBydLW4,20231023,1778,2,Soldier people,0,2,0,0,people population,,
gaza update israel steps up strikes as dire humanitarian situation worsens  dw news_output.json,87m6LOCi_Cw,20231028,2200,0,,0,0,0,0,,,
gaza update israel to consider cease-fire as part of hostage deal  dw news_output.json,F-qKjLxYYSw,20231220,1844,3,civilians brother grandkids,0,1,0,0,gazans,,
gaza update israel's military claims to have found major hamas base  dw news_output.json,sVmsNN_RN7w,20231221,1353,1,have,0,0,0,0,,,
gaza update israel's military says it has breached hamas defenses in khan younis  dw news_output.json,q7BrwJ8LREc,20231207,3645,2,belongings people,0,0,0,0,,,
gaza update israeli activists block 'vital' aid deliveries into gaza  dw news_output.json,opUDordkmZk,20240207,1702,0,,0,1,0,0,Gaza,,
gaza update israeli forces enter gaza's second largest city khan younis  dw news_output.json,iHbEhdnz9qM,20231206,1964,0,,0,0,0,0,,,
gaza update israeli troops enter nasser hospital in khan younis  dw news_output.json,_IRYYHoQS9g,20240215,678,2,patient have,0,0,0,0,,,
"gaza update negotiations set to resume in cairo, israel keeps up attacks in gaza  dw news_output.json",HEFnxGufZhU,20240822,828,1,people,0,0,0,0,,,
gaza update netanyahu visits troops inside gaza  dw news_output.json,xO3OF0C5yjQ,20240719,394,0,,0,0,0,0,,,
gaza update un about to halt aid operations due to lack of fuel  dw news_output.json,LEDlu-3Ujek,20231025,1269,0,,0,0,0,0,,,
"gaza update un chief to visit rafah, us ceasefire resolution vetoed in unsc  dw news_output.json",H2EycTjH97I,20240323,2722,1,',0,0,0,0,,,
"gaza update video of alleged tunnel under al-shifa, hostage deal in the works  dw news_output.json",fcaIVECkzo4,20231120,1707,1,people,0,1,0,0,Move,,
gaza war and hunger overshadow ramadan  dw news_output.json,1SDUpFTw7ms,20240310,771,0,,0,0,0,0,,,
gaza war protests is this a rising student movement to be reckoned with  dw news_output.json,uZNW781wFXM,20240424,2065,0,,0,0,0,0,,,
"gaza what are the biggest hurdles to vaccinating 640,000 children in a 3-day period  dw news_output.json",m5VzJ9-idQI,20240902,859,0,,0,0,0,0,,,
gaza who warns of potential polio outbreak  dw news_output.json,ELHgcce_-f8,20240724,779,0,,0,0,0,0,,,
gaza's biggest hospital out of fuel situation 'dire and perilous'  dw news_output.json,YWM1O-7Xj-o,20231113,2840,3,who would who,0,0,0,0,,,
gazan journalist shares personal journey  dw news_output.json,Kbl3MtCVMD0,20231116,1253,0,,0,0,0,0,,,
gazans at 'breaking point' as israel expands ground assault  dw news_output.json,eq3B3bvdYl4,20231030,2788,2,soldiers have,0,0,0,0,,,
gazans with health issues struggle amid war  dw news_output.json,hW7iR5iBfrQ,20231110,3311,1,',1,0,0,0,,who,
